Generation,NV,TOC
1,17,5441.565267
1,18,5206.175663
1,20,5125.843506
1,21,5024.593959
1,22,5003.069557
1,24,4829.951686
1,26,4464.927089
1,27,4445.485190
1,31,4317.496764
1,37,4203.635643
1,40,4173.644811
1,42,4171.284517
1,44,4169.943662
1,45,4165.335102
1,46,4164.463457
2,17,5392.402198
2,18,5206.175663
2,20,5125.843506
2,21,5024.593959
2,22,4866.789917
2,24,4829.951686
2,25,4691.425372
2,26,4401.521180
2,27,4390.859497
2,29,4363.627048
2,31,4317.496764
2,33,4250.487069
2,37,4135.566990
2,40,4113.597306
2,42,4106.036140
2,44,4049.385118
3,17,5392.402198
3,18,5206.175663
3,20,4967.397438
3,22,4866.789917
3,24,4829.951686
3,25,4561.650723
3,26,4401.521180
3,27,4390.859497
3,29,4363.627048
3,30,4235.352011
3,34,4202.524062
3,36,4137.951613
3,37,4135.566990
3,40,4113.597306
3,41,4096.078823
3,44,4049.385118
4,16,5514.710706
4,17,5198.579142
4,20,4967.397438
4,22,4840.781981
4,23,4485.755079
4,26,4375.627092
4,27,4352.350716
4,28,4315.187521
4,30,4235.352011
4,32,4180.409251
4,36,4137.951613
4,37,4135.566990
4,39,4129.939273
4,40,4113.597306
4,41,4014.326349
5,16,5514.710706
5,17,4967.891142
5,20,4967.397438
5,22,4840.781981
5,23,4357.977891
5,27,4302.843160
5,29,4148.171011
5,33,4143.554988
5,34,4109.935612
5,35,4078.562575
5,40,4049.786820
5,41,4014.326349
6,16,5514.710706
6,17,4967.891142
6,19,4717.349837
6,22,4679.304815
6,23,4357.977891
6,27,4302.843160
6,29,4148.171011
6,33,4128.043950
6,34,4109.935612
6,35,4078.562575
6,36,4059.104390
6,39,4008.467647
6,42,3965.641723
7,16,5514.710706
7,17,4967.891142
7,18,4814.920824
7,19,4717.349837
7,20,4560.025297
7,22,4488.706951
7,23,4357.977891
7,26,4328.575284
7,27,4302.843160
7,29,4148.171011
7,33,4128.043950
7,34,4018.403069
7,38,3984.188802
7,41,3945.487577
8,16,5278.497873
8,17,4967.891142
8,18,4806.714897
8,19,4489.379666
8,22,4488.706951
8,23,4357.977891
8,25,4273.632593
8,27,4133.353312
8,28,4041.260942
8,31,3905.315361
9,16,5278.497873
9,17,4967.891142
9,18,4806.714897
9,19,4489.379666
9,21,4460.451360
9,23,4357.977891
9,24,4247.818349
9,25,4108.999653
9,28,4041.260942
9,31,3905.315361
9,42,3877.538787
9,45,3873.848572
9,46,3868.980287
10,16,5105.757529
10,17,4967.891142
10,18,4806.714897
10,19,4489.379666
10,21,4460.451360
10,23,4357.977891
10,24,4247.818349
10,25,4108.999653
10,27,4027.429802
10,30,3931.891679
10,31,3905.315361
10,42,3877.538787
10,45,3873.848572
10,46,3868.980287
11,16,5105.757529
11,17,4967.891142
11,18,4667.254468
11,19,4489.379666
11,20,4412.385248
11,23,4324.104438
11,24,4247.818349
11,25,4108.999653
11,26,3987.930114
11,28,3965.747222
11,30,3931.891679
11,31,3905.315361
11,40,3872.607628
11,45,3859.892260
12,16,5105.757529
12,17,4967.891142
12,18,4667.254468
12,19,4489.379666
12,20,4412.385248
12,22,4386.757969
12,23,4196.958074
12,24,4154.436876
12,25,4108.999653
12,26,3987.930114
12,28,3965.747222
12,30,3931.891679
12,31,3905.315361
12,32,3897.557536
12,37,3861.951166
12,41,3834.776777
13,16,5105.757529
13,17,4967.891142
13,18,4667.254468
13,19,4489.379666
13,20,4412.385248
13,21,4237.350573
13,23,4179.772942
13,24,4154.436876
13,25,4108.999653
13,26,3987.930114
13,28,3965.747222
13,30,3931.891679
13,31,3905.315361
13,32,3897.557536
13,37,3861.951166
13,41,3834.776777
13,44,3812.632605
14,15,5550.786329
14,16,5105.757529
14,17,4893.664792
14,18,4641.846133
14,19,4474.045674
14,20,4412.385248
14,21,4237.350573
14,23,4132.407652
14,25,3891.112370
14,31,3820.542905
14,40,3776.896466
14,42,3763.380533
14,44,3679.225381
15,15,5169.002524
15,16,5034.616543
15,17,4497.677385
15,18,4367.093677
15,21,4237.350573
15,22,4231.064706
15,23,4132.407652
15,25,3891.112370
15,27,3803.091602
15,29,3751.031664
15,44,3679.225381
16,14,5569.163517
16,15,5169.002524
16,16,4905.988234
16,17,4497.677385
16,18,4367.093677
16,19,4329.456961
16,21,4228.048112
16,22,4201.938216
16,23,4102.311454
16,25,3891.112370
16,27,3803.091602
16,29,3751.031664
16,32,3733.329363
16,33,3702.042052
16,36,3674.425975
17,14,5543.571127
17,15,5169.002524
17,16,4827.099852
17,17,4497.677385
17,18,4367.093677
17,19,4329.456961
17,20,4166.876543
17,21,4128.539088
17,23,4102.311454
17,25,3891.112370
17,27,3803.091602
17,29,3751.031664
17,30,3700.853201
17,36,3674.425975
17,38,3667.454975
17,39,3647.873848
18,14,5543.571127
18,15,5169.002524
18,16,4821.643558
18,17,4497.677385
18,18,4367.093677
18,19,4292.461527
18,20,4166.876543
18,21,4128.539088
18,23,4102.311454
18,25,3891.112370
18,27,3803.091602
18,29,3751.031664
18,30,3700.853201
18,33,3668.136489
18,35,3663.488371
18,39,3647.873848
19,14,5543.571127
19,15,5149.147501
19,16,4821.643558
19,17,4497.677385
19,18,4367.093677
19,19,4292.461527
19,20,4166.876543
19,21,4128.539088
19,22,4086.045828
19,24,3981.738608
19,25,3726.673150
19,30,3639.597789
19,32,3561.772130
20,14,5080.139321
20,16,4714.303199
20,17,4497.677385
20,18,4333.357630
20,19,4275.898891
20,20,4166.876543
20,21,4128.539088
20,22,4086.045828
20,23,4072.525062
20,24,3981.738608
20,25,3726.673150
20,30,3639.597789
20,32,3561.772130
21,14,5080.139321
21,16,4714.303199
21,17,4497.677385
21,18,4333.357630
21,19,4270.524968
21,20,4166.876543
21,21,4088.735123
21,22,4065.881193
21,24,3981.738608
21,25,3726.673150
21,30,3639.597789
21,31,3570.920305
21,32,3561.772130
22,14,5080.139321
22,16,4714.303199
22,17,4388.927799
22,18,4180.015475
22,20,4130.651189
22,21,4037.007946
22,22,3913.787503
22,25,3726.673150
22,26,3675.018302
22,30,3639.597789
22,31,3570.920305
22,32,3561.772130
23,14,5080.139321
23,16,4714.303199
23,17,4388.927799
23,18,4180.015475
23,20,4130.651189
23,21,4037.007946
23,22,3913.787503
23,25,3726.673150
23,26,3675.018302
23,29,3650.936778
23,30,3639.597789
23,31,3570.920305
23,32,3561.772130
24,13,5628.065933
24,14,5080.139321
24,16,4714.303199
24,17,4236.680436
24,18,4180.015475
24,19,3897.969090
24,25,3694.217130
24,26,3675.018302
24,29,3628.759615
24,30,3530.790066
24,31,3500.199405
25,13,5628.065933
25,14,5080.139321
25,15,5050.186222
25,16,4714.303199
25,17,4236.680436
25,18,4180.015475
25,19,3897.969090
25,20,3874.074562
25,25,3694.217130
25,26,3675.018302
25,29,3628.759615
25,30,3530.790066
25,31,3500.199405
26,13,5628.065933
26,14,4854.359007
26,15,4730.736482
26,16,4714.303199
26,17,4236.680436
26,18,4180.015475
26,19,3897.969090
26,20,3874.074562
26,25,3694.217130
26,26,3675.018302
26,29,3628.759615
26,30,3530.790066
26,31,3500.199405
27,13,5628.065933
27,14,4854.359007
27,15,4730.736482
27,16,4714.303199
27,17,4236.680436
27,18,4180.015475
27,19,3897.969090
27,20,3839.076777
27,25,3694.217130
27,26,3675.018302
27,28,3578.137718
27,30,3515.575791
27,31,3500.199405
28,13,5628.065933
28,14,4854.359007
28,15,4730.736482
28,16,4619.404390
28,17,4236.680436
28,18,4180.015475
28,19,3897.969090
28,20,3839.076777
28,25,3694.217130
28,26,3626.527777
28,28,3578.137718
28,29,3559.168031
28,30,3515.575791
28,31,3500.199405
29,13,5628.065933
29,14,4854.359007
29,15,4730.736482
29,16,4525.723576
29,17,4207.568251
29,18,4171.741139
29,19,3866.855138
29,20,3839.076777
29,24,3650.478894
29,25,3579.973055
29,28,3544.847570
29,30,3474.389706
30,13,5628.065933
30,14,4854.359007
30,15,4730.736482
30,16,4453.770602
30,17,4207.568251
30,18,4171.741139
30,19,3866.855138
30,20,3806.205329
30,24,3650.478894
30,25,3579.973055
30,28,3544.847570
30,30,3474.389706
31,13,5628.065933
31,14,4802.376429
31,15,4672.838094
31,16,4453.770602
31,17,4207.568251
31,18,4101.628208
31,19,3866.855138
31,20,3806.205329
31,24,3650.478894
31,25,3579.973055
31,28,3544.847570
31,29,3488.690596
31,30,3474.389706
32,13,5628.065933
32,14,4802.376429
32,15,4672.838094
32,16,4453.770602
32,17,4207.568251
32,18,4101.628208
32,19,3866.855138
32,20,3806.205329
32,24,3650.478894
32,25,3579.973055
32,28,3518.466880
32,29,3488.690596
32,30,3474.389706
33,13,5000.640255
33,14,4802.376429
33,15,4496.313065
33,16,4453.770602
33,17,4207.568251
33,18,4101.628208
33,19,3866.855138
33,20,3806.205329
33,24,3650.478894
33,25,3579.973055
33,28,3496.913256
33,29,3488.690596
33,30,3474.389706
34,13,5000.640255
34,14,4802.376429
34,15,4496.313065
34,16,4360.089746
34,17,4176.587804
34,18,3961.012262
34,19,3795.496642
34,22,3732.044680
34,24,3528.286233
34,28,3469.682869
34,30,3458.829328
35,13,5000.640255
35,14,4704.425207
35,15,4496.313065
35,16,4299.256651
35,17,4092.320215
35,18,3961.012262
35,19,3795.496642
35,22,3732.044680
35,23,3654.814620
35,24,3528.286233
35,28,3469.682869
35,30,3458.829328
36,13,5000.640255
36,14,4704.425207
36,15,4496.313065
36,16,4299.256651
36,17,4092.320215
36,18,3945.158323
36,19,3795.496642
36,20,3742.095068
36,21,3737.113182
36,22,3681.062774
36,23,3654.814620
36,24,3528.286233
36,28,3469.682869
36,30,3458.829328
37,13,5000.640255
37,14,4704.425207
37,15,4496.313065
37,16,4169.716088
37,17,4047.524888
37,18,3945.158323
37,19,3795.496642
37,20,3742.095068
37,21,3737.113182
37,22,3681.062774
37,23,3654.814620
37,24,3528.286233
37,27,3505.359610
37,28,3469.682869
37,30,3458.829328
38,13,5000.640255
38,14,4704.425207
38,15,4496.313065
38,16,4169.716088
38,17,4047.524888
38,18,3945.158323
38,19,3795.496642
38,20,3712.563825
38,21,3677.492526
38,23,3654.814620
38,24,3528.286233
38,26,3495.746945
38,28,3469.682869
38,30,3458.829328
39,13,5000.640255
39,14,4704.425207
39,15,4482.786805
39,16,4169.716088
39,17,3933.609532
39,18,3890.372626
39,19,3751.742578
39,20,3669.765220
39,23,3592.041660
39,24,3519.023008
39,26,3437.019852
39,30,3416.094530
40,13,5000.640255
40,14,4704.425207
40,15,4482.786805
40,16,4169.716088
40,17,3933.609532
40,18,3890.372626
40,19,3609.691009
40,23,3592.041660
40,24,3519.023008
40,26,3437.019852
40,27,3418.808149
40,30,3416.094530
41,13,5000.640255
41,14,4651.083170
41,15,4482.786805
41,16,4169.716088
41,17,3933.609532
41,18,3890.372626
41,19,3609.691009
41,23,3592.041660
41,24,3519.023008
41,26,3437.019852
41,27,3418.808149
41,30,3416.094530
42,13,5000.640255
42,14,4651.083170
42,15,4482.786805
42,16,4169.716088
42,17,3933.609532
42,18,3890.372626
42,19,3609.691009
42,23,3592.041660
42,24,3519.023008
42,26,3437.019852
42,27,3418.808149
42,30,3416.094530
42,35,3411.160099
43,13,4834.405703
43,14,4530.365029
43,15,4294.131959
43,16,4169.716088
43,17,3933.609532
43,18,3890.372626
43,19,3609.691009
43,20,3569.363120
43,24,3519.023008
43,26,3437.019852
43,27,3418.808149
43,30,3416.094530
43,35,3411.160099
44,13,4834.405703
44,14,4530.365029
44,15,4294.131959
44,16,3864.468933
44,19,3496.449639
44,20,3430.442728
44,26,3389.978861
45,13,4834.405703
45,14,4489.804575
45,15,4294.131959
45,16,3864.468933
45,18,3622.180445
45,19,3496.449639
45,20,3430.442728
45,26,3389.978861
46,13,4834.405703
46,14,4463.439059
46,15,4294.131959
46,16,3864.468933
46,17,3743.795233
46,18,3622.180445
46,19,3496.449639
46,20,3430.442728
46,25,3408.451934
46,26,3389.978861
47,13,4834.405703
47,14,4463.439059
47,15,4294.131959
47,16,3864.468933
47,17,3727.722180
47,18,3622.180445
47,19,3496.449639
47,20,3430.442728
47,25,3408.451934
47,26,3389.978861
47,27,3386.614846
48,13,4834.405703
48,14,4174.150901
48,16,3864.468933
48,17,3727.722180
48,18,3622.180445
48,19,3496.449639
48,20,3430.442728
48,25,3408.451934
48,26,3389.978861
48,27,3373.198971
48,28,3358.974640
49,13,4827.980378
49,14,4102.756323
49,16,3864.468933
49,17,3727.722180
49,18,3622.180445
49,19,3460.269075
49,20,3407.306404
49,26,3355.178923
49,27,3354.240448
50,13,4789.415081
50,14,4102.756323
50,15,4091.432295
50,16,3864.468933
50,17,3712.645058
50,18,3622.180445
50,19,3460.269075
50,20,3407.306404
50,24,3380.519322
50,25,3376.898636
50,26,3355.178923
50,27,3354.240448
51,13,4789.415081
51,14,4102.756323
51,15,4091.432295
51,16,3864.468933
51,17,3673.864247
51,18,3622.180445
51,19,3460.269075
