Generation,NV,TOC
1,16,11125.748503
1,17,10653.777711
1,18,10486.426230
1,19,9938.403692
1,20,9726.038136
1,21,7718.732008
1,23,7543.769148
1,27,7159.921709
1,29,5795.288538
1,30,5738.291405
1,32,5503.990464
1,34,5481.097018
1,37,5453.651892
1,59,5438.472165
1,68,5406.868395
2,16,11095.557896
2,17,10653.777711
2,18,10304.207495
2,19,8500.236725
2,21,7718.732008
2,23,7543.769148
2,24,7436.963213
2,26,6870.944706
2,27,6737.841914
2,29,5795.288538
2,30,5738.291405
2,32,5503.990464
2,34,5481.097018
2,37,5453.651892
2,52,5401.802871
3,16,11095.557896
3,17,10653.777711
3,18,9005.654448
3,19,8500.236725
3,21,7718.732008
3,22,6597.883410
3,25,6198.080008
3,29,5795.288538
3,30,5727.469070
3,32,5503.990464
3,34,5481.097018
3,37,5453.651892
3,52,5401.802871
4,16,10934.953086
4,17,9116.875695
4,18,9005.654448
4,19,8486.596974
4,21,7564.357078
4,22,6597.883410
4,25,6198.080008
4,29,5795.288538
4,30,5727.469070
4,32,5503.990464
4,34,5481.097018
4,36,5455.911201
4,37,5453.651892
4,42,5397.147676
4,51,5351.921211
5,16,10069.083282
5,17,9116.875695
5,18,9005.654448
5,19,7945.977135
5,21,7564.357078
5,22,6597.883410
5,25,6198.080008
5,26,6107.843505
5,29,5795.288538
5,30,5543.279156
5,32,5503.990464
5,34,5481.097018
5,36,5455.911201
5,37,5453.651892
5,41,5383.037588
5,51,5351.921211
5,63,5343.678996
