Generation,NV,TOC
1,19,9478.496768
1,20,8806.720428
1,22,8360.174524
1,23,8117.343419
1,24,7079.737378
1,28,6143.541789
1,31,6010.353714
1,34,5604.110661
1,37,5515.527433
1,41,5320.632867
1,51,5008.678095
2,18,10107.743594
2,19,9478.496768
2,20,8806.720428
2,22,8360.174524
2,23,8117.343419
2,24,7079.737378
2,27,6593.554733
2,28,6143.541789
2,31,6010.353714
2,33,5823.488728
2,34,5604.110661
2,37,5515.527433
2,41,5320.632867
2,42,5282.092285
2,47,5241.054615
2,49,5220.333218
2,51,5008.678095
3,18,10107.743594
3,19,9420.449843
3,20,8100.548647
3,21,7551.083397
3,23,7226.119485
3,24,6795.220458
3,27,6593.554733
3,28,6143.541789
3,31,6010.353714
3,33,5823.488728
3,34,5604.110661
3,37,5515.527433
3,41,5320.632867
3,42,5282.092285
3,47,5241.054615
3,49,5220.333218
3,50,5159.870604
3,51,5008.678095
4,18,10107.743594
4,19,7665.596999
4,21,7551.083397
4,23,7226.119485
4,24,6795.220458
4,27,6593.554733
4,28,6143.541789
4,31,6010.353714
4,33,5823.488728
4,34,5604.110661
4,37,5216.563121
4,42,5196.711736
4,44,5139.544936
4,51,4955.329369
5,17,11418.293308
5,18,10051.708693
5,19,7665.596999
5,21,7551.083397
5,23,7226.119485
5,24,6795.220458
5,27,6593.554733
5,28,6143.541789
5,31,6010.353714
5,33,5677.844933
5,34,5604.110661
5,36,5255.163917
5,37,5216.563121
5,42,5196.711736
5,43,5181.922903
5,44,5139.544936
5,51,4955.329369
