Generation,NV,TOC
1,10,3447.656398
1,11,3226.221505
1,12,2989.614967
1,18,2675.457565
1,27,2459.225993
2,10,3447.656398
2,11,3226.221505
2,12,2989.614967
2,16,2809.109185
2,18,2675.457565
2,23,2562.784263
2,27,2459.225993
3,10,3447.656398
3,11,3226.221505
3,12,2989.614967
3,16,2809.109185
3,18,2675.457565
3,22,2651.410707
3,23,2562.784263
3,27,2459.225993
4,10,3447.656398
4,11,3226.221505
4,12,2989.614967
4,16,2726.269864
4,18,2675.457565
4,19,2660.749789
4,22,2651.410707
4,23,2562.784263
4,26,2454.708564
5,10,3447.656398
5,11,3037.198794
5,12,2831.040902
5,16,2659.833514
5,17,2633.409692
5,21,2602.225033
5,22,2526.150677
5,25,2405.090118
6,10,3447.656398
6,11,3037.198794
6,12,2831.040902
6,16,2659.833514
6,17,2633.409692
6,21,2602.225033
6,22,2526.150677
6,25,2405.090118
7,10,3447.656398
7,11,3037.198794
7,12,2831.040902
7,16,2659.833514
7,17,2633.409692
7,21,2602.225033
7,22,2526.150677
7,25,2405.090118
8,10,3447.656398
8,11,3037.198794
8,12,2831.040902
8,15,2719.759475
8,16,2659.833514
8,17,2577.598801
8,22,2526.150677
8,25,2405.090118
9,10,3447.656398
9,11,3037.198794
9,12,2831.040902
9,14,2746.352752
9,15,2717.898854
9,16,2659.833514
9,17,2577.598801
9,22,2526.150677
9,25,2405.090118
10,9,4670.217188
10,10,3339.922434
10,11,3037.198794
10,12,2831.040902
10,14,2746.352752
10,15,2717.898854
10,16,2659.833514
10,17,2577.598801
10,22,2526.150677
10,25,2405.090118
11,9,4670.217188
11,10,3339.922434
11,11,3037.198794
11,12,2831.040902
11,14,2746.352752
11,15,2717.898854
11,16,2659.833514
11,17,2577.598801
11,22,2520.976161
11,25,2405.090118
12,9,4670.217188
12,10,3339.922434
12,11,3037.198794
12,12,2831.040902
12,14,2746.352752
12,15,2717.898854
12,16,2659.833514
12,17,2577.598801
12,22,2520.976161
12,25,2405.090118
13,9,4670.217188
13,10,3339.922434
13,11,3037.198794
13,12,2831.040902
13,14,2746.352752
13,15,2690.881939
13,16,2659.833514
13,17,2577.598801
13,22,2520.976161
13,25,2405.090118
14,9,4670.217188
14,10,3339.922434
14,11,3037.198794
14,12,2831.040902
14,14,2746.352752
14,15,2690.881939
14,16,2659.833514
14,17,2577.598801
14,22,2514.519185
14,25,2405.090118
15,9,4308.397111
15,10,2924.720901
15,12,2753.987754
15,13,2640.521441
15,15,2490.161575
15,22,2442.766626
15,24,2369.477319
16,9,4308.397111
16,10,2924.720901
16,12,2753.987754
16,13,2640.521441
16,15,2490.161575
16,21,2482.204031
16,22,2442.766626
16,24,2369.477319
17,9,4308.397111
17,10,2924.720901
17,12,2753.987754
17,13,2638.891459
17,15,2490.161575
17,21,2482.204031
17,22,2442.766626
17,24,2369.477319
18,9,4308.397111
18,10,2924.720901
18,12,2753.987754
18,13,2638.891459
18,15,2490.161575
18,17,2468.879813
18,22,2442.766626
18,24,2369.477319
19,8,3992.654647
19,9,3873.383887
19,10,2924.720901
19,12,2753.987754
19,13,2638.891459
19,15,2490.161575
19,17,2468.879813
19,22,2442.766626
19,24,2369.477319
20,8,3992.654647
20,9,3873.383887
20,10,2924.720901
20,12,2753.987754
20,13,2638.891459
20,14,2613.111199
20,15,2490.161575
20,17,2468.879813
20,22,2442.766626
20,24,2369.477319
21,8,3486.959788
21,10,2841.277024
21,12,2753.987754
21,13,2591.814972
21,14,2516.493967
21,15,2471.388106
21,17,2406.866943
21,22,2385.044723
21,24,2345.730538
22,8,3486.959788
22,10,2841.277024
22,12,2753.987754
22,13,2591.814972
22,14,2516.493967
22,15,2471.388106
22,17,2406.866943
22,22,2385.044723
22,24,2345.730538
23,8,3281.732158
23,10,2807.991083
23,12,2753.987754
23,13,2591.814972
23,14,2516.493967
23,15,2471.388106
23,17,2406.866943
23,22,2385.044723
23,24,2345.730538
24,8,3281.732158
24,10,2807.991083
24,12,2753.987754
24,13,2591.814972
24,14,2516.493967
24,15,2471.388106
24,17,2406.866943
24,22,2385.044723
24,24,2345.730538
25,8,3281.732158
25,10,2807.991083
25,12,2730.442191
25,13,2591.814972
25,14,2516.493967
25,15,2471.388106
25,16,2444.358086
25,17,2406.866943
25,22,2385.044723
25,24,2345.730538
26,8,3180.208822
26,10,2799.782648
26,11,2545.188295
26,14,2482.838658
26,15,2459.428834
26,16,2408.923669
26,17,2371.905901
26,24,2319.310483
27,8,3180.208822
27,10,2799.782648
27,11,2545.188295
27,14,2482.838658
27,15,2459.428834
27,16,2408.923669
27,17,2371.905901
27,24,2319.310483
28,7,4127.473334
28,8,3180.208822
28,10,2799.782648
28,11,2545.188295
28,14,2482.838658
28,15,2459.428834
28,16,2408.923669
28,17,2371.905901
28,24,2319.310483
29,7,4127.473334
29,8,3180.208822
29,10,2799.782648
29,11,2545.188295
29,14,2482.838658
29,15,2459.428834
29,16,2408.923669
29,17,2371.905901
29,24,2319.310483
30,7,4127.473334
30,8,3180.208822
30,10,2799.782648
30,11,2545.188295
30,14,2482.838658
30,15,2459.428834
30,16,2408.037583
30,17,2371.905901
30,24,2319.310483
31,7,3702.697300
31,8,3180.208822
31,10,2799.782648
31,11,2505.044181
31,13,2450.123212
31,14,2326.720568
31,24,2319.310483
32,7,3702.697300
32,8,3180.208822
32,10,2799.782648
32,11,2505.044181
32,13,2450.123212
32,14,2326.720568
32,24,2319.310483
33,7,3702.697300
33,8,3180.208822
33,10,2799.782648
33,11,2505.044181
33,13,2450.123212
33,14,2326.720568
33,24,2319.310483
34,7,3702.697300
34,8,3180.208822
34,10,2799.782648
34,11,2505.044181
34,13,2450.123212
34,14,2326.720568
34,24,2319.310483
35,7,3702.697300
35,8,3180.208822
35,10,2799.782648
35,11,2505.044181
35,13,2450.123212
35,14,2326.720568
35,24,2319.310483
36,7,3702.697300
36,8,3168.373742
36,10,2681.884185
36,11,2505.044181
36,13,2311.020756
36,24,2306.613140
37,7,3702.697300
37,8,3168.373742
37,10,2681.884185
37,11,2505.044181
37,12,2491.402220
37,13,2311.020756
37,24,2306.613140
38,7,3702.697300
38,8,3168.373742
38,10,2681.884185
38,11,2505.044181
38,12,2491.402220
38,13,2311.020756
38,24,2306.613140
39,7,3702.697300
39,8,3168.373742
39,10,2681.884185
39,11,2505.044181
39,12,2491.402220
39,13,2311.020756
39,24,2306.613140
40,7,3702.697300
40,8,3168.373742
40,10,2681.884185
40,11,2505.044181
40,12,2491.402220
40,13,2311.020756
40,24,2306.613140
41,7,3702.697300
41,8,3168.373742
41,9,3016.724456
41,10,2681.884185
41,11,2505.044181
41,12,2491.402220
41,13,2311.020756
41,24,2306.613140
42,7,3702.697300
42,8,3168.373742
42,9,3016.724456
42,10,2681.884185
42,11,2505.044181
42,12,2491.402220
42,13,2311.020756
42,24,2306.613140
43,7,3702.697300
43,8,3021.941142
43,9,3016.724456
43,10,2681.884185
43,11,2505.044181
43,12,2491.402220
43,13,2311.020756
43,24,2306.613140
44,7,3702.697300
44,8,2851.183723
44,10,2625.759183
44,11,2505.044181
44,12,2491.402220
44,13,2311.020756
44,24,2306.613140
45,7,3702.697300
45,8,2851.183723
45,10,2625.759183
45,11,2505.044181
45,12,2491.402220
45,13,2311.020756
45,24,2306.613140
46,7,3702.697300
46,8,2851.183723
46,9,2721.136164
46,10,2625.759183
46,11,2505.044181
46,12,2491.402220
46,13,2311.020756
46,14,2310.003109
46,24,2306.613140
47,7,3702.697300
47,8,2851.183723
47,9,2706.576485
47,10,2625.759183
47,11,2505.044181
47,12,2491.402220
47,13,2311.020756
47,14,2310.003109
47,24,2306.613140
48,7,3702.697300
48,8,2851.183723
48,9,2706.576485
48,10,2625.759183
48,11,2505.044181
48,12,2491.402220
48,13,2311.020756
48,14,2310.003109
48,24,2306.613140
49,7,3702.697300
49,8,2791.746387
49,9,2706.576485
49,10,2625.759183
49,11,2505.044181
49,12,2491.402220
49,13,2311.020756
49,14,2310.003109
49,24,2306.613140
50,7,3702.697300
50,8,2791.746387
50,9,2706.576485
50,10,2625.759183
50,11,2505.044181
50,12,2491.402220
50,13,2311.020756
50,14,2310.003109
50,24,2306.613140
51,7,3702.697300
51,8,2629.760191
51,10,2588.241043
51,11,2421.005020
51,12,2303.996861
51,23,2280.606036
52,7,3702.697300
52,8,2629.760191
52,10,2588.241043
52,11,2421.005020
52,12,2303.996861
52,23,2280.606036
53,7,3702.697300
53,8,2629.760191
53,10,2588.241043
53,11,2421.005020
53,12,2303.996861
53,23,2280.606036
54,7,3702.697300
54,8,2629.760191
54,10,2588.241043
54,11,2421.005020
54,12,2303.996861
54,23,2280.606036
55,7,3702.697300
55,8,2629.760191
55,10,2588.241043
55,11,2421.005020
55,12,2303.996861
55,23,2280.606036
56,7,3702.697300
56,8,2629.760191
56,9,2616.923084
56,10,2588.241043
56,11,2421.005020
56,12,2303.996861
56,23,2280.606036
57,7,3003.803824
57,8,2542.443761
57,11,2383.454817
57,12,2294.070069
57,21,2238.345211
58,7,3003.803824
58,8,2542.443761
58,11,2383.454817
58,12,2294.070069
58,21,2238.345211
59,7,3003.803824
59,8,2542.443761
59,11,2383.454817
59,12,2294.070069
59,21,2238.345211
60,7,3003.803824
60,8,2542.443761
60,11,2383.454817
60,12,2294.070069
60,21,2238.345211
61,7,3003.803824
61,8,2542.443761
61,10,2532.466496
61,11,2383.454817
61,12,2290.685005
61,21,2238.345211
62,7,2945.092288
62,8,2495.642565
62,10,2490.396672
62,11,2289.102281
62,20,2232.416879
63,7,2945.092288
63,8,2495.642565
63,10,2490.396672
63,11,2289.102281
63,20,2232.416879
64,7,2945.092288
64,8,2495.642565
64,10,2490.396672
64,11,2289.102281
64,20,2232.416879
65,7,2945.092288
65,8,2495.642565
65,10,2490.396672
65,11,2289.102281
65,20,2232.416879
66,7,2945.092288
66,8,2495.642565
66,10,2490.396672
66,11,2289.102281
66,20,2232.416879
67,7,2816.327265
67,8,2425.977351
67,11,2274.849562
67,20,2209.027447
68,7,2816.327265
68,8,2425.977351
68,11,2274.849562
68,20,2209.027447
69,7,2816.327265
69,8,2425.977351
69,11,2274.849562
69,20,2209.027447
70,7,2816.327265
70,8,2425.977351
70,11,2274.849562
70,20,2209.027447
71,7,2816.327265
71,8,2425.977351
71,11,2274.849562
71,20,2209.027447
72,7,2816.327265
72,8,2424.205277
72,11,2274.849562
72,18,2184.651047
73,7,2816.327265
73,8,2401.000447
73,11,2274.849562
73,18,2184.651047
74,7,2816.327265
74,8,2401.000447
74,11,2274.849562
74,18,2184.651047
75,7,2816.327265
75,8,2401.000447
75,11,2274.849562
75,18,2184.651047
76,7,2816.327265
76,8,2401.000447
76,9,2400.028299
76,11,2274.849562
76,18,2184.651047
77,6,3127.842576
77,7,2760.032744
77,8,2401.000447
77,9,2397.655825
77,11,2254.043822
77,17,2176.424515
78,6,3127.842576
78,7,2760.032744
78,8,2401.000447
78,9,2397.655825
78,11,2254.043822
78,13,2252.128116
78,17,2176.424515
79,6,3127.842576
79,7,2760.032744
79,8,2401.000447
79,9,2397.655825
79,11,2254.043822
79,13,2252.128116
79,17,2176.424515
80,6,3127.842576
80,7,2760.032744
80,8,2401.000447
80,9,2397.655825
80,11,2254.043822
80,13,2252.128116
80,17,2176.424515
81,6,3127.842576
81,7,2760.032744
81,8,2401.000447
81,9,2397.655825
81,11,2254.043822
81,13,2252.128116
81,17,2176.424515
82,6,3106.105225
82,7,2748.542999
82,8,2401.000447
82,9,2384.058803
82,11,2252.855914
82,13,2202.581256
82,17,2176.424515
83,6,3106.105225
83,7,2748.542999
83,8,2401.000447
83,9,2384.058803
83,11,2252.855914
83,13,2202.581256
83,17,2176.424515
84,6,3106.105225
84,7,2748.542999
84,8,2389.199548
84,9,2369.225371
84,11,2252.855914
84,13,2202.581256
84,17,2176.424515
85,6,3106.105225
85,7,2748.542999
85,8,2389.199548
85,9,2369.225371
85,11,2252.855914
85,13,2202.581256
85,17,2176.424515
86,6,3106.105225
