Generation,NV,TOC
1,6,2095.785393
1,7,1884.963649
1,8,1761.660444
1,9,1761.049025
1,10,1729.692961
2,6,2095.785393
2,7,1884.963649
2,8,1761.660444
2,9,1761.049025
2,10,1720.303217
3,5,2029.322749
3,7,1884.963649
3,8,1761.660444
3,9,1761.049025
3,10,1720.303217
3,11,1703.074170
4,5,2029.322749
4,6,1909.450803
4,7,1795.148722
4,8,1759.071119
4,9,1737.301544
4,10,1720.303217
4,11,1703.074170
5,5,1933.572786
5,6,1869.069465
5,7,1765.302994
5,8,1738.026712
5,9,1720.330876
5,10,1670.216863
6,5,1933.572786
6,6,1813.159707
6,7,1765.302994
6,8,1697.840851
6,9,1695.387487
6,10,1670.216863
7,5,1933.572786
7,6,1813.159707
7,7,1765.302994
7,8,1697.840851
7,9,1695.387487
7,10,1670.216863
8,5,1933.572786
8,6,1813.159707
8,7,1765.302994
8,8,1697.840851
8,9,1692.277423
8,10,1670.216863
9,5,1839.107791
9,6,1813.159707
9,7,1747.976552
9,8,1686.445241
9,10,1670.216863
10,5,1738.016496
10,8,1668.962097
11,5,1735.383317
11,6,1704.379896
11,8,1668.962097
12,5,1731.674143
12,6,1704.379896
12,8,1668.962097
13,5,1731.674143
13,6,1704.379896
13,8,1668.962097
14,5,1731.674143
14,6,1704.379896
14,7,1681.079023
14,8,1668.962097
15,4,2006.325757
15,5,1731.674143
15,6,1697.765949
15,7,1681.079023
15,8,1668.962097
16,4,1963.864526
16,5,1731.674143
16,6,1697.765949
16,7,1681.079023
16,8,1668.962097
17,4,1963.864526
17,5,1731.674143
17,6,1697.765949
17,7,1681.079023
17,8,1668.962097
18,4,1963.864526
18,5,1728.442066
18,6,1697.765949
18,7,1681.079023
18,8,1668.962097
19,4,1963.864526
19,5,1728.442066
19,6,1697.765949
19,7,1681.079023
19,8,1668.962097
20,4,1843.853078
20,5,1680.202029
20,7,1657.415669
21,4,1843.853078
21,5,1680.202029
21,7,1657.415669
22,4,1843.853078
22,5,1680.202029
22,7,1657.415669
23,4,1843.853078
23,5,1680.202029
23,7,1657.415669
24,4,1843.853078
24,5,1680.202029
24,7,1657.415669
25,4,1830.282761
25,5,1675.131915
25,7,1655.578361
26,4,1830.282761
26,5,1675.131915
26,7,1655.578361
27,4,1830.282761
27,5,1675.131915
27,7,1655.578361
28,4,1830.282761
28,5,1675.131915
28,6,1662.640746
28,7,1655.578361
29,4,1830.282761
29,5,1672.891432
29,6,1662.640746
29,7,1655.578361
30,4,1804.808891
30,5,1672.043019
30,6,1659.088038
30,7,1649.221751
31,4,1804.808891
31,5,1672.043019
31,6,1659.088038
31,7,1649.221751
32,4,1804.808891
32,5,1665.580592
32,6,1659.088038
32,7,1649.221751
33,4,1804.808891
33,5,1657.068029
33,7,1649.221751
34,4,1804.808891
34,5,1657.068029
34,6,1656.296973
34,7,1645.092410
35,4,1724.829439
35,5,1655.396924
35,6,1652.968419
35,7,1639.105716
36,4,1724.829439
36,5,1655.396924
36,6,1641.614349
36,7,1639.105716
37,4,1724.829439
37,5,1645.518148
37,6,1641.614349
37,7,1639.105716
37,8,1639.046343
38,4,1724.829439
38,5,1645.518148
38,6,1641.614349
38,7,1639.105716
38,8,1639.046343
39,4,1724.829439
39,5,1645.518148
39,6,1636.470843
40,4,1724.829439
40,5,1645.518148
40,6,1636.470843
40,7,1635.462269
41,4,1724.829439
41,5,1645.518148
41,6,1625.876169
42,4,1708.213682
42,5,1645.518148
42,6,1612.282858
43,4,1708.213682
43,5,1645.518148
43,6,1612.282858
44,4,1708.213682
44,5,1645.518148
44,6,1612.282858
45,4,1708.213682
45,5,1645.518148
45,6,1612.282858
46,4,1708.213682
46,5,1645.518148
46,6,1612.282858
47,4,1703.563866
47,5,1615.164416
47,6,1609.539819
48,4,1703.563866
48,5,1615.164416
48,6,1609.539819
48,8,1609.448408
49,4,1703.563866
49,5,1615.164416
49,6,1609.539819
49,8,1609.448408
50,4,1703.563866
50,5,1615.164416
50,6,1609.539819
50,8,1609.013846
51,4,1703.563866
51,5,1615.164416
51,6,1609.539819
51,7,1608.283459
52,4,1703.563866
52,5,1615.164416
52,6,1609.539819
52,7,1608.283459
53,4,1700.677737
53,5,1615.164416
53,6,1606.742917
54,4,1692.144450
54,5,1615.164416
54,6,1606.742917
55,4,1692.144450
55,5,1615.164416
55,6,1606.742917
56,4,1692.144450
56,5,1615.164416
56,6,1606.742917
57,4,1692.144450
57,5,1615.164416
57,6,1600.091769
58,4,1688.667640
58,5,1615.164416
58,6,1592.622427
59,4,1688.667640
59,5,1612.071138
59,6,1592.622427
60,4,1688.667640
60,5,1612.071138
60,6,1592.622427
61,4,1685.161874
61,5,1612.071138
61,6,1592.622427
62,4,1685.161874
62,5,1612.071138
62,6,1592.622427
63,4,1652.576276
63,5,1612.071138
63,6,1592.622427
64,4,1652.576276
64,5,1603.021145
64,6,1592.622427
65,4,1652.576276
65,5,1603.021145
65,6,1592.622427
66,4,1650.266355
66,5,1601.481663
66,6,1592.622427
67,4,1650.266355
67,5,1601.481663
67,6,1592.622427
68,4,1638.566249
68,5,1596.664303
68,6,1592.622427
69,4,1638.566249
69,5,1596.664303
69,6,1592.622427
70,4,1638.566249
70,5,1596.664303
70,6,1592.622427
71,4,1638.546881
71,5,1596.664303
71,6,1592.622427
72,4,1638.546881
72,5,1596.664303
72,6,1592.622427
73,4,1634.118621
73,5,1596.566612
73,6,1592.078754
74,4,1634.059357
74,5,1596.566612
74,6,1592.078754
75,4,1632.356169
75,5,1596.566612
75,6,1592.078754
76,4,1632.356169
76,5,1596.566612
76,6,1592.078754
77,4,1632.356169
77,5,1596.566612
77,6,1592.078754
78,4,1619.206343
78,5,1596.566612
78,6,1592.078754
79,4,1619.206343
79,5,1596.566612
79,6,1592.078754
79,7,1589.802606
80,4,1619.206343
80,5,1596.566612
80,6,1592.078754
80,7,1589.802606
81,4,1619.206343
81,5,1596.566612
81,6,1590.747955
81,7,1589.802606
82,4,1619.206343
82,5,1596.566612
82,6,1590.747955
82,7,1589.802606
83,4,1607.375381
83,5,1596.453723
83,6,1587.558007
84,4,1607.375381
84,5,1596.453723
84,6,1587.558007
85,4,1607.375381
85,5,1596.453723
85,6,1587.558007
86,4,1607.375381
86,5,1596.453723
86,6,1587.558007
87,4,1607.375381
87,5,1596.453723
87,6,1587.558007
88,4,1601.620671
88,5,1596.453723
88,6,1585.075403
89,4,1601.620671
89,5,1596.453723
89,6,1585.075403
90,4,1601.620671
90,5,1596.453723
90,6,1585.075403
91,4,1601.620671
91,5,1594.860005
91,6,1585.075403
92,4,1601.620671
92,5,1594.860005
92,6,1585.075403
93,4,1601.620671
93,5,1594.860005
93,6,1583.354137
94,4,1601.620671
94,5,1594.860005
94,6,1576.574807
95,4,1601.620671
95,5,1594.860005
95,6,1576.574807
96,4,1601.620671
96,5,1594.860005
96,6,1576.574807
97,4,1601.620671
97,5,1594.860005
97,6,1576.574807
98,4,1593.644923
98,6,1576.256590
99,4,1593.397583
99,6,1576.256590
100,4,1593.397583
100,6,1576.256590
101,4,1593.397583
101,6,1576.256590
102,4,1593.397583
102,6,1576.143959
103,4,1593.397583
103,6,1576.143959
104,4,1593.397583
104,6,1576.143959
105,4,1593.397583
105,6,1575.625099
106,4,1593.397583
106,6,1575.625099
107,4,1593.397583
107,6,1575.625099
108,4,1591.969745
108,5,1591.311417
108,6,1575.531056
109,4,1591.969745
109,5,1588.427679
109,6,1575.531056
110,4,1591.969745
110,5,1588.427679
110,6,1575.531056
111,4,1591.969745
111,5,1588.427679
111,6,1575.531056
112,4,1591.969745
112,5,1588.427679
112,6,1574.837838
113,4,1591.969745
113,5,1588.427679
113,6,1574.837838
114,4,1591.969745
114,5,1588.427679
114,6,1574.837838
115,4,1591.969745
115,5,1588.427679
115,6,1574.837838
116,4,1591.969745
116,5,1583.808154
116,6,1574.837838
117,4,1591.969745
117,5,1583.808154
117,6,1574.837838
118,4,1590.077572
118,5,1583.808154
118,6,1574.837838
119,4,1590.077572
119,5,1583.808154
119,6,1574.837838
120,4,1590.077572
120,5,1583.808154
120,6,1574.837838
121,4,1589.368459
121,5,1580.987708
121,6,1574.837838
122,4,1589.368459
122,5,1580.987708
122,6,1574.837838
123,4,1589.080607
123,5,1580.987708
123,6,1574.837838
124,4,1589.080607
124,5,1575.264197
124,6,1574.475532
125,4,1589.080607
125,5,1575.264197
125,6,1571.125348
126,4,1589.080607
126,5,1575.264197
126,6,1571.125348
127,4,1589.080607
127,5,1575.264197
127,6,1571.125348
128,4,1589.080607
128,5,1575.264197
128,6,1567.614085
129,4,1589.080607
129,5,1575.264197
129,6,1567.614085
130,4,1589.080607
130,5,1575.264197
130,6,1567.614085
131,4,1589.080607
131,5,1575.264197
131,6,1567.614085
132,4,1582.019737
132,5,1575.264197
132,6,1567.614085
133,4,1582.019737
133,5,1575.264197
133,6,1567.614085
134,4,1578.193163
134,5,1575.264197
134,6,1567.614085
135,4,1578.193163
135,5,1575.264197
135,6,1567.614085
136,4,1578.193163
136,5,1575.264197
136,6,1567.614085
137,4,1578.193163
137,5,1575.264197
137,6,1567.614085
138,4,1578.193163
138,5,1575.264197
138,6,1567.614085
139,4,1578.193163
139,5,1575.264197
139,6,1565.247234
140,4,1578.193163
140,5,1575.264197
140,6,1565.075777
141,4,1572.353181
141,6,1565.075777
142,4,1572.353181
142,6,1565.075777
143,4,1572.255787
143,6,1565.075777
143,8,1560.222177
144,4,1572.255787
144,6,1565.075777
144,8,1560.222177
145,4,1572.255787
145,6,1565.075777
145,7,1549.027901
146,4,1572.255787
146,6,1565.075777
146,7,1549.027901
147,4,1569.682341
147,6,1565.075777
147,7,1549.027901
148,4,1569.682341
148,6,1565.075777
148,7,1546.660740
149,4,1569.682341
149,6,1565.075777
149,7,1546.660740
150,4,1569.682341
150,6,1565.075777
150,7,1546.660740
151,4,1569.682341
151,6,1565.075777
151,7,1546.660740
152,4,1569.682341
152,6,1565.075777
152,7,1546.660740
153,4,1569.181884
153,6,1565.075777
153,7,1546.660740
154,4,1569.181884
154,6,1565.075777
154,7,1546.660740
155,4,1569.181884
155,6,1565.075777
155,7,1546.660740
156,4,1569.181884
156,6,1563.538005
156,7,1546.660740
157,4,1569.181884
157,5,1562.886475
157,6,1561.308676
157,7,1546.660740
158,4,1569.169963
158,5,1562.358776
