Generation,NV,TOC
1,12,5834.908807
1,14,5791.052558
1,15,5223.425099
1,16,5071.963687
1,17,4581.642480
1,18,4258.000261
1,19,3757.596515
2,12,4951.007997
2,13,3790.135643
2,19,3757.596515
3,12,4516.309088
3,13,3790.135643
3,16,3727.667454
3,18,3521.452812
3,19,3360.431166
4,10,4761.151983
4,12,4516.309088
4,13,3707.542453
4,17,3594.842752
4,18,3521.452812
4,19,3328.471649
4,20,3324.643189
4,21,3277.649084
5,10,4078.413087
5,13,3361.505956
5,19,3267.430996
5,20,3203.768475
5,21,3178.761263
6,10,4078.413087
6,12,3668.087317
6,13,3361.505956
6,16,3182.298397
6,18,2873.107305
6,20,2827.679250
7,10,3606.580310
7,12,3012.866577
7,14,2767.121102
7,18,2690.593267
8,10,3402.251358
8,12,3012.866577
8,14,2767.121102
8,17,2701.796462
8,18,2690.593267
8,20,2662.833537
9,10,3216.870666
9,12,3012.866577
9,14,2767.121102
9,17,2701.796462
9,18,2690.593267
9,19,2628.991623
10,9,3241.154033
10,10,3216.870666
10,12,2922.090181
10,13,2681.217260
10,19,2628.991623
11,9,3241.154033
11,10,3216.870666
11,11,2939.736683
11,12,2919.443548
11,13,2681.217260
11,17,2642.906708
11,19,2618.696506
12,9,3064.624778
12,11,2801.914827
12,12,2662.772203
12,14,2656.583953
12,17,2588.557264
13,9,3064.624778
13,11,2801.914827
13,12,2662.772203
13,13,2642.356540
13,14,2598.890612
13,17,2588.557264
13,18,2563.678814
14,8,3208.458310
14,9,3064.624778
14,11,2801.914827
14,12,2630.540024
14,14,2598.890612
14,15,2592.523258
14,17,2588.036608
14,18,2563.678814
14,19,2557.812715
15,8,3208.458310
15,9,3064.624778
15,11,2801.914827
15,12,2603.247992
15,14,2598.890612
15,15,2592.523258
15,17,2491.907611
16,8,3208.458310
16,9,3064.624778
16,11,2801.914827
16,12,2603.247992
16,14,2550.406225
16,15,2537.728312
16,16,2536.665225
16,17,2491.907611
17,8,2812.332006
17,10,2746.129054
17,12,2505.127061
17,15,2458.398337
18,8,2812.332006
18,10,2746.129054
18,11,2678.925047
18,12,2505.127061
18,14,2444.284133
19,8,2812.332006
19,10,2746.129054
19,11,2678.925047
19,12,2505.127061
19,13,2478.445175
19,14,2444.284133
20,8,2812.332006
20,10,2634.969796
20,11,2534.877060
20,12,2505.127061
20,13,2478.445175
