Iteration,NV,TOC
1,4,2662.948048
1,5,2050.934972
1,6,1720.043292
1,8,1483.957531
1,9,1416.973967
1,13,1360.343831
1,16,1346.069516
2,4,2662.948048
2,5,2050.934972
2,6,1720.043292
2,8,1483.957531
2,9,1416.973967
2,12,1353.453977
2,14,1330.217147
3,4,2662.948048
3,5,2050.934972
3,6,1720.043292
3,8,1483.957531
3,9,1416.973967
3,12,1353.453977
3,14,1330.217147
4,4,2662.948048
4,5,2050.934972
4,6,1720.043292
4,8,1483.957531
4,9,1416.973967
4,10,1407.827025
4,12,1353.453977
4,14,1330.217147
5,4,2662.948048
5,5,2050.934972
5,6,1720.043292
5,8,1483.957531
5,9,1416.973967
5,10,1407.827025
5,12,1353.453977
5,14,1330.217147
6,4,2662.948048
6,5,2050.934972
6,6,1720.043292
6,8,1450.406084
6,9,1416.973967
6,10,1400.242443
6,12,1353.453977
6,14,1330.217147
7,4,2662.948048
7,5,2050.934972
7,6,1720.043292
7,8,1450.406084
7,9,1416.973967
7,10,1393.158059
7,12,1353.453977
7,13,1324.088281
8,4,2662.948048
8,5,2050.934972
8,6,1720.043292
8,7,1648.796501
8,8,1450.406084
8,9,1416.973967
8,10,1393.158059
8,12,1353.453977
8,13,1324.088281
9,4,2662.948048
9,5,1911.402899
9,6,1720.043292
9,7,1648.796501
9,8,1450.406084
9,9,1416.973967
9,10,1393.158059
9,11,1374.153697
9,12,1353.453977
9,13,1324.088281
10,4,2662.948048
10,5,1911.402899
10,6,1720.043292
10,7,1644.876740
10,8,1450.406084
10,9,1391.721558
10,11,1374.153697
10,12,1353.453977
10,13,1324.088281
10,15,1264.915133
11,4,2662.948048
11,5,1911.402899
11,6,1720.043292
11,7,1608.861653
11,8,1450.406084
11,9,1391.721558
11,11,1374.153697
11,12,1353.453977
11,13,1324.088281
11,15,1264.915133
12,4,2662.948048
12,5,1911.402899
12,6,1720.043292
12,7,1587.791697
12,8,1450.406084
12,9,1391.721558
12,11,1374.153697
12,12,1353.453977
12,13,1324.088281
12,15,1264.915133
13,4,2662.948048
13,5,1911.402899
13,6,1720.043292
13,7,1587.791697
13,8,1450.406084
13,9,1391.721558
13,10,1351.316755
13,13,1324.088281
13,15,1264.915133
14,4,2662.948048
14,5,1911.402899
14,6,1720.043292
14,7,1587.791697
14,8,1450.406084
14,9,1391.721558
14,10,1345.024919
14,13,1284.611973
14,15,1264.915133
15,4,2662.948048
15,5,1902.575239
15,6,1720.043292
15,7,1585.316734
15,8,1400.891747
15,9,1391.721558
15,10,1345.024919
15,12,1232.867963
16,4,2662.948048
16,5,1902.575239
16,6,1720.043292
16,7,1585.316734
16,8,1400.891747
16,9,1391.721558
16,10,1345.024919
16,11,1257.702583
16,12,1232.867963
17,4,2662.948048
17,5,1902.575239
17,6,1720.043292
17,7,1585.316734
17,8,1400.891747
17,9,1391.721558
17,10,1345.024919
17,11,1257.702583
17,12,1232.867963
18,4,2662.948048
18,5,1902.575239
18,6,1720.043292
18,7,1458.282551
18,8,1400.891747
18,9,1391.721558
18,10,1345.024919
18,11,1257.702583
18,12,1232.867963
19,4,2662.948048
19,5,1787.505867
19,6,1720.043292
19,7,1458.282551
19,8,1400.891747
19,9,1391.721558
19,10,1345.024919
19,11,1257.702583
19,12,1232.867963
20,4,2625.670914
20,5,1787.505867
20,6,1720.043292
20,7,1451.329194
20,8,1400.891747
20,9,1332.486552
20,11,1257.702583
20,12,1232.867963
21,4,2625.670914
21,5,1787.505867
21,6,1720.043292
21,7,1451.329194
21,8,1400.891747
21,9,1332.486552
21,11,1257.702583
21,12,1232.867963
22,4,2625.670914
22,5,1787.505867
22,6,1720.043292
22,7,1451.329194
22,8,1400.891747
22,9,1332.486552
22,11,1257.702583
22,12,1232.867963
23,4,2625.670914
23,5,1787.505867
23,6,1720.043292
23,7,1451.329194
23,8,1385.631948
23,9,1332.486552
23,11,1257.702583
23,12,1232.867963
24,4,2625.670914
24,5,1787.505867
24,6,1720.043292
24,7,1439.539387
24,8,1385.631948
24,9,1332.486552
24,11,1257.702583
24,12,1232.867963
25,4,2625.670914
25,5,1787.505867
25,6,1416.462750
25,8,1385.631948
25,9,1332.486552
25,11,1257.702583
25,12,1232.867963
26,3,4428.129506
26,4,2296.739951
26,5,1787.505867
26,6,1416.462750
26,8,1385.631948
26,9,1332.486552
26,11,1257.702583
26,12,1232.867963
27,3,4428.129506
27,4,2296.739951
27,5,1787.505867
27,6,1416.462750
27,8,1385.631948
27,9,1332.486552
27,10,1319.492652
27,11,1257.702583
27,12,1232.867963
28,3,4428.129506
28,4,2296.739951
28,5,1787.505867
