Iteration,NV,TOC
1,14,8428.673119
1,15,7630.059271
1,17,6577.741724
1,20,6357.352920
1,21,6296.303210
1,22,5725.609061
1,24,5240.029093
1,32,5014.515826
1,33,4676.974729
1,39,4396.943866
1,54,4312.541346
2,14,8428.673119
2,15,7630.059271
2,17,6577.741724
2,20,6357.352920
2,21,6261.195891
2,22,5725.609061
2,24,5240.029093
2,31,4741.148098
2,33,4676.974729
2,39,4396.943866
2,49,4345.522412
2,54,4312.541346
3,13,11141.088845
3,14,8428.673119
3,15,7630.059271
3,17,6577.741724
3,20,6357.352920
3,21,6261.195891
3,22,5725.609061
3,24,5240.029093
3,31,4741.148098
3,33,4676.974729
3,39,4396.943866
3,49,4345.522412
3,54,4312.541346
4,13,9647.300979
4,14,8428.673119
4,15,7630.059271
4,17,6577.741724
4,20,6357.352920
4,21,5987.826186
4,22,5725.609061
4,24,5240.029093
4,28,4715.801100
4,32,4625.757445
4,38,4573.792793
4,39,4396.943866
4,49,4345.522412
4,54,4312.541346
4,61,4310.743069
5,13,9647.300979
5,14,8428.673119
5,15,7630.059271
5,17,6577.741724
5,18,6386.372223
5,20,6357.352920
5,21,5987.826186
5,22,5725.609061
5,24,5240.029093
5,28,4715.801100
5,32,4625.757445
5,38,4573.792793
5,39,4396.943866
5,49,4345.522412
5,53,4282.078621
6,13,9647.300979
6,14,8428.673119
6,15,7630.059271
6,17,6577.741724
6,18,6386.372223
6,20,6093.263508
6,21,5987.826186
6,22,5725.609061
6,24,5240.029093
6,28,4715.801100
6,32,4625.757445
6,38,4573.792793
6,39,4396.943866
6,49,4345.522412
6,53,4282.078621
7,13,9647.300979
7,14,8428.673119
7,15,7630.059271
7,17,6577.741724
7,18,6386.372223
7,19,6253.221450
7,20,5727.879494
7,22,5725.609061
7,24,5240.029093
7,27,5230.101286
7,28,4715.801100
7,32,4625.757445
7,38,4573.792793
7,39,4396.943866
7,48,4331.569729
7,53,4282.078621
8,13,9647.300979
8,14,8428.673119
8,15,7630.059271
8,17,6577.741724
8,18,6386.372223
8,19,5815.676732
8,20,5727.879494
8,22,5224.134360
8,28,4715.801100
8,32,4625.757445
8,38,4573.792793
8,39,4396.943866
8,48,4294.801884
8,52,4275.668277
9,13,9647.300979
9,14,8428.673119
9,15,7630.059271
9,17,6577.741724
9,18,6386.372223
9,19,5815.676732
9,20,5727.879494
9,22,5224.134360
9,28,4715.801100
9,30,4473.103480
9,39,4396.943866
9,48,4294.801884
9,52,4275.668277
9,54,4274.117785
10,13,9647.300979
10,14,8428.673119
10,15,7630.059271
10,17,6577.741724
10,18,6386.372223
10,19,5815.676732
10,20,5727.879494
10,22,5224.134360
10,28,4715.801100
10,30,4473.103480
10,39,4396.943866
10,48,4294.801884
10,52,4275.668277
10,54,4274.117785
10,60,4257.241997
11,13,9647.300979
11,14,8428.673119
11,15,7630.059271
11,16,7402.582606
11,17,6577.741724
11,18,6386.372223
11,19,5815.676732
11,20,5727.879494
11,22,5224.134360
11,27,5127.044675
11,28,4715.801100
11,30,4473.103480
11,39,4396.943866
11,48,4294.801884
11,52,4275.668277
11,54,4274.117785
11,60,4257.241997
12,13,9647.300979
12,14,8428.673119
12,15,7630.059271
12,16,7402.582606
12,17,6577.741724
12,18,6386.372223
12,19,5815.676732
12,20,5727.879494
12,22,5224.134360
12,27,5127.044675
12,28,4715.801100
12,30,4473.103480
12,39,4396.943866
12,48,4294.801884
12,52,4275.668277
12,54,4274.117785
12,60,4257.241997
13,13,9647.300979
13,14,8428.673119
13,15,7630.059271
13,16,7402.582606
13,17,6577.741724
13,18,6386.372223
13,19,5815.676732
13,20,5727.879494
13,22,5224.134360
13,27,5071.851874
13,28,4715.801100
13,30,4473.103480
13,39,4396.943866
13,48,4294.801884
13,52,4275.668277
13,54,4274.117785
13,60,4257.241997
14,13,9647.300979
14,14,8428.673119
14,15,7630.059271
14,16,7402.582606
14,17,6577.741724
14,18,6386.372223
14,19,5815.676732
14,20,5727.879494
14,21,5629.302129
14,22,5224.134360
14,25,5177.198651
14,27,5071.851874
14,28,4715.801100
14,30,4473.103480
14,39,4396.943866
14,48,4294.801884
14,52,4275.668277
14,54,4274.117785
14,57,4267.166368
14,60,4257.241997
15,13,9647.300979
15,14,8428.673119
15,15,7630.059271
15,16,7402.582606
15,17,6577.741724
15,18,6386.372223
15,19,5815.676732
15,20,5727.879494
15,21,5629.302129
15,22,5224.134360
15,25,5177.198651
15,27,5071.851874
15,28,4394.572985
15,48,4294.801884
15,52,4255.390076
16,13,9647.300979
16,14,8428.673119
16,15,7630.059271
16,16,7402.582606
16,17,6577.741724
16,18,6386.372223
16,19,5815.676732
16,20,5727.879494
16,21,5629.302129
16,22,5224.134360
16,25,5177.198651
16,27,5071.851874
16,28,4394.572985
16,48,4294.801884
16,52,4255.390076
17,13,9356.251500
17,14,8428.673119
17,15,7630.059271
