Iteration,NV,TOC
1,12,10004.578181
1,13,9424.894417
1,15,7889.402336
1,16,6749.232534
1,17,6720.060298
1,18,6078.390112
1,20,5667.276519
1,21,5449.506070
1,22,5297.200619
1,23,5111.037873
1,24,4756.531100
1,26,4593.479805
1,30,4368.521154
1,44,4332.184140
1,45,4330.190299
1,50,4252.725165
2,12,10004.578181
2,13,9424.894417
2,15,7889.402336
2,16,6749.232534
2,17,6720.060298
2,18,6078.390112
2,20,5667.276519
2,21,5449.506070
2,22,5297.200619
2,23,5111.037873
2,24,4756.531100
2,26,4593.479805
2,30,4368.521154
2,44,4332.184140
2,45,4330.190299
2,50,4252.725165
3,12,10004.578181
3,13,9424.894417
3,14,7893.851021
3,15,7889.402336
3,16,6749.232534
3,17,6439.813780
3,18,6078.390112
3,20,5667.276519
3,21,5449.506070
3,22,5297.200619
3,23,5111.037873
3,24,4756.531100
3,26,4593.479805
3,30,4368.521154
3,44,4332.184140
3,45,4330.190299
3,50,4252.725165
4,12,10004.578181
4,13,9424.894417
4,14,7893.851021
4,15,7889.402336
4,16,6749.232534
4,17,6439.813780
4,18,5922.446802
4,20,5667.276519
4,21,5254.057422
4,23,5111.037873
4,24,4756.531100
4,26,4593.479805
4,30,4368.521154
4,41,4307.522347
4,50,4252.725165
5,11,12973.549678
5,12,10004.578181
5,13,9424.894417
5,14,7470.766675
5,16,6749.232534
5,17,6439.813780
5,18,5922.446802
5,20,5667.276519
5,21,5254.057422
5,23,5101.497637
5,24,4756.531100
5,26,4593.479805
5,30,4368.521154
5,40,4368.386825
5,41,4307.522347
5,50,4252.725165
6,11,12973.549678
6,12,10004.578181
6,13,9424.894417
6,14,7470.766675
6,16,6667.143876
6,17,6439.813780
6,18,5922.446802
6,20,5667.276519
6,21,5254.057422
6,23,4943.945617
6,24,4756.531100
6,26,4593.479805
6,30,4368.521154
6,40,4331.204807
6,41,4307.522347
6,50,4252.725165
7,11,12973.549678
7,12,10004.578181
7,13,9424.894417
7,14,7470.766675
7,16,6667.143876
7,17,6439.813780
7,18,5922.446802
7,20,5667.276519
7,21,5254.057422
7,22,5180.501550
7,23,4943.945617
7,24,4756.531100
7,26,4593.479805
7,30,4368.521154
7,37,4365.108058
7,40,4331.204807
7,41,4307.522347
7,50,4252.725165
8,11,12973.549678
8,12,10004.578181
8,13,9424.894417
8,14,7470.766675
8,16,6667.143876
8,17,6439.813780
8,18,5922.446802
8,20,5667.276519
8,21,5196.464628
8,22,5180.501550
8,23,4943.945617
8,24,4756.531100
8,26,4593.479805
8,30,4368.521154
8,37,4365.108058
8,40,4331.204807
8,41,4307.522347
8,43,4245.520793
9,11,12973.549678
9,12,10004.578181
9,13,9424.894417
9,14,7470.766675
9,16,6666.298781
9,17,6419.451345
9,18,5922.446802
9,20,5667.276519
9,21,5196.464628
9,22,5180.501550
9,23,4943.945617
9,24,4756.531100
9,26,4593.479805
9,30,4368.521154
9,37,4365.108058
9,40,4331.204807
9,41,4307.522347
9,43,4245.520793
10,11,12973.549678
10,12,10004.578181
10,13,9323.302386
10,14,7470.766675
10,16,6666.298781
10,17,6419.451345
10,18,5922.446802
10,20,5667.276519
10,21,5196.464628
10,22,5180.501550
10,23,4943.945617
10,24,4756.531100
10,26,4593.479805
10,30,4368.521154
10,37,4365.108058
10,40,4331.204807
10,41,4307.522347
10,43,4245.520793
11,11,12973.549678
11,12,10004.578181
11,13,8951.465497
11,14,7470.766675
11,16,6666.298781
11,17,6419.451345
11,18,5922.446802
11,20,5602.404377
11,21,5196.464628
11,22,5147.190788
11,23,4943.945617
11,24,4756.531100
11,26,4593.479805
11,29,4553.701723
11,30,4368.521154
11,37,4365.108058
11,40,4331.204807
11,41,4266.305928
11,43,4245.520793
12,11,11920.675876
12,12,10004.578181
12,13,8951.465497
12,14,7470.766675
12,16,6666.298781
12,17,6226.829040
12,18,5922.446802
12,20,5602.404377
