Iteration,NV,TOC
1,13,19392.414800
1,14,13961.435988
1,15,12468.092862
1,16,11387.824456
1,17,9440.819435
1,18,9102.864453
1,19,8767.262312
1,20,8214.053597
1,21,6949.522582
1,23,6942.888997
1,26,6690.668284
1,27,6320.680656
1,29,5932.036917
1,34,5545.035977
2,13,19392.414800
2,14,13961.435988
2,15,12468.092862
2,16,11387.824456
2,17,9440.819435
2,18,9102.864453
2,19,8767.262312
2,20,8214.053597
2,21,6949.522582
2,23,6942.888997
2,26,6690.668284
2,27,6320.680656
2,29,5932.036917
2,34,5545.035977
3,13,17085.129027
3,14,13961.435988
3,15,12468.092862
3,16,11387.824456
3,17,9440.819435
3,18,9102.864453
3,19,8767.262312
3,20,8214.053597
3,21,6949.522582
3,23,6942.888997
3,26,6690.668284
3,27,6320.680656
3,29,5932.036917
3,34,5545.035977
4,13,15083.893042
4,14,13961.435988
4,15,12468.092862
4,16,10615.606892
4,17,9440.819435
4,18,9102.864453
4,19,8767.262312
4,20,8214.053597
4,21,6949.522582
4,23,6942.888997
4,26,6690.668284
4,27,6320.680656
4,29,5932.036917
4,34,5545.035977
5,13,15083.893042
5,14,13961.435988
5,15,12468.092862
5,16,10615.606892
5,17,9313.515752
5,18,9102.864453
5,19,8767.262312
5,20,8214.053597
5,21,6949.522582
5,23,6942.888997
5,26,6690.668284
5,27,6320.680656
5,29,5932.036917
5,34,5545.035977
6,12,27454.579249
6,13,15083.893042
6,14,13961.435988
6,15,11442.463384
6,16,10615.606892
6,17,9313.515752
6,18,9102.864453
6,19,8767.262312
6,20,8214.053597
6,21,6949.522582
6,23,6942.888997
6,26,6690.668284
6,27,6320.680656
6,29,5932.036917
6,34,5545.035977
7,12,27454.579249
7,13,15083.893042
7,14,13961.435988
7,15,11088.019809
7,16,10615.606892
7,17,9313.515752
7,18,9102.864453
7,19,8767.262312
7,20,8214.053597
7,21,6949.522582
7,23,6942.888997
7,25,6032.258103
7,29,5932.036917
7,34,5545.035977
8,12,27454.579249
8,13,15083.893042
8,14,13792.360246
8,15,11088.019809
8,16,10615.606892
8,17,9313.515752
8,18,9102.864453
8,19,8234.052253
8,20,8214.053597
8,21,6949.522582
8,23,6942.888997
8,25,6032.258103
8,29,5932.036917
8,34,5545.035977
9,12,27454.579249
9,13,15083.893042
9,14,13792.360246
9,15,11088.019809
9,16,10615.606892
9,17,9313.515752
9,18,9102.864453
9,19,8234.052253
9,20,8189.603631
9,21,6949.522582
9,23,6942.888997
9,25,6032.258103
9,29,5932.036917
9,33,5641.287744
9,34,5545.035977
10,12,27454.579249
10,13,15083.893042
10,14,13551.243236
10,15,11088.019809
10,16,10510.431766
10,17,9313.515752
10,18,8168.990175
10,21,6949.522582
10,23,6609.798176
10,25,6032.258103
10,29,5932.036917
10,30,5694.440482
10,33,5641.287744
10,34,5545.035977
11,12,27454.579249
11,13,15083.893042
11,14,13490.731658
11,15,11088.019809
11,16,10510.431766
11,17,9313.515752
11,18,8153.895624
11,20,8096.975192
11,21,6949.522582
11,22,6728.519730
11,23,6609.798176
11,24,6500.590890
11,25,6032.258103
11,29,5932.036917
11,30,5694.440482
11,33,5641.287744
11,34,5545.035977
12,12,27454.579249
12,13,15083.893042
12,14,13468.959436
12,15,11088.019809
12,16,10510.431766
12,17,9216.443833
12,18,8153.895624
12,20,8096.975192
12,21,6840.643503
12,22,6728.519730
12,23,6609.798176
12,24,6500.590890
12,25,6032.258103
12,28,5972.229955
12,29,5932.036917
12,30,5694.440482
12,33,5641.287744
12,34,5545.035977
13,12,16054.504853
13,13,15083.893042
13,14,13468.959436
13,15,11088.019809
13,16,10510.431766
13,17,8933.453280
13,18,8153.895624
13,19,7991.539495
13,21,6840.643503
13,22,6728.519730
13,23,6609.798176
13,24,6500.590890
13,25,6032.258103
13,28,5972.229955
13,29,5932.036917
13,30,5694.440482
13,32,5693.360348
13,33,5641.287744
13,34,5545.035977
14,12,16054.504853
14,13,15083.893042
14,14,13397.681969
14,15,11088.019809
14,16,10312.522830
14,17,8933.453280
14,18,8153.895624
14,19,7756.565675
14,21,6840.643503
14,22,6728.519730
14,23,6609.798176
14,24,6500.590890
14,25,6032.258103
14,28,5972.229955
14,29,5932.036917
14,30,5694.440482
14,32,5693.360348
14,33,5641.287744
14,34,5545.035977
15,12,16054.504853
15,13,15033.180332
15,14,13387.028359
15,15,11088.019809
15,16,10312.522830
15,17,8665.234414
15,18,8153.895624
15,19,7756.565675
15,21,6840.643503
15,22,6728.519730
15,23,6609.798176
15,24,6500.590890
15,25,6032.258103
15,27,6003.456224
15,28,5972.229955
15,29,5932.036917
15,30,5694.440482
15,31,5501.182828
16,12,16054.504853
16,13,14350.608186
16,14,13387.028359
16,15,11088.019809
16,16,9908.901152
16,17,8665.234414
16,18,8153.895624
16,19,7672.458956
16,20,7669.945171
16,21,6840.643503
16,22,6728.519730
16,23,6609.798176
16,24,6500.590890
16,25,6032.258103
16,27,6003.456224
16,28,5678.890128
16,31,5501.182828
17,12,16054.504853
17,13,14350.608186
17,14,12943.388876
17,15,11088.019809
17,16,9908.901152
17,17,8665.234414
17,18,8153.895624
17,19,7672.458956
17,20,7584.967720
17,21,6840.643503
17,22,6728.519730
17,23,6609.798176
17,24,6500.590890
17,25,6032.258103
17,27,5998.509784
17,28,5678.890128
17,31,5501.182828
18,12,16054.504853
18,13,14350.608186
18,14,12627.615232
18,15,11088.019809
18,16,9875.648950
18,17,8665.234414
18,18,8153.895624
18,19,7596.398071
18,20,7584.967720
18,21,6840.643503
18,22,6728.519730
18,23,6609.798176
18,24,6500.590890
18,25,5997.694243
18,26,5974.940641
18,28,5678.890128
18,31,5501.182828
19,12,16054.504853
19,13,14320.704089
19,14,12627.615232
19,15,11088.019809
19,16,9875.648950
19,17,8665.234414
19,18,8153.895624
19,19,7596.398071
19,20,7584.967720
19,21,6840.643503
19,22,6655.865437
19,23,6609.798176
19,24,6281.150175
19,25,5997.694243
19,26,5974.940641
19,28,5678.890128
19,31,5501.182828
19,41,5466.846922
20,12,16054.504853
20,13,14320.704089
20,14,12560.074545
20,15,11088.019809
20,16,9875.648950
20,17,8665.234414
20,18,8153.895624
20,19,7596.398071
20,20,7584.967720
20,21,6840.643503
20,22,6655.865437
20,23,6609.798176
20,24,6281.150175
20,25,5997.694243
20,26,5760.263314
20,28,5678.890128
20,31,5501.182828
20,39,5495.279643
20,41,5466.846922
21,12,16054.504853
21,13,14320.704089
21,14,12522.276483
21,15,11088.019809
21,16,9875.648950
21,17,8665.234414
21,18,8153.895624
21,19,7596.398071
21,20,7584.967720
21,21,6840.643503
21,22,6655.865437
21,23,6401.736891
21,24,6281.150175
21,25,5997.694243
21,26,5760.263314
21,28,5678.890128
21,31,5501.182828
21,35,5475.088420
21,41,5466.846922
22,12,16054.504853
22,13,14320.704089
22,14,12522.276483
22,15,11088.019809
22,16,9875.648950
22,17,8665.234414
22,18,8153.895624
22,19,7596.398071
22,20,7584.967720
22,21,6840.643503
22,22,6655.865437
22,23,6401.736891
22,24,6281.150175
22,25,5997.694243
22,26,5760.263314
22,28,5678.890128
22,31,5501.182828
22,35,5475.088420
22,41,5466.846922
23,12,16054.504853
23,13,14320.704089
23,14,12522.276483
23,15,10860.635795
23,16,9875.648950
23,17,8665.234414
23,18,8153.895624
23,19,7596.398071
23,20,7584.967720
23,21,6840.643503
23,22,6655.865437
23,23,6401.736891
23,24,6281.150175
23,25,5997.694243
23,26,5760.263314
23,28,5678.890128
23,31,5501.182828
23,35,5475.088420
23,41,5466.846922
24,12,16054.504853
24,13,14320.704089
24,14,12522.276483
24,15,10860.635795
24,16,9875.648950
24,17,8665.234414
24,18,8153.895624
24,19,7596.398071
24,20,7584.967720
24,21,6840.643503
24,22,6541.538244
24,23,6401.736891
24,24,6113.863092
24,25,5997.694243
24,26,5760.263314
24,27,5731.024840
24,28,5678.890128
24,29,5632.351413
24,31,5501.182828
24,33,5498.545090
24,35,5475.088420
24,38,5464.796833
25,12,16054.504853
25,13,13700.869944
25,14,12522.276483
25,15,10860.635795
25,16,9875.648950
25,17,8454.013591
25,18,8153.895624
25,19,7596.398071
25,20,7518.103063
25,21,6840.643503
25,22,6541.538244
25,23,6401.736891
25,24,6113.863092
25,25,5997.694243
25,26,5760.263314
25,27,5731.024840
25,28,5678.890128
25,29,5632.351413
25,31,5390.899376
26,12,16054.504853
26,13,13700.869944
26,14,12522.276483
26,15,10860.635795
26,16,9875.648950
26,17,8454.013591
26,18,8153.895624
26,19,7557.383205
26,20,6776.295874
26,22,6541.538244
26,23,6401.736891
26,24,6113.863092
26,25,5997.694243
26,26,5760.263314
26,27,5731.024840
26,28,5678.890128
26,29,5632.351413
26,31,5390.899376
27,12,15705.336523
27,13,13700.869944
27,14,12522.276483
27,15,10860.635795
27,16,9875.648950
27,17,8454.013591
27,18,8147.578549
27,19,7557.383205
27,20,6776.295874
27,22,6541.538244
27,23,6401.736891
27,24,6113.863092
27,25,5997.694243
27,26,5760.263314
27,27,5731.024840
27,28,5678.890128
27,29,5632.351413
27,30,5541.704006
27,31,5390.899376
28,11,18076.618315
28,12,15705.336523
28,13,13700.869944
28,14,12522.276483
28,15,10860.635795
28,16,9805.942046
28,17,8454.013591
28,18,8147.578549
28,19,7557.383205
28,20,6776.295874
28,22,6541.538244
28,23,6297.503596
28,24,6113.863092
28,25,5997.694243
28,26,5760.263314
28,27,5731.024840
28,28,5678.890128
28,29,5632.351413
28,30,5541.704006
28,31,5390.899376
29,11,18076.618315
29,12,15705.336523
29,13,13700.869944
29,14,12522.276483
29,15,10860.635795
29,16,9805.942046
29,17,8454.013591
29,18,8147.578549
29,19,7442.801873
29,20,6776.295874
29,22,6541.538244
29,23,6297.503596
29,24,6113.863092
29,25,5997.694243
29,26,5760.263314
29,27,5731.024840
29,28,5678.890128
29,29,5632.351413
29,30,5541.704006
29,31,5390.899376
30,11,18076.618315
30,12,15705.336523
30,13,12474.912112
30,15,10860.635795
30,16,9805.942046
30,17,8454.013591
30,18,8147.578549
30,19,7442.801873
30,20,6776.295874
30,22,6541.538244
30,23,6297.503596
30,24,6113.863092
30,25,5997.694243
30,26,5760.263314
30,27,5731.024840
30,28,5678.890128
30,29,5523.993402
30,31,5390.899376
31,11,18076.618315
31,12,15705.336523
31,13,12474.912112
31,15,10860.635795
31,16,9805.942046
31,17,8454.013591
31,18,8147.578549
31,19,7442.801873
31,20,6776.295874
31,22,6424.597145
31,23,6297.503596
31,24,6113.863092
31,25,5997.694243
31,26,5760.263314
31,27,5731.024840
31,28,5678.890128
31,29,5523.993402
31,31,5390.899376
32,11,18076.618315
32,12,15009.728110
32,13,12361.527853
32,15,10860.635795
32,16,9631.130951
32,17,8454.013591
32,18,7933.770180
32,19,7442.801873
32,20,6776.295874
32,22,6424.597145
32,23,6297.503596
32,24,6113.863092
32,25,5997.694243
32,26,5760.263314
32,27,5731.024840
32,28,5678.890128
32,29,5523.993402
32,31,5390.899376
33,11,18076.618315
33,12,14243.464513
33,13,12361.527853
33,14,11934.117635
33,15,10860.635795
33,16,9631.130951
33,17,8454.013591
33,18,7933.770180
33,19,7442.801873
33,20,6776.295874
33,22,6424.597145
33,23,6297.503596
33,24,6113.863092
33,25,5997.694243
33,26,5760.263314
33,27,5731.024840
33,28,5620.064716
33,29,5523.993402
33,31,5390.899376
34,11,16048.226188
34,12,13633.870919
34,13,12175.865794
34,14,11934.117635
34,15,10860.635795
34,16,9631.130951
34,17,8454.013591
34,18,7788.412448
34,19,7442.801873
34,20,6776.295874
34,22,6424.597145
34,23,6297.503596
34,24,6113.863092
34,25,5891.699413
34,26,5760.263314
34,27,5731.024840
34,28,5620.064716
34,29,5523.993402
34,31,5390.899376
35,11,15116.888248
35,12,13633.870919
35,13,12175.865794
35,14,11934.117635
35,15,10860.635795
35,16,9631.130951
35,17,8454.013591
35,18,7788.412448
35,19,7442.801873
35,20,6776.295874
35,22,6424.597145
35,23,6297.503596
35,24,6113.863092
35,25,5891.699413
35,26,5760.263314
35,27,5731.024840
35,28,5620.064716
35,29,5523.993402
35,31,5339.040508
36,11,15116.888248
36,12,13633.870919
36,13,12175.865794
36,14,11757.557100
36,15,10860.635795
36,16,9631.130951
36,17,8454.013591
36,18,7788.412448
36,19,7442.801873
36,20,6776.295874
36,22,6424.597145
36,23,6297.503596
36,24,6113.863092
36,25,5891.699413
36,26,5760.263314
36,27,5731.024840
36,28,5620.064716
36,29,5523.993402
36,31,5339.040508
37,11,15116.888248
37,12,13451.425280
37,13,12065.010702
37,14,11595.261987
37,15,10860.635795
37,16,9631.130951
37,17,8454.013591
37,18,7788.412448
37,19,7442.801873
37,20,6776.295874
37,22,6424.597145
37,23,6297.503596
37,24,6113.863092
37,25,5891.699413
37,26,5760.263314
37,27,5731.024840
37,28,5620.064716
37,29,5523.993402
37,31,5339.040508
38,11,15116.888248
38,12,13451.425280
38,13,12065.010702
38,14,11595.261987
38,15,10860.635795
38,16,9631.130951
38,17,8454.013591
38,18,7788.412448
38,19,7442.801873
38,20,6776.295874
38,21,6762.810090
38,22,6424.597145
38,23,6297.503596
38,24,6113.863092
38,25,5891.699413
38,26,5760.263314
38,27,5731.024840
38,28,5620.064716
38,29,5523.993402
38,31,5339.040508
39,11,15116.888248
39,12,13451.425280
39,13,12065.010702
39,14,11283.646365
39,15,10860.635795
39,16,9631.130951
39,17,8454.013591
39,18,7788.412448
39,19,7442.801873
39,20,6776.295874
39,21,6762.810090
39,22,6424.597145
39,23,6297.503596
39,24,6113.863092
39,25,5891.699413
39,26,5760.263314
39,27,5731.024840
39,28,5620.064716
39,29,5523.993402
39,31,5339.040508
40,11,15116.888248
40,12,13055.931941
40,13,12065.010702
40,14,10716.711529
40,16,9631.130951
40,17,8454.013591
40,18,7788.412448
40,19,7442.801873
40,20,6776.295874
40,21,6762.810090
40,22,6424.597145
40,23,6297.503596
40,24,6113.863092
40,25,5891.699413
40,26,5760.263314
40,27,5731.024840
40,28,5620.064716
40,29,5523.993402
40,31,5339.040508
41,11,15116.888248
41,12,13055.931941
41,13,12065.010702
41,14,10716.711529
41,16,9631.130951
41,17,8454.013591
41,18,7788.412448
41,19,7243.097193
41,20,6776.295874
41,21,6762.810090
41,22,6424.597145
41,23,6249.868319
41,24,6113.863092
41,25,5891.699413
41,26,5760.263314
41,27,5731.024840
41,28,5620.064716
41,29,5523.993402
41,31,5339.040508
42,11,15043.168285
42,12,13055.931941
42,13,11653.533960
42,14,10716.711529
42,16,9631.130951
42,17,8454.013591
42,18,7788.412448
42,19,7243.097193
42,20,6776.295874
42,21,6762.810090
42,22,6424.597145
42,23,6249.868319
42,24,6113.863092
42,25,5891.699413
42,26,5760.263314
42,27,5731.024840
42,28,5620.064716
42,29,5523.993402
42,31,5339.040508
43,11,15043.168285
43,12,12893.519300
43,13,11653.533960
43,14,10716.711529
43,16,9631.130951
43,17,8454.013591
43,18,7788.412448
43,19,7243.097193
43,20,6776.295874
43,21,6633.615969
43,22,6424.597145
43,23,6249.868319
43,24,6113.863092
43,25,5891.699413
43,26,5760.263314
43,27,5731.024840
43,28,5620.064716
43,29,5523.993402
43,31,5339.040508
44,11,15043.168285
44,12,12893.519300
44,13,11653.533960
44,14,10716.711529
44,16,9631.130951
44,17,8454.013591
44,18,7788.412448
44,19,7243.097193
44,20,6776.295874
44,21,6633.615969
44,22,6424.597145
44,23,6249.868319
44,24,6113.863092
44,25,5891.699413
44,26,5760.263314
44,27,5731.024840
44,28,5620.064716
44,29,5523.993402
44,31,5339.040508
45,11,15042.869522
45,12,12893.519300
45,13,11653.533960
45,14,10576.855211
45,16,9631.130951
45,17,8454.013591
45,18,7788.412448
45,19,7217.356456
45,20,6776.295874
45,21,6539.204316
45,22,6424.597145
45,23,6249.868319
45,24,6113.863092
45,25,5891.699413
45,26,5760.263314
45,27,5731.024840
45,28,5620.064716
45,29,5523.993402
45,31,5339.040508
46,11,15042.869522
46,12,12893.519300
46,13,11653.533960
46,14,10576.855211
46,16,9631.130951
46,17,7529.764291
46,19,7217.356456
46,20,6776.295874
46,21,6539.204316
46,22,6424.597145
46,23,6052.935008
46,25,5891.699413
46,26,5760.263314
46,27,5731.024840
46,28,5620.064716
46,29,5523.993402
46,31,5339.040508
47,11,15042.869522
47,12,12890.896561
47,13,11653.533960
47,14,10576.855211
47,16,8742.625201
47,17,7529.764291
47,18,7427.986431
47,19,7217.356456
47,20,6776.295874
47,21,6539.204316
47,22,6424.597145
47,23,6052.935008
47,24,5872.596936
47,26,5760.263314
47,27,5731.024840
47,28,5620.064716
47,29,5523.993402
47,31,5339.040508
48,11,15042.869522
48,12,12363.621363
48,13,11653.533960
48,14,10576.855211
48,16,8742.625201
48,17,7529.764291
48,18,7427.986431
48,19,7217.356456
