Iteration,NV,TOC
1,13,24053.235533
1,14,19810.241429
1,15,14045.924832
1,16,10210.824796
1,18,9439.612738
1,19,9265.006874
1,20,8682.918499
1,21,8263.287225
1,22,7758.825081
1,25,6765.804493
1,28,6105.289023
1,36,5843.063458
1,39,5554.945193
1,45,5521.728165
1,52,5512.586298
1,53,5379.803490
1,59,5362.945372
1,81,5358.438952
2,12,22059.516935
2,13,19481.683138
2,15,14045.924832
2,16,10210.824796
2,18,9439.612738
2,19,9265.006874
2,20,8682.918499
2,21,8263.287225
2,22,7758.825081
2,23,7329.989092
2,25,6765.804493
2,28,6105.289023
2,36,5843.063458
2,39,5554.945193
2,45,5521.728165
2,52,5512.586298
2,53,5379.803490
2,59,5362.945372
2,81,5358.438952
3,12,22059.516935
3,13,19481.683138
3,14,14470.388006
3,15,14045.924832
3,16,10210.824796
3,18,9439.612738
3,19,9265.006874
3,20,8682.918499
3,21,8263.287225
3,22,7758.825081
3,23,7329.989092
3,25,6765.804493
3,28,6105.289023
3,35,5938.472060
3,36,5843.063458
3,39,5554.945193
3,45,5521.728165
3,52,5512.586298
3,53,5379.803490
3,59,5362.945372
3,81,5358.438952
4,12,22059.516935
4,13,19481.683138
4,14,14470.388006
4,15,14045.924832
4,16,10210.824796
4,18,9439.612738
4,19,9265.006874
4,20,8682.918499
4,21,8263.287225
4,22,7758.825081
4,23,7329.989092
4,25,6765.804493
4,28,6105.289023
4,35,5938.472060
4,36,5843.063458
4,39,5554.945193
4,45,5521.728165
4,52,5512.586298
4,53,5379.803490
4,59,5362.945372
4,81,5358.438952
5,12,21876.794433
5,13,19481.683138
5,14,14470.388006
5,15,13908.579966
5,16,10210.824796
5,17,8937.290579
5,20,8682.918499
5,21,8263.287225
5,22,7758.825081
5,23,7329.989092
5,25,6765.804493
5,28,6105.289023
5,35,5938.472060
5,36,5843.063458
5,39,5554.945193
5,45,5521.728165
5,52,5512.586298
5,53,5379.803490
5,59,5362.945372
5,81,5358.438952
6,12,21876.794433
6,13,19481.683138
6,14,14470.388006
6,15,13908.579966
6,16,10210.824796
6,17,8937.290579
6,20,8682.918499
6,21,8263.287225
6,22,7758.825081
6,23,7329.989092
6,25,6765.804493
6,28,6105.289023
6,35,5938.472060
6,36,5843.063458
6,39,5554.945193
6,45,5521.728165
6,52,5512.586298
6,53,5379.803490
6,59,5362.945372
