Iteration,NV,TOC
1,6,4844.007434
1,7,3742.563245
1,8,2658.835632
1,9,2461.227641
1,10,2358.958144
1,16,2287.657011
2,6,4844.007434
2,7,3574.258380
2,8,2611.362011
2,9,2461.227641
2,10,2347.346261
2,16,2287.657011
2,19,2252.620086
3,6,4844.007434
3,7,3574.258380
3,8,2561.353910
3,9,2441.076870
3,10,2347.346261
3,16,2287.657011
3,19,2252.620086
4,6,4604.445246
4,7,3574.258380
4,8,2561.353910
4,9,2441.076870
4,10,2347.346261
4,16,2287.657011
4,19,2252.620086
5,5,6895.470964
5,6,4407.880092
5,7,3142.590102
5,8,2561.353910
5,9,2441.076870
5,10,2347.346261
5,15,2330.690108
5,16,2287.657011
5,19,2252.620086
6,5,6895.470964
6,6,4407.880092
6,7,3142.590102
6,8,2561.353910
6,9,2441.076870
6,10,2347.346261
6,15,2330.690108
6,16,2287.657011
6,19,2203.216736
7,5,6895.470964
7,6,4407.880092
7,7,3142.590102
7,8,2561.353910
7,9,2441.076870
7,10,2338.562798
7,15,2330.690108
7,16,2287.657011
7,19,2203.216736
8,5,6895.470964
8,6,4407.880092
8,7,2924.231751
8,8,2561.353910
8,9,2441.076870
8,10,2301.814985
8,16,2287.657011
8,19,2203.216736
9,5,6895.470964
9,6,3791.158436
9,7,2498.146193
9,9,2441.076870
9,10,2263.501174
9,19,2203.216736
10,5,6895.470964
10,6,3791.158436
10,7,2498.146193
10,9,2337.957171
10,10,2263.501174
10,19,2203.216736
11,5,6895.470964
11,6,3791.158436
11,7,2498.146193
11,8,2456.502388
11,9,2337.957171
11,10,2263.501174
11,19,2203.216736
12,5,6895.470964
12,6,3791.158436
12,7,2498.146193
12,8,2456.502388
12,9,2337.957171
12,10,2263.501174
12,19,2203.216736
13,5,5207.228182
13,6,3791.158436
13,7,2498.146193
13,8,2456.502388
13,9,2337.957171
13,10,2263.501174
13,19,2203.216736
14,5,5113.101197
14,6,3791.158436
14,7,2308.424620
14,10,2263.501174
14,19,2203.216736
15,5,5113.101197
15,6,3791.158436
15,7,2308.424620
15,10,2263.501174
15,19,2203.216736
16,5,5113.101197
16,6,3791.158436
16,7,2308.424620
16,10,2263.501174
16,19,2203.216736
17,5,5113.101197
17,6,3692.978418
17,7,2308.424620
17,10,2263.501174
17,19,2203.216736
18,5,5113.101197
18,6,2834.085805
18,7,2308.424620
18,10,2248.012591
18,19,2203.216736
19,5,5113.101197
19,6,2834.085805
19,7,2308.424620
19,10,2248.012591
19,19,2203.216736
20,5,5113.101197
20,6,2834.085805
20,7,2308.424620
20,10,2248.012591
20,19,2203.216736
21,5,5113.101197
21,6,2834.085805
21,7,2308.424620
21,10,2248.012591
21,19,2203.216736
22,5,5113.101197
22,6,2834.085805
22,7,2308.424620
22,10,2248.012591
22,19,2203.216736
23,5,5113.101197
23,6,2834.085805
23,7,2175.824056
23,16,2160.313163
24,5,5113.101197
24,6,2834.085805
24,7,2175.824056
24,16,2160.313163
25,5,4332.750472
25,6,2834.085805
25,7,2175.824056
25,16,2160.313163
26,5,4244.657025
26,6,2834.085805
26,7,2175.824056
26,16,2160.313163
27,5,4244.657025
27,6,2834.085805
27,7,2175.824056
27,16,2160.313163
28,5,4071.381231
28,6,2834.085805
28,7,2175.824056
28,16,2160.313163
29,5,4071.381231
29,6,2834.085805
29,7,2175.824056
29,16,2160.313163
30,5,4071.381231
30,6,2834.085805
30,7,2175.824056
30,16,2160.313163
31,5,4071.381231
31,6,2834.085805
31,7,2175.824056
31,16,2160.313163
32,5,4071.381231
32,6,2834.085805
32,7,2175.824056
32,16,2160.313163
33,5,3825.877573
33,6,2737.901379
33,7,2175.824056
33,16,2160.313163
34,5,3825.877573
34,6,2737.901379
34,7,2175.824056
34,16,2160.313163
35,5,3825.877573
35,6,2737.901379
35,7,2175.824056
35,16,2160.313163
36,4,9836.025945
36,5,3825.877573
36,6,2737.901379
36,7,2175.824056
36,16,2160.313163
37,4,9836.025945
37,5,3825.877573
37,6,2737.901379
37,7,2175.824056
37,16,2160.313163
38,4,9836.025945
38,5,3535.203273
38,6,2692.630692
38,7,2175.824056
38,16,2160.313163
39,4,9836.025945
39,5,3535.203273
39,6,2692.630692
39,7,2175.824056
39,16,2160.313163
40,4,9836.025945
40,5,3535.203273
40,6,2692.630692
40,7,2175.824056
40,16,2160.313163
41,4,9836.025945
41,5,3535.203273
41,6,2692.630692
41,7,2175.824056
41,16,2160.313163
42,4,9836.025945
42,5,3535.203273
42,6,2692.630692
42,7,2175.824056
42,16,2160.313163
43,4,9836.025945
43,5,3535.203273
43,6,2468.746119
43,7,2175.824056
43,16,2160.313163
44,4,9836.025945
44,5,3535.203273
44,6,2468.746119
44,7,2175.824056
44,16,2160.313163
45,4,9836.025945
45,5,3535.203273
45,6,2468.746119
45,7,2175.824056
45,16,2160.313163
46,4,9836.025945
46,5,3535.203273
46,6,2468.746119
46,7,2175.824056
46,16,2160.313163
47,4,9836.025945
47,5,3535.203273
47,6,2468.746119
47,7,2175.824056
47,16,2160.313163
48,4,9836.025945
48,5,3424.554045
48,6,2468.746119
48,7,2139.695605
49,4,9836.025945
49,5,3424.554045
49,6,2468.746119
49,7,2139.695605
49,10,2118.304831
50,4,9836.025945
50,5,3424.554045
50,6,2468.746119
50,7,2139.695605
50,10,2118.304831
51,4,9836.025945
51,5,3424.554045
51,6,2468.746119
51,7,2139.695605
51,10,2118.304831
52,4,9836.025945
52,5,3424.554045
52,6,2468.746119
52,7,2139.695605
52,10,2118.304831
53,4,9517.525156
53,5,3286.333882
53,6,2468.746119
53,7,2139.695605
53,9,2104.917565
54,4,9517.525156
54,5,3286.333882
54,6,2387.081776
54,7,2139.695605
54,9,2104.917565
55,4,9517.525156
55,5,3286.333882
55,6,2387.081776
55,7,2139.695605
55,9,2104.917565
56,4,9517.525156
56,5,3286.333882
56,6,2387.081776
56,7,2139.695605
56,9,2104.917565
57,4,9517.525156
57,5,3286.333882
57,6,2387.081776
57,7,2139.695605
57,9,2104.917565
58,4,9320.487084
58,5,3177.514343
58,6,2363.608600
58,7,2139.695605
58,9,2104.917565
59,4,9320.487084
59,5,3177.514343
59,6,2363.608600
59,7,2139.695605
59,9,2104.917565
60,4,9320.487084
60,5,3177.514343
60,6,2363.608600
60,7,2139.695605
60,9,2104.917565
61,4,9320.487084
61,5,3177.514343
61,6,2363.608600
61,7,2139.695605
61,9,2104.917565
62,4,9320.487084
62,5,3177.514343
62,6,2363.608600
62,7,2139.695605
62,9,2104.917565
63,4,9320.487084
63,5,3132.893302
63,6,2363.608600
63,7,2139.695605
63,9,2084.651145
64,4,9320.487084
64,5,3132.893302
64,6,2363.608600
64,7,2139.695605
64,9,2084.651145
65,4,9320.487084
65,5,3132.893302
65,6,2363.608600
