Iteration,NV,TOC
1,4,5765.703450
1,5,3824.174272
1,6,2027.657089
1,7,1952.867792
1,9,1951.521505
2,4,5765.703450
2,5,2447.508412
2,6,2027.657089
2,7,1952.867792
2,9,1951.521505
3,4,5765.703450
3,5,2447.508412
3,6,2027.657089
3,7,1952.867792
3,9,1951.521505
4,4,5765.703450
4,5,2447.508412
4,6,2027.657089
4,7,1952.867792
4,8,1910.231312
5,4,5765.703450
5,5,2447.508412
5,6,2027.657089
5,7,1952.867792
5,8,1910.231312
6,4,5765.703450
6,5,2447.508412
6,6,2027.657089
6,7,1952.867792
6,8,1910.231312
7,4,5765.703450
7,5,2447.508412
7,6,1884.762161
8,4,5765.703450
8,5,2257.523450
8,6,1884.762161
9,4,5765.703450
9,5,2257.523450
9,6,1884.762161
10,4,5356.339102
10,5,2257.523450
10,6,1884.762161
11,4,5356.339102
11,5,2257.523450
11,6,1884.762161
12,4,4845.463695
12,5,2257.523450
12,6,1881.310149
13,4,4845.463695
13,5,2257.523450
13,6,1881.310149
14,4,4845.463695
14,5,2241.347149
14,6,1881.310149
15,4,4845.463695
15,5,2241.347149
15,6,1881.310149
16,4,4845.463695
16,5,2241.347149
16,6,1881.310149
17,4,4249.976473
17,5,2241.347149
17,6,1881.310149
18,4,4249.976473
18,5,2241.347149
18,6,1881.310149
19,4,4249.976473
19,5,2084.656265
19,6,1881.310149
20,4,4249.976473
20,5,2084.656265
20,6,1881.310149
21,4,4249.976473
21,5,2084.656265
21,6,1881.310149
22,4,4249.976473
22,5,2084.656265
22,6,1871.038625
23,4,4249.976473
23,5,2072.589844
23,6,1871.038625
24,4,4249.976473
24,5,2072.589844
24,6,1871.038625
25,4,4249.976473
25,5,2072.589844
25,6,1871.038625
26,4,4249.976473
26,5,2072.589844
26,6,1871.038625
27,4,4249.976473
27,5,2072.589844
27,6,1869.994390
28,4,4249.976473
28,5,2072.589844
28,6,1869.994390
29,4,4249.976473
29,5,2072.589844
29,6,1869.994390
30,4,4249.976473
30,5,2072.589844
30,6,1869.994390
31,4,4249.976473
31,5,2072.589844
31,6,1869.994390
32,4,4249.976473
32,5,2072.589844
32,6,1869.994390
33,4,4249.976473
33,5,2072.589844
33,6,1869.994390
34,4,4249.976473
34,5,2072.589844
34,6,1869.994390
35,4,4249.976473
35,5,2072.589844
35,6,1869.994390
36,4,4249.976473
36,5,2072.589844
36,6,1869.994390
37,4,3517.864961
37,5,2072.589844
37,6,1867.870338
