Iteration,NV,TOC
1,6,14306.223448
1,7,6959.494227
1,8,6154.879309
1,9,5498.403142
1,10,4359.173330
1,11,4069.347418
1,12,3706.586865
1,13,3339.099303
1,15,3203.305713
1,17,3185.358112
1,18,2893.005159
1,19,2778.273949
1,21,2671.922636
1,24,2498.940364
2,6,14306.223448
2,7,6959.494227
2,8,5838.742225
2,9,5109.353248
2,10,4359.173330
2,11,4069.347418
2,12,3706.586865
2,13,3339.099303
2,15,3203.305713
2,17,3185.358112
2,18,2893.005159
2,19,2778.273949
2,21,2671.922636
2,24,2498.940364
3,6,14306.223448
3,7,6959.494227
3,8,5838.742225
3,9,5109.353248
3,10,4359.173330
3,11,4069.347418
3,12,3706.586865
3,13,3339.099303
3,15,3203.305713
3,17,3185.358112
3,18,2893.005159
3,19,2778.273949
3,21,2671.922636
3,24,2498.940364
4,6,11311.721022
4,7,6959.494227
4,8,5838.742225
4,9,5109.353248
4,10,4359.173330
4,11,4069.347418
4,12,3706.586865
4,13,3339.099303
4,15,3203.305713
4,17,3185.358112
4,18,2893.005159
4,19,2766.709817
4,21,2671.922636
4,24,2498.940364
5,6,11311.721022
5,7,6959.494227
5,8,5420.526974
5,9,4855.472323
5,10,4359.173330
5,11,4069.347418
5,12,3706.586865
5,13,3339.099303
5,15,3203.305713
5,17,3185.358112
5,18,2893.005159
5,19,2766.709817
5,21,2671.922636
5,24,2498.940364
6,6,9100.486223
6,7,6959.494227
6,8,5420.526974
6,9,4855.472323
6,10,4359.173330
6,11,4000.796676
6,12,3706.586865
6,13,3339.099303
6,15,3203.305713
6,17,3185.358112
6,18,2893.005159
6,19,2766.709817
6,21,2671.922636
6,22,2644.030308
6,24,2498.940364
7,6,9100.486223
7,7,6959.494227
7,8,5420.526974
7,9,4855.472323
7,10,4359.173330
7,11,4000.796676
7,12,3706.586865
7,13,3339.099303
7,15,3203.305713
7,17,3122.888157
7,18,2893.005159
7,19,2766.709817
7,21,2671.922636
7,22,2644.030308
7,24,2498.940364
7,31,2443.432688
8,6,9100.486223
8,7,6959.494227
8,8,5420.526974
8,9,4855.472323
8,10,4359.173330
8,11,4000.796676
8,12,3706.586865
8,13,3339.099303
8,15,3203.305713
8,17,3122.888157
8,18,2893.005159
8,19,2766.709817
8,21,2671.922636
8,22,2644.030308
8,24,2498.940364
8,29,2458.385797
8,31,2443.432688
9,6,9100.486223
9,7,6959.494227
9,8,5420.526974
9,9,4855.472323
9,10,4359.173330
9,11,4000.796676
9,12,3706.586865
9,13,3339.099303
9,15,3203.305713
9,16,3042.209516
9,17,2877.173066
9,19,2766.709817
9,21,2671.922636
9,22,2644.030308
9,24,2498.940364
9,29,2458.385797
9,31,2443.432688
10,6,9100.486223
10,7,6959.494227
10,8,5420.526974
10,9,4855.472323
10,10,4359.173330
10,11,4000.796676
10,12,3706.586865
10,13,3339.099303
10,15,3203.305713
10,16,2911.634712
10,17,2877.173066
10,19,2766.709817
10,21,2594.007076
10,24,2498.940364
10,29,2458.385797
10,31,2443.432688
11,6,9100.486223
11,7,6959.494227
11,8,5420.526974
11,9,4855.472323
11,10,4359.173330
11,11,4000.796676
11,12,3706.586865
11,13,3339.099303
11,15,3203.305713
11,16,2911.634712
11,17,2877.173066
11,19,2766.709817
11,21,2594.007076
11,24,2498.940364
11,29,2458.385797
11,31,2443.432688
12,6,9100.486223
12,7,6959.494227
12,8,5420.526974
12,9,4855.472323
12,10,4359.173330
12,11,3813.902077
12,12,3706.586865
12,13,3339.099303
12,15,3203.305713
12,16,2911.634712
12,17,2877.173066
12,19,2739.667680
12,21,2594.007076
12,24,2498.940364
12,29,2458.385797
12,31,2443.432688
13,6,9100.486223
13,7,6959.494227
13,8,5420.526974
13,9,4855.472323
13,10,4359.173330
13,11,3813.902077
13,12,3706.586865
13,13,3339.099303
13,15,3041.000271
