Generation,NV,TOC
1,5,2044.916644
1,6,1384.268386
1,7,1229.730742
1,9,1214.684159
2,5,2044.916644
2,6,1384.268386
2,7,1229.730742
2,8,1180.627578
3,4,1953.605376
3,6,1233.147184
3,7,1202.018903
3,8,1180.627578
3,10,1152.341214
4,4,1953.605376
4,5,1502.180242
4,6,1154.862468
4,7,1153.216728
4,10,1152.341214
4,11,1145.241976
5,4,1953.605376
5,5,1489.044008
5,6,1154.862468
5,7,1153.216728
5,10,1152.341214
5,11,1111.397931
6,4,1953.605376
6,5,1419.083706
6,6,1154.862468
6,7,1153.216728
6,10,1151.562755
6,11,1111.397931
7,4,1589.183491
7,5,1290.903214
7,6,1154.862468
7,7,1148.681459
7,8,1085.848639
8,4,1589.183491
8,5,1290.903214
8,6,1087.962259
8,8,1079.335196
9,4,1589.183491
9,5,1290.903214
9,6,1087.018757
9,8,1075.750117
10,4,1548.657537
10,5,1283.506585
10,6,1087.018757
10,7,1061.684795
11,4,1383.369167
11,5,1179.062518
11,6,1073.155957
11,7,1061.684795
12,4,1383.369167
12,5,1026.539152
13,4,1383.369167
13,5,1026.539152
14,4,1266.673748
14,5,1020.521328
15,4,1254.985200
15,5,1020.521328
16,4,1254.985200
16,5,1020.521328
17,4,1254.985200
17,5,1020.521328
18,4,1225.734626
18,5,1020.521328
19,4,1216.512810
19,5,1020.521328
20,4,1166.729496
20,5,1020.521328
21,4,1166.729496
21,5,1020.521328
22,4,1166.729496
22,5,1020.521328
22,7,1018.365882
23,4,1166.729496
23,5,1020.521328
23,6,1020.017557
23,7,1018.365882
24,4,1166.729496
24,5,1020.521328
24,6,1020.017557
24,7,1018.365882
25,4,1151.925611
25,5,1020.521328
25,6,1020.017557
25,7,1017.873550
26,4,1151.925611
26,5,1020.521328
26,6,1017.695001
27,4,1151.925611
27,5,1020.521328
27,6,1017.695001
28,4,1151.925611
28,5,1020.521328
28,6,1017.695001
29,4,1151.925611
29,5,1020.521328
29,6,1017.695001
30,4,1151.925611
30,5,1020.521328
30,6,1017.695001
31,4,1150.947660
31,5,1020.521328
31,6,1017.695001
32,4,1149.831791
32,5,1020.521328
32,6,1017.695001
33,4,1147.156408
33,5,1020.521328
33,6,1017.695001
34,4,1147.156408
34,5,1020.521328
34,6,1017.695001
35,4,1147.156408
35,5,1020.521328
35,6,1017.695001
36,4,1144.009302
36,5,1020.521328
36,6,1017.695001
37,4,1144.009302
37,5,1020.521328
37,6,1017.695001
38,4,1144.009302
38,5,1020.521328
38,6,1011.511406
39,4,1144.009302
39,5,1020.521328
39,6,1011.511406
40,4,1144.009302
40,5,1020.521328
40,6,1011.511406
41,4,1138.681121
41,5,1020.521328
41,6,1011.511406
42,4,1138.681121
42,5,1020.521328
42,6,1011.511406
43,4,1138.681121
43,5,1019.014042
43,6,1011.511406
44,4,1138.681121
44,5,1019.014042
44,6,1010.001302
45,4,1138.681121
45,5,1019.014042
45,6,1010.001302
46,4,1138.681121
46,5,1019.014042
46,6,1010.001302
47,4,1138.681121
47,5,1019.014042
47,6,1010.001302
48,4,1138.681121
48,5,1019.014042
48,6,1010.001302
49,4,1138.681121
49,5,1019.014042
49,6,1010.001302
50,4,1111.353081
50,5,1019.014042
50,6,1010.001302
51,4,1111.353081
51,5,1019.014042
51,6,1010.001302
52,4,1111.353081
52,5,1009.497821
53,4,1111.353081
53,5,1009.497821
54,4,1111.353081
54,5,1009.497821
55,4,1111.353081
55,5,1009.497821
55,6,1008.255135
56,4,1111.353081
56,5,1009.497821
56,6,1008.255135
57,4,1111.353081
57,5,1009.497821
57,6,1008.255135
58,3,1677.790393
58,4,1111.353081
58,5,1009.497821
58,6,1008.255135
59,3,1493.092059
59,4,1111.353081
59,5,1009.497821
59,6,1008.255135
60,3,1493.092059
60,4,1111.353081
60,5,1009.497821
60,6,1008.255135
61,3,1493.092059
