Generation,NV,TOC
1,16,5275.960627
1,19,4976.521857
1,20,4583.300528
1,21,4251.057953
1,23,4058.882334
1,44,3879.368038
2,16,5275.960627
2,17,5196.838431
2,18,4830.245335
2,20,4583.300528
2,21,4251.057953
2,23,4058.882334
2,33,3823.931643
2,46,3807.214365
3,15,5411.846489
3,16,5275.960627
3,17,5196.838431
3,18,4830.245335
3,20,4433.520318
3,21,4251.057953
3,22,4122.407062
3,23,4058.882334
3,29,3911.931267
3,33,3823.931643
3,40,3671.831146
4,15,5209.916534
4,17,4493.548417
4,19,4430.104090
4,20,4159.323541
4,21,3893.956033
4,22,3842.971575
4,24,3665.808507
4,27,3579.849120
5,15,5209.916534
5,16,4546.773631
5,17,4262.277218
5,18,4242.806576
5,20,3817.026254
5,24,3653.929463
5,27,3579.849120
5,28,3530.301882
