Generation,NV,TOC
1,18,5895.058639
1,19,5711.943927
1,20,5021.031437
1,23,4957.832691
1,24,4709.902353
1,28,4536.490943
1,29,4278.734007
1,31,4194.840114
1,32,3962.975681
1,47,3910.081042
2,18,5206.791983
2,19,5023.968225
2,20,4850.387352
2,21,4195.863189
2,29,4049.815723
2,32,3962.975681
2,34,3947.017016
2,36,3946.725502
2,37,3890.509333
2,38,3780.884462
3,18,5206.791983
3,19,5023.968225
3,20,4566.056814
3,21,4195.863189
3,23,3928.165459
3,30,3856.645063
3,35,3656.007540
4,17,5311.160697
4,18,5206.791983
4,19,4882.720527
4,20,4566.056814
4,21,4195.863189
4,23,3928.165459
4,24,3879.962075
4,25,3837.896926
4,26,3632.194753
4,32,3609.272575
5,17,5311.160697
5,18,5206.791983
5,19,4827.396024
5,20,4566.056814
5,21,4027.963453
5,23,3928.165459
5,24,3825.484572
5,25,3692.906489
5,26,3632.194753
5,32,3609.272575
5,41,3568.053990
6,17,5254.635757
6,18,5206.791983
6,19,4417.088836
6,21,4027.963453
6,22,3608.799113
6,28,3551.105516
7,17,5254.635757
7,18,4710.089038
7,19,4281.494022
7,21,4027.963453
7,22,3608.799113
7,28,3551.105516
7,29,3517.983702
7,35,3458.672392
8,17,4966.974082
8,18,4580.497433
8,19,3970.629472
8,22,3608.799113
8,25,3568.284685
8,26,3546.444286
8,29,3517.983702
8,33,3498.115255
8,35,3458.672392
9,17,4966.974082
9,18,4580.497433
9,19,3890.877362
9,21,3880.209203
9,22,3608.799113
9,23,3572.057788
9,25,3542.605012
9,29,3517.983702
9,33,3394.200864
10,16,5302.234360
10,17,4066.207278
10,19,3890.877362
10,20,3820.233419
10,22,3593.163221
10,23,3572.057788
10,25,3542.605012
10,26,3541.586801
10,29,3517.983702
10,30,3400.119906
10,33,3394.200864
11,15,5087.780193
11,16,4841.430082
11,17,4066.207278
11,19,3890.877362
11,20,3773.666034
11,22,3489.541009
11,27,3460.108190
11,30,3400.119906
11,33,3394.200864
12,15,5087.780193
12,16,4841.430082
12,17,4066.207278
12,18,3895.699232
12,19,3818.806352
12,20,3718.153239
12,22,3489.541009
12,26,3450.512406
12,30,3400.119906
12,33,3394.200864
13,15,5087.780193
13,16,4808.552449
13,17,4066.207278
13,18,3894.711545
13,19,3818.806352
13,20,3718.153239
13,22,3489.541009
13,23,3472.696922
13,26,3450.512406
13,30,3400.119906
13,33,3394.200864
14,15,5087.780193
14,16,4347.207736
14,17,4066.207278
14,18,3894.711545
14,19,3818.806352
14,20,3718.153239
14,21,3556.130772
14,22,3489.541009
14,23,3472.696922
14,25,3399.913117
14,33,3394.200864
15,15,5087.780193
15,16,4347.207736
15,17,4066.207278
15,18,3784.597228
15,20,3522.823363
15,22,3489.541009
15,23,3472.696922
15,25,3399.913117
