Generation,NV,TOC
1,16,9040.976190
1,18,7876.878828
1,21,7401.879708
1,23,7286.943228
1,24,6908.795446
1,26,6514.427692
1,27,6490.549647
1,29,6449.554722
1,32,6343.651819
1,33,6181.594712
1,37,5892.861381
1,44,5362.575115
1,52,5298.278782
1,78,5296.693472
2,16,9040.976190
2,17,8684.283495
2,18,7876.878828
2,19,7170.432903
2,21,6433.013649
2,23,6203.191386
2,26,6043.787676
2,34,5973.539209
2,37,5892.861381
2,39,5887.225018
2,44,5362.575115
2,52,5298.278782
2,54,5285.792385
2,61,5268.280713
2,63,5235.027656
3,16,9040.976190
3,17,8591.349134
3,18,6920.285914
3,21,6408.370264
3,23,6014.905839
3,32,5677.994282
3,42,5510.850539
3,44,5362.575115
3,50,5156.985345
4,16,7947.380360
4,17,7589.955937
4,18,6920.285914
4,19,6820.606704
4,20,6637.859958
4,21,6408.370264
4,23,6014.905839
4,26,5943.603546
4,29,5786.273972
4,31,5681.516722
4,32,5677.994282
4,34,5643.894902
4,35,5414.343541
4,44,5282.078814
4,45,5164.277824
4,47,5134.493197
4,49,5106.611963
4,52,5099.954107
4,59,5045.762722
5,16,7947.380360
5,17,7589.955937
5,18,6920.285914
5,19,6820.606704
5,20,6637.859958
5,21,6408.370264
5,23,6014.905839
5,26,5943.603546
5,27,5743.100833
5,31,5546.572559
5,32,5429.724829
5,34,5383.227189
5,36,5258.910292
5,40,5195.526428
5,43,5065.164538
5,56,4875.084341
