Generation,NV,TOC
1,16,10115.015401
1,17,9727.124592
1,19,9256.762404
1,20,8084.546008
1,21,7437.816307
1,23,6136.188720
1,26,5802.873258
1,27,5704.074440
1,36,5422.955208
1,39,5413.579443
1,40,5411.438898
1,42,5378.257205
1,49,5369.177036
1,63,5289.478793
2,16,10115.015401
2,17,9727.124592
2,19,8893.993651
2,20,8084.546008
2,21,7381.293476
2,23,6136.188720
2,26,5802.873258
2,27,5704.074440
2,32,5604.873056
2,33,5503.115330
2,35,5306.490154
2,41,5196.985006
3,16,10115.015401
3,17,9727.124592
3,19,8893.993651
3,20,8084.546008
3,21,7381.293476
3,22,6928.866451
3,23,6136.188720
3,26,5802.873258
3,27,5704.074440
3,31,5363.692298
3,35,5306.490154
3,41,5196.985006
4,16,10115.015401
4,17,9727.124592
4,19,8893.993651
4,20,8084.546008
4,21,7381.293476
4,22,6439.501973
4,23,6136.188720
4,26,5494.224983
4,31,5363.692298
4,35,5306.490154
4,41,5196.985006
4,49,5147.341948
4,55,5082.598812
4,59,5075.252034
5,16,10115.015401
5,17,9727.124592
5,18,9275.359075
5,19,8242.590909
5,20,8084.546008
5,21,7381.293476
5,22,6439.501973
5,23,6136.188720
5,25,5437.639176
5,29,5372.774737
5,30,5309.066670
5,34,5220.823209
5,41,5174.857252
5,42,5059.976624
5,59,5053.910188
