Generation,NV,TOC
1,65,29835.576151
1,66,29359.053515
1,76,24437.754033
1,106,23859.539422
1,126,23179.706845
1,137,22857.343820
1,139,22754.551128
2,63,30918.285027
2,64,30731.180168
2,65,29405.364947
2,66,28984.788114
2,75,28177.839746
2,76,24437.754033
2,80,24247.679306
2,91,23849.820303
2,123,23833.627900
2,126,23179.706845
2,130,23071.731899
2,137,22857.343820
2,138,22769.219793
2,139,22754.551128
3,63,30918.285027
3,64,30145.028005
3,65,28814.176398
3,70,28574.606773
3,71,27830.645840
3,76,24437.754033
3,80,24247.679306
3,85,24202.524397
3,91,23849.820303
3,113,23779.251556
3,123,23716.215898
3,124,23692.725453
3,126,23179.706845
3,130,23071.731899
3,131,23052.502340
3,132,22379.878785
3,137,22140.494543
4,63,30918.285027
4,64,30145.028005
4,65,28814.176398
4,66,28556.258740
4,71,27830.645840
4,73,25629.415135
4,75,25129.823478
4,76,24437.754033
4,80,24247.679306
4,85,24202.524397
4,91,23849.820303
4,92,23753.699120
4,101,23511.338167
4,125,23095.593649
4,130,23071.731899
4,131,22683.995270
4,132,22311.116757
4,137,22140.494543
5,62,27592.300912
5,73,25629.415135
5,75,25129.823478
5,76,24437.754033
5,80,24247.679306
5,81,23989.590891
5,86,23981.062080
5,91,23849.820303
5,92,23753.699120
5,101,23511.338167
5,112,23446.331268
5,115,23236.560127
5,117,23178.553937
5,125,23095.593649
5,130,22533.827837
5,132,22180.959662
5,134,21747.030073
6,59,28207.468308
6,60,27259.093683
6,61,27049.123969
6,62,26713.261707
6,73,25629.415135
6,75,25129.823478
6,76,24437.754033
6,79,24355.800605
6,80,24247.679306
6,81,23989.590891
6,86,23981.062080
6,88,23901.674721
6,89,23614.063691
6,91,23546.211817
6,101,23511.338167
6,104,23376.826195
6,111,22903.349064
6,125,22494.546539
6,132,22180.959662
6,133,21469.770708
7,59,28207.468308
7,60,27091.739939
7,61,27049.123969
7,62,26713.261707
7,71,25489.794138
7,73,25162.235038
7,74,24123.361328
7,75,24024.702814
7,81,23051.557123
7,86,22946.374775
7,93,22072.749150
7,130,21238.714288
8,58,28722.263847
8,59,27606.551017
8,60,27091.739939
8,61,27049.123969
8,62,26713.261707
8,63,26703.730188
8,65,25693.811042
8,70,25489.697277
8,73,25162.235038
8,74,24123.361328
8,75,24024.702814
8,77,23729.389984
8,81,23051.557123
8,86,22946.374775
8,91,22204.812981
8,93,22072.749150
8,109,21827.619054
8,117,21469.586507
8,123,21307.271849
8,130,21238.714288
8,137,21173.058917
9,56,29356.033560
9,58,27553.155581
9,59,26956.511558
9,60,25687.674094
9,70,25489.697277
9,72,23977.142400
9,73,23365.441053
9,81,23051.557123
9,86,22946.374775
9,91,22204.812981
9,93,22072.749150
9,100,21521.367910
9,117,21469.586507
9,123,21307.271849
9,125,21299.646808
9,126,21202.124273
9,137,21173.058917
10,56,29356.033560
10,57,27253.399707
10,58,25641.372140
10,68,25045.096730
10,72,23977.142400
10,73,23365.441053
10,76,23053.773027
10,81,22807.391206
10,84,22570.747923
10,89,22450.564135
10,91,22204.812981
10,93,22072.749150
10,100,21521.367910
10,113,21467.550014
10,122,20979.143880
11,56,29356.033560
11,57,26447.835321
11,58,25010.342668
11,65,24904.026353
11,68,24569.037344
11,70,24130.609119
11,72,23977.142400
11,73,23365.441053
11,76,23053.773027
11,81,22624.348709
11,84,22570.747923
11,88,22353.140735
11,91,22204.812981
11,93,22072.749150
11,100,21521.367910
11,105,21346.439243
11,122,20958.218821
12,56,24613.578914
12,58,24090.257684
12,63,21949.752337
12,65,21771.927441
12,100,21521.367910
12,105,21346.439243
12,117,20667.379020
13,56,24613.578914
13,58,24090.257684
13,62,22373.553120
13,63,21949.752337
13,65,21771.927441
13,68,21087.533158
13,77,21015.463823
13,78,20563.415487
13,90,20378.615034
13,122,20225.309554
14,55,23510.907203
14,62,22373.553120
14,63,21949.752337
14,65,21771.927441
14,66,21391.478550
14,68,21087.533158
14,77,21015.463823
14,78,20563.415487
14,90,20378.615034
14,93,20278.712617
14,97,19985.391064
14,100,19925.479573
15,55,23510.907203
15,58,23237.141206
15,61,22605.813974
15,62,21968.950927
15,63,21949.752337
15,65,21771.927441
15,66,21391.478550
15,68,21087.533158
15,76,20994.789577
15,78,20563.415487
15,90,20378.615034
15,93,20278.712617
15,96,19985.785182
15,97,19985.391064
15,100,19925.479573
15,101,19622.903655
15,105,19579.695287
16,55,23432.362186
16,58,23237.141206
16,61,22605.813974
16,62,21968.950927
16,63,21908.170783
16,65,21771.927441
16,66,21391.478550
16,68,21087.533158
16,70,21020.071860
16,73,20444.857939
16,77,20305.229698
16,86,20027.492517
16,87,19933.811137
16,88,19715.872769
16,95,19608.316394
16,98,19176.680381
17,54,24242.386718
17,55,23432.362186
17,56,23080.408651
17,57,22195.034818
17,62,21968.950927
17,63,21908.170783
17,65,21771.927441
17,66,21237.871277
17,68,21087.533158
17,70,21020.071860
17,71,20622.275593
17,73,20444.857939
17,75,20326.716049
17,77,20305.229698
17,84,20033.211595
17,86,20027.492517
17,87,19933.811137
17,88,19715.872769
17,91,19459.246410
17,93,19429.642882
17,98,19176.680381
17,111,18892.406678
18,54,24242.386718
18,55,23432.362186
18,56,23080.408651
18,57,22195.034818
18,62,21968.950927
18,63,21908.170783
18,65,20988.934332
18,66,20718.837969
18,68,20678.452023
18,71,20622.275593
18,73,20079.420085
18,84,19291.398163
18,86,19064.186984
18,88,18823.557077
18,92,18579.431298
19,54,24242.386718
19,55,23038.764285
19,56,22070.237080
19,57,21757.126970
19,58,21558.239851
19,61,20941.811489
19,63,20719.961631
19,66,20718.837969
19,68,20678.452023
19,71,20622.275593
19,73,20079.420085
19,80,18426.949101
20,53,24796.819766
20,54,24242.386718
20,55,23038.764285
20,56,22070.237080
20,57,21757.126970
20,58,21558.239851
20,59,20901.236814
20,63,20719.961631
20,66,20718.837969
20,68,20678.452023
20,71,20622.275593
20,72,20495.342704
20,73,20079.420085
20,80,18426.949101
21,53,24796.819766
21,54,24242.386718
21,55,22003.286136
21,56,21673.034884
