Generation,NV,TOC
1,8,4723.790915
1,10,4204.438960
1,12,4066.774391
1,13,3696.745623
1,15,3529.421660
1,16,3525.825552
1,17,3496.377703
1,18,3468.225239
1,19,3467.612824
1,21,3370.218830
1,22,3194.694167
1,25,3018.924046
1,29,3000.597049
1,30,2955.794822
2,8,4723.790915
2,9,4202.822433
2,10,3343.467855
2,14,2966.100359
2,15,2910.856253
3,8,4723.790915
3,9,3704.176323
3,10,3343.467855
3,13,3151.248142
3,14,2966.100359
3,15,2664.462316
4,8,4639.544068
4,9,3471.717418
4,10,3287.058162
4,13,3151.248142
4,14,2821.292192
4,15,2664.462316
5,7,4669.543421
5,8,4244.782246
5,9,3380.681401
5,10,3179.904234
5,12,3012.063506
5,14,2563.465724
6,7,4485.460841
6,8,4244.782246
6,9,3259.033434
6,10,2913.664717
6,13,2675.739865
6,14,2563.465724
6,15,2484.207839
7,7,4485.460841
7,8,4244.782246
7,9,3259.033434
7,10,2913.664717
7,11,2900.122781
7,13,2675.739865
7,14,2563.465724
7,15,2469.687892
8,7,4447.671088
8,8,3826.135344
8,9,3259.033434
8,10,2913.664717
8,11,2751.005445
8,13,2675.739865
8,14,2563.465724
8,15,2469.687892
9,7,3669.269662
9,8,3462.921754
9,9,3259.033434
9,10,2913.664717
9,11,2751.005445
9,13,2675.739865
9,14,2563.465724
9,15,2469.687892
10,7,3669.269662
10,8,3295.711348
10,9,2690.653273
10,13,2620.738975
10,14,2563.465724
10,15,2469.687892
11,6,4509.953288
11,7,3600.695005
11,8,3288.592948
11,9,2690.653273
11,13,2620.738975
11,14,2563.465724
11,15,2469.687892
12,6,4509.953288
12,7,3600.695005
12,8,3288.592948
12,9,2690.653273
12,13,2620.711349
12,14,2563.465724
12,15,2469.687892
13,6,4509.953288
13,7,3600.695005
13,8,3288.592948
13,9,2690.653273
13,12,2649.700894
13,13,2620.711349
13,14,2399.810793
14,6,4509.953288
14,7,3600.695005
14,8,3288.592948
14,9,2690.653273
