Generation,NV,TOC
1,7,2880.956574
1,9,2756.269250
1,10,2708.001044
1,11,2572.838648
1,12,2467.346614
1,14,2441.469314
1,21,2383.394510
2,7,2623.987132
2,9,2600.515982
2,11,2475.804607
2,12,2467.346614
2,14,2441.469314
2,16,2284.664437
3,7,2431.066272
3,12,2348.076226
3,16,2284.664437
4,7,2431.066272
4,12,2348.076226
4,15,2312.660347
4,16,2284.664437
5,7,2318.570717
5,11,2171.425640
6,7,2318.570717
6,10,2267.009304
6,11,2171.425640
7,6,2718.235808
7,7,2318.570717
7,10,2267.009304
7,11,2171.425640
8,6,2718.235808
8,7,2318.570717
8,8,2305.615680
8,10,2267.009304
8,11,2171.425640
9,6,2718.235808
9,7,2288.152824
9,10,2267.009304
9,11,2171.425640
10,6,2547.924615
10,7,2223.021110
10,10,2126.612352
11,6,2536.492868
11,7,2223.021110
11,10,2126.612352
11,12,2076.904968
12,6,2503.914422
12,7,2223.021110
12,9,2209.389351
12,10,2126.612352
12,12,2076.904968
13,6,2441.070800
13,7,2223.021110
13,9,2209.389351
13,10,2126.612352
13,12,2076.904968
14,6,2441.070800
14,7,2223.021110
14,8,2152.743462
14,10,2126.612352
14,11,2120.635555
14,12,2076.904968
15,6,2352.231247
15,7,2223.021110
15,8,2127.504377
15,10,2126.612352
15,11,2067.983155
16,6,2352.231247
16,7,2223.021110
16,8,2127.504377
16,10,2126.612352
16,11,2067.983155
17,6,2352.231247
17,7,2223.021110
17,8,2127.504377
17,10,2126.612352
17,11,2067.983155
17,13,2061.545999
18,5,3013.667410
18,6,2253.167815
18,7,2223.021110
18,8,2127.504377
18,10,2126.612352
18,11,2067.983155
18,13,2061.545999
19,5,3013.667410
19,6,2253.167815
19,7,2223.021110
19,8,2127.504377
19,10,2126.612352
19,11,2067.983155
19,13,2061.545999
20,5,2833.703774
20,6,2253.167815
20,7,2223.021110
20,8,2121.135765
20,11,2067.983155
20,13,2061.545999
21,5,2814.853070
21,6,2253.167815
21,7,2223.021110
21,8,2121.135765
21,11,2067.983155
21,13,2061.545999
22,5,2814.853070
22,6,2127.946031
22,8,2121.135765
22,11,2067.983155
22,13,2061.545999
23,5,2814.853070
23,6,2127.946031
23,8,2121.135765
23,9,2103.648330
23,11,2067.983155
23,12,2050.951513
24,5,2814.853070
24,6,2127.946031
24,8,2121.135765
24,9,2103.648330
24,10,2054.351947
24,12,2050.951513
25,5,2488.891446
25,6,2127.946031
25,8,2121.135765
25,9,2103.648330
25,10,2054.351947
25,11,2049.818031
26,5,2488.891446
26,6,2127.946031
26,8,2121.135765
26,9,2059.892577
26,10,2051.796665
26,11,2049.818031
27,5,2403.183658
27,6,2119.542860
27,8,2100.702533
27,9,2043.288137
27,11,2028.941081
28,5,2403.183658
28,6,2119.542860
28,7,2098.976784
28,8,2091.657338
28,9,2043.288137
28,11,2028.941081
29,5,2403.183658
29,6,2119.542860
29,7,2098.976784
29,8,2091.657338
29,9,2043.288137
29,10,2011.962418
30,5,2403.183658
30,6,2119.542860
30,7,2098.976784
30,8,2091.657338
30,9,2031.472327
30,10,2011.962418
31,5,2403.183658
31,6,2119.542860
31,7,2098.976784
31,8,2061.398352
31,9,2031.472327
31,10,2011.962418
32,4,2758.189397
32,5,2201.992499
32,6,2004.708638
33,4,2758.189397
33,5,2201.992499
33,6,2004.708638
34,4,2758.189397
34,5,2201.992499
34,6,2004.708638
35,4,2758.189397
35,5,2201.992499
35,6,1994.891387
35,8,1986.812361
36,4,2758.189397
36,5,2201.992499
36,6,1994.891387
36,8,1986.812361
37,4,2632.880027
37,5,2161.454033
37,6,1975.015778
38,4,2632.880027
38,5,2161.454033
38,6,1975.015778
39,4,2632.880027
39,5,2161.454033
39,6,1975.015778
40,4,2632.880027
40,5,2161.454033
40,6,1960.619616
41,4,2632.880027
41,5,2161.454033
41,6,1960.619616
42,4,2522.928901
42,5,2156.142484
42,6,1939.793503
43,4,2522.928901
43,5,2156.142484
43,6,1939.793503
44,4,2502.494131
44,5,2124.128220
44,6,1939.793503
45,4,2502.494131
45,5,2124.128220
45,6,1939.793503
46,4,2502.494131
46,5,2124.128220
46,6,1928.788448
47,4,2359.981644
47,5,2056.683979
47,6,1928.788448
48,4,2359.981644
48,5,2056.683979
48,6,1928.788448
49,4,2359.981644
49,5,2056.683979
49,6,1928.788448
50,4,2225.544232
50,5,2056.683979
50,6,1928.788448
50,10,1924.749632
51,4,2225.544232
51,5,2056.683979
51,6,1928.788448
51,10,1924.749632
52,4,2225.024735
52,5,2047.510093
52,6,1928.788448
52,10,1924.749632
53,4,2225.024735
53,5,1978.059068
53,6,1928.788448
53,10,1924.749632
54,4,2225.024735
54,5,1978.059068
54,6,1928.788448
54,10,1924.749632
55,4,2225.024735
55,5,1954.857058
55,6,1928.788448
55,10,1924.749632
56,4,2225.024735
56,5,1954.857058
56,6,1925.932146
56,10,1924.749632
57,4,2215.301733
57,5,1954.711550
57,6,1919.926515
58,4,2215.301733
58,5,1923.055563
58,6,1910.011062
59,4,2215.301733
59,5,1884.572457
60,4,2215.301733
60,5,1884.572457
61,4,2110.560236
61,5,1884.572457
62,4,2079.788469
62,5,1859.755562
63,4,2079.788469
63,5,1854.724040
64,4,2079.788469
64,5,1854.724040
65,4,2079.788469
65,5,1854.724040
66,4,2079.788469
66,5,1854.724040
67,4,2022.910513
67,5,1854.724040
68,4,2021.289503
68,5,1854.724040
69,4,2021.289503
69,5,1854.724040
70,4,2021.289503
