Generation,NV,TOC
1,10,3492.770438
1,11,3085.561014
1,12,2944.803494
1,13,2838.756208
1,15,2593.209904
1,16,2429.251150
1,17,2019.163662
1,19,1984.481039
2,9,3284.838170
2,10,3128.041300
2,11,2457.624506
2,16,2131.634586
2,17,2019.163662
2,18,1965.444247
3,9,3284.838170
3,10,3128.041300
3,11,2457.624506
3,14,2209.299311
3,16,2081.768751
3,17,1996.926464
3,18,1964.514483
3,21,1949.171186
4,9,3284.838170
4,10,3010.257366
4,11,2457.624506
4,14,2095.117487
4,15,1990.500334
4,18,1963.752126
4,19,1933.779761
4,20,1930.573627
5,9,3284.838170
5,10,3010.257366
5,11,2457.624506
5,13,2253.391885
5,14,2095.117487
5,15,1990.500334
5,17,1984.728836
5,18,1958.888439
5,19,1933.779761
5,20,1930.573627
5,21,1917.537839
6,9,3284.838170
6,10,2585.475292
6,11,2457.624506
6,12,2400.469358
6,13,2253.391885
6,14,2095.117487
6,15,1899.970339
6,18,1854.574466
7,9,3284.838170
7,10,2585.475292
7,11,2435.917152
7,12,2400.469358
7,13,2253.391885
7,14,2095.117487
7,15,1899.970339
7,16,1896.805007
7,17,1850.707102
8,9,3284.838170
8,10,2524.190446
8,11,2435.917152
8,12,2400.469358
8,13,2253.391885
8,14,2095.117487
8,15,1899.970339
8,16,1896.805007
8,17,1850.707102
9,9,3284.838170
9,10,2443.560311
9,11,2435.917152
9,12,2400.469358
9,13,2253.391885
9,14,2029.691808
9,15,1864.480973
9,17,1850.707102
9,21,1843.981830
10,9,3284.838170
10,10,2443.560311
10,11,2435.917152
10,12,2400.469358
10,13,2253.391885
10,14,2001.120451
10,15,1864.480973
10,16,1849.603507
10,21,1843.981830
11,9,3284.838170
11,10,2361.715588
11,13,1928.815109
11,15,1864.361906
11,16,1849.603507
11,18,1835.796613
12,9,3284.838170
12,10,2306.751567
12,12,2258.341309
12,13,1928.815109
12,14,1908.051564
12,15,1864.361906
12,16,1815.886609
12,18,1804.185546
13,9,2569.471278
13,10,2306.751567
13,11,2142.527518
13,13,1928.815109
13,14,1906.709152
13,15,1864.361906
13,16,1815.886609
13,18,1804.185546
14,9,2561.439375
14,10,2169.283525
14,11,2129.204852
14,12,1939.477349
14,13,1901.553521
14,14,1888.369831
14,15,1815.506781
14,18,1799.646356
15,9,2291.229613
15,10,2169.283525
15,11,2129.204852
15,12,1939.477349
15,13,1901.553521
15,14,1844.778541
15,15,1804.614231
15,18,1799.646356
16,9,2261.193622
16,10,2169.283525
16,11,2129.204852
16,12,1939.477349
16,13,1901.553521
16,14,1844.778541
16,15,1804.614231
16,18,1799.646356
17,8,2424.184849
17,9,2261.193622
17,10,2153.610475
17,11,2062.129986
17,12,1939.477349
17,13,1901.553521
17,14,1844.778541
17,15,1804.614231
17,18,1793.128524
18,8,2424.184849
18,9,2261.193622
18,10,2144.164549
18,11,2042.912960
18,12,1939.477349
18,13,1901.553521
18,14,1816.433369
18,15,1804.614231
18,16,1785.542713
18,17,1770.765715
19,8,2424.184849
19,9,2195.941312
19,10,2144.164549
19,11,2042.912960
19,12,1939.477349
19,13,1880.912446
19,14,1815.981226
19,15,1775.214815
19,17,1770.765715
20,8,2424.184849
20,9,2195.941312
20,10,2086.900941
20,11,1973.233336
20,12,1939.477349
20,13,1880.912446
20,14,1789.554317
20,15,1769.238485
21,8,2387.611629
21,9,2177.377837
21,10,2086.900941
21,11,1973.233336
21,12,1939.477349
21,13,1811.658669
21,14,1775.350796
21,15,1769.238485
22,8,2299.569864
22,9,2155.377441
22,10,1980.052302
22,11,1875.901332
22,12,1810.922025
22,13,1783.021313
22,14,1775.350796
22,15,1769.238485
22,16,1763.132232
23,8,2230.253617
23,9,2155.377441
23,10,1891.636256
23,11,1875.901332
23,12,1810.922025
23,13,1736.493639
24,8,2058.204228
24,10,1891.636256
24,11,1870.856936
24,12,1795.705753
24,13,1736.050221
25,7,2543.875260
25,8,2058.204228
25,10,1891.636256
25,11,1870.856936
25,12,1795.705753
25,13,1736.050221
26,7,2377.068450
26,8,2058.204228
26,10,1891.636256
26,11,1870.856936
26,12,1795.705753
26,13,1736.050221
26,14,1734.966188
27,7,2377.068450
27,8,2058.204228
27,10,1891.636256
27,11,1848.858924
27,12,1784.919121
27,13,1732.929167
28,7,2377.068450
28,8,2058.204228
28,9,2017.139522
28,10,1891.636256
28,11,1831.397590
28,12,1784.919121
28,13,1732.929167
28,14,1718.778124
29,7,2205.019061
29,8,2058.204228
29,9,2000.057250
29,10,1891.636256
29,11,1831.397590
29,12,1738.837575
29,13,1717.257996
29,14,1714.175908
30,7,2205.019061
30,8,2058.204228
30,9,1927.310418
30,10,1891.636256
30,11,1831.397590
30,12,1738.837575
30,13,1717.257996
30,14,1714.175908
31,7,2205.019061
31,8,2058.204228
31,9,1825.626058
31,10,1733.597182
