Iteration,NV,TOC
1,5,2050.934972
1,6,1786.141969
1,8,1545.503168
1,9,1463.056856
1,11,1451.096841
1,12,1393.019872
1,15,1387.245200
1,16,1346.368479
2,5,2050.934972
2,6,1786.141969
2,7,1724.779569
2,8,1545.503168
2,9,1463.056856
2,11,1451.096841
2,12,1393.019872
2,15,1387.245200
2,16,1346.368479
3,4,2991.799970
3,5,2050.934972
3,6,1691.888702
3,8,1545.503168
3,9,1463.056856
3,11,1435.997572
3,12,1393.019872
3,13,1382.049937
3,16,1346.368479
4,4,2991.799970
4,5,2050.934972
4,6,1691.888702
4,8,1545.503168
4,9,1463.056856
4,10,1457.289401
4,11,1435.997572
4,12,1393.019872
4,13,1382.049937
4,16,1346.368479
5,4,2991.799970
5,5,2050.934972
5,6,1691.888702
5,8,1545.503168
5,9,1463.056856
5,10,1457.289401
5,11,1435.997572
5,12,1380.187087
5,14,1345.179775
6,4,2991.799970
6,5,2050.934972
6,6,1691.888702
6,8,1545.503168
6,9,1463.056856
6,10,1457.289401
6,11,1435.997572
6,12,1380.187087
6,14,1345.179775
7,4,2976.826418
7,5,2050.934972
7,6,1691.888702
7,7,1612.139311
7,8,1545.503168
7,9,1463.056856
7,10,1457.289401
7,11,1380.975909
7,12,1380.187087
7,14,1345.179775
7,15,1342.361928
8,4,2207.017953
8,5,1836.236744
8,6,1691.888702
8,7,1612.139311
8,8,1445.665296
8,11,1308.959723
9,4,2207.017953
9,5,1836.236744
9,6,1691.888702
9,7,1612.139311
9,8,1445.665296
9,10,1401.712231
9,11,1308.959723
10,4,2207.017953
10,5,1836.236744
10,6,1640.505208
10,7,1612.139311
10,8,1445.665296
10,10,1401.712231
10,11,1308.959723
11,4,2207.017953
11,5,1836.236744
11,6,1640.505208
11,7,1612.139311
11,8,1445.665296
11,10,1401.712231
11,11,1308.959723
12,4,2207.017953
12,5,1836.236744
12,6,1640.505208
12,7,1612.139311
12,8,1445.665296
12,10,1400.501373
12,11,1308.959723
13,4,2207.017953
13,5,1836.236744
13,6,1524.427516
13,8,1445.665296
13,10,1371.054387
13,11,1308.959723
14,4,2207.017953
14,5,1727.778382
14,6,1524.427516
14,8,1445.665296
14,10,1371.054387
14,11,1308.959723
15,4,2207.017953
15,5,1727.778382
15,6,1524.427516
15,7,1402.791972
15,10,1371.054387
15,11,1308.959723
16,4,2207.017953
16,5,1720.840023
16,6,1524.427516
16,7,1402.791972
16,10,1370.476649
16,11,1308.959723
17,4,2207.017953
17,5,1720.840023
17,6,1524.427516
17,7,1402.791972
17,9,1368.275503
17,11,1308.959723
18,4,1884.987638
18,5,1720.840023
18,6,1414.270125
18,7,1402.791972
