Iteration,NV,TOC
1,8,5765.840429
1,10,3755.808393
1,11,3316.997807
1,13,2854.966159
1,16,2686.882945
1,17,2659.164580
1,19,2613.935667
2,8,5765.840429
2,10,3755.808393
2,11,3316.997807
2,13,2854.966159
2,16,2686.882945
2,17,2659.164580
2,19,2613.935667
3,8,5765.840429
3,10,3755.808393
3,11,3316.997807
3,13,2854.966159
3,14,2814.845662
3,16,2686.882945
3,17,2659.164580
3,19,2585.184736
3,21,2579.086074
4,8,5765.840429
4,10,3755.808393
4,11,3316.997807
4,13,2854.966159
4,14,2814.845662
4,16,2686.882945
4,17,2659.164580
4,19,2585.184736
4,21,2579.086074
5,8,5765.840429
5,9,4894.954766
5,10,3755.808393
5,11,3316.997807
5,13,2854.966159
5,14,2814.845662
5,15,2799.692017
5,16,2686.882945
5,17,2659.164580
5,19,2585.184736
5,21,2579.086074
6,8,5765.840429
6,9,4894.954766
6,10,3755.808393
6,11,3316.997807
6,13,2854.966159
6,14,2814.845662
6,15,2799.692017
6,16,2686.882945
6,17,2594.123133
6,19,2585.184736
6,21,2579.086074
7,8,5765.840429
7,9,4894.954766
7,10,3755.808393
7,11,3316.997807
7,13,2854.966159
7,14,2814.845662
7,15,2799.692017
7,16,2686.882945
7,17,2594.123133
7,19,2585.184736
7,21,2579.086074
8,8,5765.840429
8,9,4894.954766
8,10,3755.808393
8,11,3316.997807
8,13,2854.966159
8,14,2814.845662
8,15,2799.692017
8,16,2686.882945
8,17,2594.123133
8,19,2585.184736
8,21,2579.086074
9,8,5765.840429
9,9,4894.954766
9,10,3755.808393
9,11,3316.997807
9,13,2854.966159
9,14,2814.845662
9,15,2707.773289
9,16,2686.882945
9,17,2594.123133
9,19,2585.184736
9,21,2579.086074
10,8,5765.840429
10,9,4894.954766
10,10,3755.808393
10,11,3316.997807
10,12,3314.024382
10,13,2854.966159
10,14,2814.845662
10,15,2707.773289
10,16,2686.882945
10,17,2594.123133
10,19,2585.184736
10,21,2579.086074
11,8,5765.840429
11,9,4894.954766
11,10,3755.808393
11,11,3316.997807
11,12,3314.024382
11,13,2854.966159
11,14,2814.845662
11,15,2707.773289
11,16,2686.882945
11,17,2594.123133
11,19,2585.184736
11,21,2575.151945
12,8,5765.840429
12,9,4894.954766
12,10,3755.808393
12,11,3316.997807
12,12,3314.024382
12,13,2854.966159
12,14,2814.845662
12,15,2707.773289
12,16,2686.882945
12,17,2594.123133
12,19,2585.184736
12,21,2575.151945
13,8,5765.840429
13,9,4894.954766
13,10,3755.808393
13,11,3316.997807
13,12,3314.024382
13,13,2854.966159
13,14,2718.961192
13,15,2707.773289
13,16,2686.882945
13,17,2594.123133
13,19,2585.184736
13,21,2575.151945
14,8,5765.840429
14,9,4894.954766
14,10,3755.808393
14,11,3223.825461
14,12,2992.361528
14,13,2854.966159
14,14,2718.961192
14,15,2707.773289
14,16,2686.882945
14,17,2594.123133
14,19,2585.184736
14,20,2467.501675
15,8,5765.840429
15,9,4894.954766
15,10,3755.808393
15,11,3223.825461
15,12,2992.361528
15,13,2854.966159
15,14,2718.961192
15,15,2707.773289
15,16,2674.533968
15,17,2594.123133
15,19,2585.184736
15,20,2467.501675
16,7,6656.195326
16,8,5765.840429
16,9,4894.954766
16,10,3755.808393
16,11,3223.825461
16,12,2943.481254
16,13,2854.966159
16,14,2718.961192
16,15,2707.773289
16,16,2601.984801
16,17,2594.123133
16,19,2585.184736
16,20,2467.501675
17,7,6656.195326
17,8,5765.840429
17,9,4894.954766
17,10,3663.549596
17,11,3223.825461
17,12,2943.481254
17,13,2854.966159
