Iteration,NV,TOC
1,11,10331.591975
1,13,10299.711371
1,14,8625.273793
1,15,7735.151234
1,16,7568.033968
1,17,6479.105561
1,19,6008.589562
1,21,5258.712766
1,23,5065.179902
1,26,4581.005361
1,27,4520.000145
1,31,4364.900525
1,34,4354.264331
1,38,4331.429259
1,41,4291.974315
1,47,4269.248795
2,11,10331.591975
2,13,10299.711371
2,14,8587.848749
2,15,7735.151234
2,16,7568.033968
2,17,6479.105561
2,19,6008.589562
2,21,5258.712766
2,23,5065.179902
2,26,4581.005361
2,27,4520.000145
2,31,4364.900525
2,34,4354.264331
2,38,4331.429259
2,41,4291.974315
2,47,4269.248795
3,11,10331.591975
3,13,10299.711371
3,14,8587.848749
3,15,7735.151234
3,16,7568.033968
3,17,6479.105561
3,19,6008.589562
3,21,5258.712766
3,23,5065.179902
3,26,4581.005361
3,27,4520.000145
3,31,4364.900525
3,34,4354.264331
3,38,4331.429259
3,41,4291.974315
3,42,4252.831132
4,11,10331.591975
4,13,10299.711371
4,14,8587.848749
4,15,7735.151234
4,16,7568.033968
4,17,6479.105561
4,19,6008.589562
4,21,5258.712766
4,22,5151.424627
4,23,5065.179902
4,26,4581.005361
4,27,4520.000145
4,30,4429.548261
4,31,4364.900525
4,34,4354.264331
4,38,4331.429259
4,41,4291.974315
4,42,4252.831132
5,11,9890.418626
5,14,8115.817469
5,15,7735.151234
5,16,7568.033968
5,17,6479.105561
5,19,6008.589562
5,21,5258.712766
5,22,5151.424627
5,23,4546.647795
5,27,4520.000145
5,30,4429.548261
5,31,4364.900525
5,34,4354.264331
5,38,4331.429259
5,41,4291.974315
5,42,4252.831132
6,11,9890.418626
6,13,9812.004423
6,14,8115.817469
6,15,7735.151234
6,16,7568.033968
6,17,6479.105561
6,18,6438.540811
6,19,6008.589562
6,20,5833.382859
6,21,5258.712766
6,22,5151.424627
6,23,4546.647795
6,27,4520.000145
6,30,4429.548261
6,31,4364.900525
6,34,4287.585154
6,41,4243.312104
7,11,9890.418626
7,13,9812.004423
7,14,8115.817469
7,15,7735.151234
7,16,7568.033968
7,17,6479.105561
7,18,6053.026257
7,19,5910.748956
7,20,5833.382859
7,21,5258.712766
7,22,5151.424627
7,23,4546.647795
7,27,4520.000145
7,30,4429.548261
7,31,4364.900525
7,34,4287.585154
7,41,4243.312104
8,11,9890.418626
8,13,9812.004423
8,14,8115.817469
8,15,7735.151234
8,16,7568.033968
8,17,6479.105561
8,18,6053.026257
8,19,5910.748956
8,20,5833.382859
8,21,5258.712766
8,22,5151.424627
8,23,4546.647795
8,27,4520.000145
8,30,4429.548261
8,31,4364.900525
8,34,4287.585154
8,41,4243.312104
8,45,4240.842497
9,11,9890.418626
9,13,8741.409001
9,14,8115.817469
9,15,7735.151234
9,16,7568.033968
9,17,6479.105561
9,18,6053.026257
9,19,5910.748956
9,20,5833.382859
9,21,5258.712766
9,22,5151.424627
9,23,4546.647795
9,27,4520.000145
9,30,4429.548261
9,31,4364.900525
9,34,4287.585154
9,38,4247.374510
