Iteration,NV,TOC
1,13,18766.123753
1,14,13833.771157
1,15,11961.843545
1,16,10136.957156
1,18,8199.029135
1,22,8014.258894
1,24,7633.933114
1,25,7455.953737
1,26,7022.046527
1,30,6158.271740
1,36,6105.081864
1,37,5531.240586
1,42,5494.059033
1,73,5464.338178
2,13,18766.123753
2,14,12604.378315
2,15,11961.843545
2,16,10136.957156
2,18,8199.029135
2,22,8014.258894
2,24,7633.933114
2,25,7455.953737
2,26,7022.046527
2,30,6158.271740
2,36,6105.081864
2,37,5531.240586
2,42,5494.059033
2,73,5464.338178
3,13,18766.123753
3,14,12604.378315
3,15,11961.843545
3,16,10136.957156
3,18,8199.029135
3,22,8014.258894
3,24,7633.933114
3,25,7455.953737
3,26,7022.046527
3,30,6158.271740
3,36,6105.081864
3,37,5531.240586
3,42,5494.059033
3,73,5464.338178
4,13,18766.123753
4,14,12604.378315
4,15,11961.843545
4,16,10136.957156
4,18,8199.029135
4,22,8014.258894
4,24,7633.933114
4,25,7455.953737
4,26,7022.046527
4,30,6158.271740
4,36,6105.081864
4,37,5531.240586
4,42,5494.059033
4,73,5464.338178
5,12,20116.337096
5,13,18766.123753
5,14,12604.378315
5,15,11961.843545
5,16,10136.957156
5,18,8199.029135
5,22,8014.258894
5,24,6711.080382
5,30,6158.271740
5,36,6105.081864
5,37,5531.240586
5,42,5494.059033
5,73,5464.338178
6,12,20116.337096
6,13,17369.735561
6,14,11872.785756
6,16,10136.957156
6,18,8199.029135
6,22,6917.443375
6,24,6711.080382
6,30,6158.271740
6,36,5424.746285
6,37,5402.221946
7,12,20116.337096
7,13,17369.735561
7,14,11872.785756
7,16,10136.957156
7,18,7671.384993
7,22,6917.443375
7,24,6711.080382
7,30,6158.271740
7,36,5424.746285
7,37,5402.221946
8,12,20116.337096
8,13,17252.624543
8,14,11872.785756
8,16,10136.957156
8,18,7671.384993
8,21,7132.738849
8,22,6917.443375
8,24,6711.080382
8,27,6571.820881
8,30,6158.271740
8,33,5950.591256
8,36,5424.746285
8,37,5402.221946
9,11,24666.872518
9,12,20116.337096
9,13,17252.624543
9,14,11872.785756
9,16,10136.957156
9,18,7671.384993
9,21,7132.738849
9,22,6917.443375
9,24,6711.080382
9,27,6571.820881
9,30,6158.271740
9,33,5950.591256
9,36,5424.746285
9,37,5402.221946
10,11,24666.872518
10,12,19256.015389
10,13,14946.106692
10,14,11872.785756
10,15,11816.728123
10,16,10136.957156
10,17,9510.658018
10,18,7671.384993
10,21,7132.738849
10,22,6917.443375
10,24,6520.993513
10,30,6158.271740
10,33,5630.445921
10,36,5424.746285
10,37,5402.221946
11,11,24666.872518
11,12,19256.015389
11,13,14946.106692
11,14,11872.785756
11,15,11373.390440
11,16,10136.957156
11,17,9510.658018
11,18,7671.384993
11,21,7132.738849
11,22,6917.443375
11,24,6506.502209
11,28,6118.759587
11,33,5630.445921
11,36,5424.746285
11,37,5402.221946
12,11,24666.872518
12,12,15963.707231
12,13,14946.106692
12,14,11872.785756
12,15,11373.390440
12,16,10136.957156
12,17,9510.658018
12,18,7671.384993
12,21,7132.738849
12,22,6917.443375
12,24,6506.502209
12,28,6118.759587
12,33,5630.445921
12,36,5424.746285
12,37,5402.221946
13,11,24666.872518
13,12,15963.707231
13,13,14034.936494
13,14,11872.785756
13,15,11373.390440
13,16,10136.957156
13,17,9510.658018
13,18,7671.384993
13,21,7132.738849
13,22,6917.443375
13,24,6506.502209
13,27,5920.283274
13,33,5630.445921
13,36,5424.746285
13,37,5402.221946
14,11,24666.872518
14,12,15963.707231
14,13,13951.000236
14,14,11872.785756
14,15,11373.390440
14,16,10136.957156
14,17,9510.658018
14,18,7671.384993
14,21,7132.738849
14,22,6917.443375
14,24,6506.502209
14,25,6459.691104
14,27,5920.283274
14,33,5630.445921
14,36,5424.746285
14,37,5402.221946
15,11,24666.872518
15,12,15963.707231
15,13,13951.000236
15,14,11872.785756
15,15,11373.390440
15,16,10136.957156
15,17,9471.095331
15,18,7671.384993
15,21,7132.738849
15,22,6917.443375
15,23,6510.374257
15,24,6506.502209
15,25,6459.691104
15,27,5920.283274
15,33,5630.445921
15,36,5424.746285
15,37,5402.221946
16,11,24666.872518
16,12,15963.707231
16,13,13951.000236
16,14,11872.785756
16,15,11373.390440
16,16,10136.957156
16,17,9113.962372
16,18,7671.384993
16,21,7132.738849
16,22,6670.503277
16,23,6510.374257
16,24,6506.502209
16,25,6459.691104
16,27,5920.283274
16,32,5675.592976
16,33,5630.445921
16,36,5424.746285
16,37,5402.221946
17,11,24666.872518
17,12,15963.707231
17,13,13393.059220
17,14,11872.785756
