Iteration,NV,TOC
1,13,29848.836241
1,14,21024.305715
1,15,11155.960989
1,16,9932.796955
1,18,9475.671470
1,20,8342.846785
1,22,7738.950429
1,24,7475.761979
1,27,6803.120231
1,30,6788.916757
1,33,6344.995611
1,35,5605.964962
1,45,5482.497154
1,47,5331.511156
1,56,5232.293528
2,13,24578.094067
2,14,21024.305715
2,15,11155.960989
2,16,9932.796955
2,18,9475.671470
2,20,8342.846785
2,22,7738.950429
2,24,7475.761979
2,27,6803.120231
2,30,6788.916757
2,33,6344.995611
2,35,5605.964962
2,45,5482.497154
2,47,5331.511156
2,56,5232.293528
3,12,41912.665076
3,13,24578.094067
3,14,14596.060215
3,15,11155.960989
3,16,9932.796955
3,18,9475.671470
3,20,8342.846785
3,22,7738.950429
3,24,7475.761979
3,27,6803.120231
3,30,6788.916757
3,33,6344.995611
3,35,5605.964962
3,45,5482.497154
3,47,5331.511156
3,56,5232.293528
4,12,41912.665076
4,13,24578.094067
4,14,14596.060215
4,15,11155.960989
4,16,9932.796955
4,18,9475.671470
4,20,8342.846785
4,22,7738.950429
4,24,7475.761979
4,27,6803.120231
4,30,6788.916757
4,33,6344.995611
4,35,5605.964962
4,45,5482.497154
4,47,5331.511156
4,56,5232.293528
5,12,41912.665076
5,13,24578.094067
5,14,14596.060215
5,15,11155.960989
5,16,9932.796955
5,18,9475.671470
5,20,8342.846785
5,22,7738.950429
5,24,7475.761979
5,27,6803.120231
5,30,6788.916757
5,31,6667.586513
5,33,6344.995611
5,35,5605.964962
5,45,5482.497154
5,47,5331.511156
5,56,5232.293528
6,12,29157.065140
6,13,24578.094067
6,14,14596.060215
6,15,11155.960989
6,16,9932.796955
6,18,9475.671470
6,20,8342.846785
6,22,7738.950429
6,24,7475.761979
6,27,6803.120231
6,30,6788.916757
6,31,6667.586513
6,33,6344.995611
6,35,5605.964962
6,45,5482.497154
6,47,5331.511156
6,56,5232.293528
7,12,27061.943522
7,13,24578.094067
7,14,14596.060215
7,15,11155.960989
7,16,9932.796955
7,18,9475.671470
7,20,8342.846785
7,22,7738.950429
7,24,7475.761979
7,27,6803.120231
7,30,6788.916757
7,31,6667.586513
7,33,6344.995611
7,35,5605.964962
7,45,5482.497154
7,47,5331.511156
7,56,5232.293528
8,12,27061.943522
8,13,24578.094067
8,14,14596.060215
8,15,11155.960989
8,16,9932.796955
8,18,9475.671470
8,20,8342.846785
8,22,7738.950429
8,24,7475.761979
8,27,6803.120231
8,30,6788.916757
8,31,6667.586513
8,33,6344.995611
8,35,5605.964962
8,45,5482.497154
8,47,5331.511156
8,56,5232.293528
9,12,27061.943522
9,13,24578.094067
9,14,14596.060215
9,15,11155.960989
9,16,9932.796955
9,18,9475.671470
9,20,8342.846785
9,22,7738.950429
9,24,7475.761979
9,27,6803.120231
9,30,6788.916757
9,31,6667.586513
9,33,6344.995611
9,35,5605.964962
9,45,5482.497154
9,47,5331.511156
9,56,5232.293528
10,12,27061.943522
10,13,22842.042539
10,14,14596.060215
10,15,11155.960989
10,16,9932.796955
10,18,9475.671470
10,20,8342.846785
10,22,7738.950429
10,24,7475.761979
10,27,6803.120231
10,30,6788.916757
10,31,6667.586513
10,33,6344.995611
10,34,6263.385394
10,35,5605.964962
10,45,5482.497154
10,47,5331.511156
10,50,5235.500879
10,51,5223.825866
11,12,27061.943522
11,13,22842.042539
11,14,14596.060215
11,15,11155.960989
11,16,9932.796955
11,18,9475.671470
