Iteration,NV,TOC
1,7,9517.120900
1,8,7064.631184
1,9,4659.699714
1,11,3581.939767
1,12,3211.772360
1,14,2963.891179
1,15,2913.943434
1,16,2890.833405
1,17,2777.701797
1,20,2764.763874
1,26,2732.292300
1,33,2717.116229
1,40,2677.289505
2,6,14205.466920
2,7,9517.120900
2,8,7064.631184
2,9,4659.699714
2,11,3581.939767
2,12,3211.772360
2,14,2963.891179
2,15,2913.943434
2,16,2890.833405
2,17,2777.701797
2,20,2704.544326
2,40,2677.289505
3,6,10641.445185
3,7,9517.120900
3,8,6726.830362
3,9,4659.699714
3,11,3581.939767
3,12,3211.772360
3,14,2961.775609
3,15,2913.943434
3,16,2890.833405
3,17,2777.701797
3,20,2704.544326
3,40,2677.289505
4,6,10641.445185
4,7,9275.284261
4,8,6308.204984
4,9,4659.699714
4,11,3581.939767
4,12,3211.772360
4,14,2961.775609
4,15,2913.943434
4,16,2890.833405
4,17,2777.701797
4,20,2704.544326
4,40,2677.289505
5,6,10641.445185
5,7,7594.885601
5,8,6308.204984
5,9,4659.699714
5,11,3581.939767
5,12,3211.772360
5,14,2961.775609
5,15,2913.943434
5,16,2890.833405
5,17,2777.701797
5,20,2704.544326
5,40,2677.289505
6,6,10641.445185
6,7,7594.885601
6,8,6308.204984
6,9,4659.699714
6,10,4014.622382
6,11,3581.939767
6,12,3211.772360
6,14,2961.775609
6,15,2913.943434
6,16,2890.833405
6,17,2777.701797
6,20,2704.544326
6,40,2677.289505
7,6,10641.445185
7,7,7594.885601
7,8,6308.204984
7,9,3699.570205
7,11,3581.939767
7,12,3211.772360
7,14,2961.775609
7,15,2913.943434
7,16,2890.833405
7,17,2777.701797
7,18,2653.039211
8,6,10641.445185
8,7,7594.885601
8,8,6120.343669
8,9,3699.570205
8,11,3581.939767
8,12,3211.772360
8,13,3123.710356
8,14,2961.775609
8,15,2913.943434
8,16,2890.833405
8,17,2777.701797
8,18,2653.039211
9,6,10641.445185
9,7,7594.885601
9,8,5194.070817
9,9,3699.570205
9,11,3581.939767
9,12,3211.772360
9,13,3123.710356
9,14,2961.775609
9,15,2913.943434
9,16,2890.833405
9,17,2777.701797
9,18,2653.039211
10,6,10641.445185
10,7,7594.885601
10,8,5194.070817
10,9,3699.570205
10,11,3581.939767
10,12,3211.772360
10,13,3123.710356
10,14,2961.775609
10,15,2913.943434
10,16,2890.833405
10,17,2777.701797
10,18,2653.039211
11,6,10376.414635
11,7,7594.885601
11,8,5194.070817
11,9,3699.570205
11,11,3581.939767
11,12,3211.772360
11,13,3123.710356
11,14,2961.775609
11,15,2913.943434
11,16,2890.833405
11,17,2777.701797
11,18,2653.039211
12,6,10376.414635
12,7,7573.563553
12,8,4802.318191
12,9,3349.794805
12,12,3211.772360
12,13,3123.710356
12,14,2961.775609
12,15,2913.943434
12,16,2890.833405
12,17,2777.701797
12,18,2653.039211
13,6,10376.414635
13,7,7205.356509
13,8,4802.318191
13,9,3349.794805
13,12,3211.772360
13,13,3123.710356
13,14,2961.775609
13,15,2913.943434
13,16,2890.833405
13,17,2777.701797
13,18,2653.039211
14,6,10376.414635
14,7,7205.356509
14,8,4802.318191
14,9,3349.794805
14,12,3211.772360
14,13,3123.710356
14,14,2961.775609
14,15,2913.943434
14,16,2890.833405
14,17,2777.701797
14,18,2653.039211
15,6,10376.414635
15,7,7205.356509
15,8,4802.318191
15,9,3349.794805
15,12,2979.806341
15,14,2961.775609
15,15,2913.943434
15,16,2890.833405
15,17,2777.701797
15,18,2653.039211
16,6,10376.414635
16,7,7205.356509
16,8,4802.318191
16,9,3349.794805
16,12,2979.806341
16,14,2961.775609
16,15,2913.943434
16,16,2890.833405
16,17,2777.701797
16,18,2653.039211
17,6,10376.414635
17,7,7205.356509
17,8,4802.318191
17,9,3107.275805
17,12,2799.434084
17,15,2650.968908
18,6,10233.490260
18,7,6931.664188
18,8,4802.318191
18,9,3107.275805
18,12,2799.434084
18,15,2650.968908
19,6,9971.634946
19,7,6931.664188
19,8,4802.318191
19,9,3107.275805
19,12,2799.434084
19,15,2650.968908
20,6,9971.634946
20,7,6931.664188
20,8,4802.318191
20,9,3107.275805
20,12,2799.434084
20,15,2650.968908
21,6,9971.634946
21,7,6931.664188
21,8,4802.318191
21,9,3107.275805
21,12,2799.434084
21,15,2650.968908
22,6,9971.634946
22,7,6931.664188
22,8,4639.750808
22,9,3107.275805
22,11,2771.855540
22,15,2650.968908
23,6,9971.634946
23,7,6931.664188
23,8,4639.750808
23,9,3107.275805
23,11,2771.855540
23,15,2650.968908
24,6,9971.634946
24,7,6594.754260
24,8,4607.784332
24,9,3107.275805
24,11,2771.855540
24,15,2650.968908
25,6,9943.951874
25,7,6594.754260
25,8,4607.784332
25,9,3107.275805
25,11,2771.855540
25,15,2650.968908
26,6,9943.951874
26,7,6594.754260
26,8,4607.784332
26,9,3107.275805
26,11,2771.855540
26,15,2650.968908
27,6,9671.524149
27,7,6594.754260
27,8,4607.784332
27,9,3107.275805
27,11,2771.855540
27,15,2650.968908
28,6,9671.524149
28,7,6594.754260
28,8,4607.784332
28,9,3107.275805
28,11,2771.855540
28,15,2650.968908
29,6,9671.524149
29,7,6594.754260
29,8,4607.784332
29,9,3107.275805
29,11,2771.855540
29,15,2650.968908
30,6,9671.524149
30,7,6594.754260
30,8,3939.955600
30,9,3107.275805
30,11,2771.855540
30,15,2650.968908
31,6,9671.524149
31,7,6594.754260
31,8,3939.955600
31,9,3107.275805
31,11,2771.855540
31,15,2650.968908
32,6,8185.620829
32,7,6594.754260
32,8,3939.955600
32,9,3107.275805
32,11,2771.855540
32,15,2650.968908
33,6,8185.620829
33,7,6594.754260
33,8,3939.955600
33,9,3107.275805
33,11,2771.855540
33,15,2650.968908
34,6,8185.620829
34,7,6594.754260
34,8,3939.955600
34,9,3107.275805
34,11,2771.855540
34,15,2650.968908
35,6,8185.620829
35,7,6594.754260
35,8,3919.474987
35,9,3078.929044
35,11,2771.855540
35,15,2650.968908
36,6,8185.620829
36,7,6594.754260
36,8,3919.474987
36,9,3078.929044
36,10,2888.363474
36,11,2771.855540
36,15,2650.968908
37,6,8185.620829
37,7,6412.472752
37,8,3860.195668
37,9,3078.929044
37,10,2888.363474
37,11,2771.855540
37,15,2650.968908
38,6,8185.620829
38,7,6412.472752
38,8,3860.195668
38,9,3078.929044
38,10,2888.363474
38,11,2771.855540
38,15,2650.968908
39,6,8185.620829
39,7,6412.472752
39,8,3860.195668
39,9,3078.929044
39,10,2888.363474
39,11,2771.855540
39,15,2650.968908
40,6,8185.620829
40,7,6412.472752
40,8,3860.195668
40,9,3078.929044
40,10,2888.363474
40,11,2771.855540
40,13,2763.686204
40,15,2650.968908
41,6,8185.620829
41,7,6412.472752
41,8,3860.195668
41,9,3078.929044
41,10,2888.363474
41,11,2771.855540
41,13,2763.686204
41,15,2650.968908
42,6,7212.052413
42,7,6316.200612
42,8,3860.195668
42,9,3078.929044
42,10,2885.515921
42,11,2715.044438
42,15,2650.968908
43,6,7212.052413
43,7,6186.937757
43,8,3860.195668
43,9,3078.929044
43,10,2885.515921
43,11,2715.044438
43,15,2650.968908
44,6,7212.052413
44,7,6186.937757
44,8,3801.176022
44,9,3078.929044
44,10,2885.515921
44,11,2715.044438
44,15,2650.968908
45,6,7212.052413
45,7,5023.064910
45,8,3652.055742
45,9,3078.929044
45,10,2885.515921
45,11,2715.044438
45,15,2650.968908
46,6,7212.052413
46,7,5023.064910
46,8,3652.055742
46,9,3078.929044
46,10,2885.515921
46,11,2715.044438
46,15,2650.968908
47,6,6634.608071
47,7,5023.064910
47,8,3497.655348
47,9,3078.929044
47,10,2885.515921
47,11,2715.044438
47,15,2650.968908
48,6,6634.608071
48,7,5023.064910
48,8,3497.655348
48,9,3078.929044
48,10,2885.515921
48,11,2715.044438
48,15,2650.968908
49,6,6634.608071
49,7,5023.064910
49,8,3497.655348
49,9,3078.929044
49,10,2885.515921
49,11,2715.044438
49,15,2650.968908
50,6,6634.608071
50,7,4560.743752
50,8,3497.655348
50,9,3078.929044
50,10,2885.515921
50,11,2715.044438
50,15,2650.968908
51,6,6634.608071
51,7,4560.743752
51,8,3497.655348
51,9,3078.929044
51,10,2885.515921
51,11,2715.044438
51,15,2650.968908
52,6,6634.608071
52,7,4560.743752
52,8,2934.329329
52,10,2885.515921
52,11,2715.044438
52,15,2650.968908
53,6,6634.608071
53,7,4560.743752
53,8,2934.329329
53,10,2790.238012
53,11,2715.044438
53,13,2666.149086
53,15,2650.968908
54,6,6634.608071
54,7,4560.743752
54,8,2934.329329
54,10,2790.238012
54,11,2715.044438
54,13,2666.149086
54,15,2650.968908
55,6,6634.608071
55,7,4560.743752
55,8,2934.329329
55,10,2790.238012
55,11,2715.044438
55,13,2666.149086
55,15,2650.968908
56,6,6634.608071
56,7,4560.743752
56,8,2934.329329
56,10,2790.238012
56,11,2715.044438
56,13,2666.149086
56,15,2650.968908
57,6,6376.683215
57,7,4560.743752
57,8,2934.329329
57,10,2711.109093
57,13,2666.149086
57,15,2650.968908
58,6,6376.683215
58,7,4560.743752
58,8,2934.329329
58,9,2780.246386
58,10,2695.816082
58,13,2666.149086
58,15,2650.968908
59,6,6376.683215
59,7,4560.743752
59,8,2934.329329
59,9,2780.246386
59,10,2695.816082
59,11,2695.563468
59,13,2666.149086
59,15,2650.968908
60,6,6376.683215
60,7,4560.743752
60,8,2934.329329
60,9,2780.246386
60,10,2695.816082
60,11,2695.563468
60,13,2666.149086
60,15,2650.968908
61,6,6376.683215
61,7,4560.743752
61,8,2934.329329
61,9,2780.246386
61,10,2695.816082
61,11,2695.563468
61,13,2666.149086
61,15,2650.968908
62,6,5579.426328
62,7,4560.743752
62,8,2799.332497
62,9,2780.246386
62,10,2695.816082
62,11,2695.563468
62,13,2666.149086
62,15,2650.968908
63,6,5579.426328
63,7,4560.743752
63,8,2799.332497
63,9,2780.246386
63,10,2682.683426
63,13,2666.149086
63,15,2650.968908
64,6,5579.426328
64,7,4560.743752
64,8,2799.332497
64,9,2780.246386
64,10,2682.683426
64,13,2626.984987
65,6,5579.426328
65,7,4064.957244
65,8,2799.332497
65,9,2780.246386
65,10,2682.683426
65,13,2626.984987
66,6,5579.426328
66,7,4064.957244
66,8,2799.332497
66,9,2780.246386
66,10,2682.683426
66,13,2626.984987
67,6,5512.548559
67,7,4064.957244
67,8,2764.627348
67,10,2616.100555
68,6,5512.548559
68,7,3683.327565
68,8,2764.627348
68,10,2616.100555
69,6,5512.548559
69,7,3683.327565
69,8,2764.627348
69,10,2616.100555
69,19,2576.352258
70,6,5512.548559
70,7,3683.327565
70,8,2764.627348
70,10,2616.100555
70,19,2576.352258
71,6,5512.548559
71,7,3683.327565
71,8,2764.627348
71,10,2616.100555
71,19,2576.352258
72,6,5512.548559
72,7,3683.327565
72,8,2764.627348
72,10,2616.100555
72,19,2576.352258
73,6,5512.548559
73,7,3683.327565
73,8,2764.627348
73,10,2616.100555
73,19,2576.352258
74,6,5512.548559
74,7,3390.698625
74,8,2764.627348
74,10,2616.100555
74,19,2576.352258
75,6,5512.548559
75,7,3390.698625
75,8,2764.627348
75,10,2616.100555
75,19,2576.352258
76,6,5512.548559
76,7,3390.698625
76,8,2764.627348
76,10,2616.100555
76,19,2576.352258
77,6,5512.548559
77,7,3390.698625
77,8,2764.627348
77,10,2616.100555
77,19,2576.352258
78,6,5512.548559
78,7,3390.698625
78,8,2764.627348
78,10,2616.100555
78,12,2556.999438
79,6,5512.548559
79,7,3390.698625
79,8,2764.627348
79,10,2613.289415
79,12,2556.999438
79,19,2548.273748
80,6,5512.548559
80,7,3390.698625
80,8,2764.627348
80,10,2613.289415
80,12,2556.999438
80,19,2548.273748
81,6,5512.548559
81,7,3390.698625
81,8,2764.627348
81,10,2613.289415
81,12,2556.999438
81,19,2548.273748
82,6,5446.348459
82,7,3390.698625
82,8,2764.627348
82,10,2613.289415
82,12,2556.999438
82,19,2548.273748
83,6,5446.348459
83,7,3390.698625
83,8,2764.627348
83,10,2613.289415
83,12,2556.999438
83,17,2543.663405
84,6,5446.348459
84,7,3390.698625
84,8,2764.627348
84,10,2613.289415
84,12,2556.999438
84,17,2543.663405
85,6,5446.348459
85,7,3390.698625
85,8,2764.627348
85,10,2613.289415
85,12,2556.999438
85,15,2554.381153
85,16,2553.635302
85,17,2543.663405
86,6,5446.348459
86,7,3390.698625
86,8,2764.627348
86,10,2613.289415
86,12,2556.999438
86,15,2554.381153
86,16,2553.635302
86,17,2543.663405
87,6,5372.432605
87,7,3390.698625
87,8,2756.919668
87,10,2613.289415
87,12,2556.999438
87,15,2539.292686
88,6,5372.432605
88,7,3390.698625
88,8,2756.919668
88,9,2749.840355
88,10,2613.289415
88,12,2556.999438
88,15,2539.292686
89,6,5372.432605
89,7,3390.698625
89,8,2756.919668
89,9,2749.840355
89,10,2613.289415
89,12,2556.999438
89,15,2539.292686
90,6,5372.432605
90,7,3390.698625
90,8,2756.919668
90,9,2749.840355
90,10,2613.289415
90,12,2556.999438
90,14,2555.346603
90,15,2539.292686
91,5,16473.495648
91,6,5372.432605
91,7,3289.441013
91,8,2756.919668
91,9,2749.840355
91,10,2613.289415
91,12,2556.999438
91,14,2555.346603
91,15,2539.292686
92,5,16473.495648
92,6,5235.264063
92,7,3289.441013
92,8,2756.919668
92,9,2749.840355
92,10,2613.289415
92,12,2556.999438
92,14,2555.346603
92,15,2539.292686
93,5,16473.495648
93,6,4749.426493
93,7,3289.441013
93,8,2756.919668
93,9,2749.840355
93,10,2613.289415
93,12,2556.999438
93,14,2555.346603
93,15,2539.292686
94,5,16473.495648
94,6,4438.950865
94,7,3289.441013
94,8,2756.919668
94,9,2749.840355
94,10,2613.289415
94,12,2556.999438
94,14,2555.346603
94,15,2539.292686
95,5,16473.495648
95,6,4438.950865
95,7,3289.441013
95,8,2756.919668
95,9,2749.840355
95,10,2613.289415
95,12,2556.999438
95,14,2555.346603
95,15,2539.292686
96,5,16473.495648
96,6,4438.950865
96,7,3289.441013
96,8,2756.919668
96,9,2749.840355
96,10,2613.289415
96,12,2540.971202
96,15,2539.292686
97,5,16473.495648
97,6,3522.666820
97,7,3289.441013
97,8,2756.919668
97,9,2749.840355
97,10,2613.289415
97,12,2540.971202
97,15,2539.292686
98,5,16473.495648
98,6,3522.666820
98,7,3289.441013
98,8,2756.919668
98,9,2739.456217
98,10,2613.289415
98,12,2540.971202
98,15,2539.292686
99,5,9040.745908
99,6,3522.666820
99,7,3289.441013
99,8,2756.919668
99,9,2739.456217
99,10,2613.289415
99,12,2540.971202
99,14,2509.243679
100,5,9040.745908
100,6,3522.666820
100,7,3289.441013
100,8,2756.919668
100,9,2739.456217
100,10,2613.289415
100,11,2538.591797
100,14,2509.243679
101,5,9040.745908
101,6,3522.666820
101,7,3107.093601
101,8,2756.919668
101,9,2739.456217
101,10,2613.289415
101,11,2538.591797
101,14,2509.243679
102,5,9040.745908
102,6,3404.095532
102,7,3107.093601
