Iteration,NV,TOC
1,7,13539.607958
1,8,6625.703680
1,9,6570.971176
1,10,6162.562326
1,12,4601.939200
1,13,4168.176890
1,14,4017.946194
1,16,3604.049282
1,18,3514.582937
1,19,3438.464171
1,23,3239.735610
2,6,18257.500249
2,7,10384.605277
2,8,6625.703680
2,9,6570.971176
2,10,6162.562326
2,12,4601.939200
2,13,4168.176890
2,14,4017.946194
2,16,3604.049282
2,18,3514.582937
2,19,3438.464171
2,20,3362.965729
2,23,3239.735610
2,27,3182.003118
2,33,3124.368872
3,6,18257.500249
3,7,10384.605277
3,8,6625.703680
3,9,6570.971176
3,10,5651.724996
3,11,5005.240994
3,12,4450.386140
3,13,4168.176890
3,14,4017.946194
3,16,3604.049282
3,18,3514.582937
3,19,3438.464171
3,20,3362.965729
3,23,3239.735610
3,26,3169.768849
3,31,3145.974151
3,33,3124.368872
4,6,18257.500249
4,7,10384.605277
4,8,6625.703680
4,9,6570.971176
4,10,5651.724996
4,11,5005.240994
4,12,4262.466523
4,13,4168.176890
4,14,4017.946194
4,15,3910.243513
4,16,3604.049282
4,18,3514.582937
4,19,3438.464171
4,20,3362.965729
4,21,3243.653822
4,23,3233.041688
4,26,3169.768849
4,31,3145.974151
4,33,3124.368872
5,6,18257.500249
5,7,10384.605277
5,8,6625.703680
5,9,6570.971176
5,10,5651.724996
5,11,5005.240994
5,12,4262.466523
5,13,4168.176890
5,14,4017.946194
5,15,3910.243513
5,16,3442.934796
5,19,3438.464171
5,20,3362.965729
5,21,3243.653822
5,23,3222.563172
5,26,3169.768849
5,31,3145.974151
5,33,3124.368872
6,6,18257.500249
6,7,9986.295715
6,8,6625.703680
6,9,6570.971176
6,10,4760.123827
6,12,4262.466523
6,13,4126.774173
6,14,3820.791193
6,16,3442.934796
6,19,3438.464171
6,20,3362.965729
6,21,3243.653822
6,23,3194.326836
6,26,3169.768849
6,31,3145.974151
6,33,3124.368872
7,6,18257.500249
7,7,9986.295715
7,8,6625.703680
7,9,6251.816789
7,10,4760.123827
7,12,4262.466523
7,13,4126.774173
7,14,3820.791193
7,16,3442.934796
7,19,3434.438369
7,20,3362.965729
7,21,3108.922693
7,26,3096.695691
8,6,18257.500249
8,7,8951.371212
8,8,6625.703680
8,9,6251.816789
8,10,4760.123827
8,12,4262.466523
8,13,4126.774173
8,14,3820.791193
8,16,3442.934796
8,19,3434.438369
8,20,3362.965729
8,21,3108.922693
8,25,3100.396754
8,26,3096.695691
9,6,18257.500249
9,7,8951.371212
9,8,6625.703680
9,9,6251.816789
9,10,4760.123827
9,12,4262.466523
9,13,4126.774173
9,14,3820.791193
9,16,3442.934796
9,19,3396.440329
9,20,3362.965729
9,21,3108.922693
9,25,3100.396754
9,26,3096.695691
10,6,18257.500249
10,7,8951.371212
10,8,6625.703680
10,9,6251.816789
10,10,4760.123827
10,12,4262.466523
10,13,4126.774173
10,14,3820.791193
10,16,3442.934796
10,19,3396.440329
10,20,3236.629148
10,21,3108.922693
10,23,3077.959049
10,24,3041.444779
11,6,18257.500249
11,7,8951.371212
11,8,6625.703680
11,9,6251.816789
11,10,4760.123827
11,12,4262.466523
11,13,4126.774173
11,14,3820.791193
11,15,3807.725643
11,16,3442.934796
11,18,3011.665209
12,6,18257.500249
12,7,8951.371212
12,8,6625.703680
12,9,5739.849616
12,10,4760.123827
12,12,4262.466523
12,13,4126.774173
12,14,3820.791193
12,15,3807.725643
12,16,3442.934796
12,18,3011.665209
12,19,2982.447845
13,6,18257.500249
13,7,7923.228437
13,8,6625.703680
13,9,5739.849616
13,10,4760.123827
13,12,4262.466523
13,13,4082.735272
13,14,3693.792440
13,16,3442.934796
13,17,3428.374734
13,18,3011.665209
13,19,2982.447845
14,6,18257.500249
14,7,7923.228437
14,8,6625.703680
14,9,5636.571836
14,10,4760.123827
14,12,4262.466523
14,13,4082.735272
14,14,3693.792440
14,16,3442.934796
14,17,3390.460153
14,18,3011.665209
14,19,2982.447845
14,23,2945.734603
15,6,11155.845281
15,7,7923.228437
15,8,6625.703680
15,9,5636.571836
15,10,4760.123827
15,11,4727.001368
15,12,4262.466523
15,13,4082.735272
15,14,3693.792440
15,16,3442.934796
15,17,3390.460153
15,18,3011.665209
15,19,2982.447845
15,23,2945.734603
15,24,2905.801305
16,6,11155.845281
16,7,7620.906850
16,8,6625.703680
16,9,5636.571836
16,10,4760.123827
16,11,4669.257071
16,12,4262.466523
16,13,4059.989342
16,14,3313.129916
16,17,2989.657556
16,19,2982.447845
16,22,2981.970334
16,23,2945.734603
16,24,2905.801305
16,28,2895.070792
17,6,11155.845281
17,7,7410.722122
17,8,6625.703680
17,9,5636.571836
17,10,4760.123827
17,11,4669.257071
17,12,4262.466523
17,13,4059.989342
17,14,3313.129916
17,17,2989.657556
17,19,2982.447845
17,22,2981.970334
17,23,2945.734603
17,24,2905.801305
17,28,2895.070792
18,6,11155.845281
18,7,7410.722122
18,8,6625.703680
18,9,5636.571836
18,10,4760.123827
18,11,4669.257071
18,12,4262.466523
18,13,4059.989342
18,14,3313.129916
18,17,2989.657556
18,19,2982.447845
18,22,2981.970334
18,23,2945.734603
18,24,2905.801305
18,28,2895.070792
19,6,11155.845281
19,7,7410.722122
19,8,6625.703680
19,9,5636.571836
19,10,4760.123827
19,11,4669.257071
19,12,4262.466523
19,13,4059.989342
19,14,3313.129916
19,17,2989.657556
19,19,2982.447845
19,21,2963.795080
19,23,2945.734603
19,24,2905.801305
19,25,2822.987856
20,6,11155.845281
20,7,7410.722122
20,8,6625.703680
20,9,5636.571836
20,10,4760.123827
20,11,4669.257071
20,12,4076.423504
20,13,4059.989342
20,14,3313.129916
20,17,2989.657556
20,19,2982.447845
20,21,2963.795080
20,23,2945.734603
20,24,2905.801305
20,25,2822.987856
21,6,10595.331025
21,7,7410.722122
21,8,6625.703680
21,9,5636.571836
21,10,4760.123827
21,11,4664.257928
21,12,4076.423504
21,13,4059.989342
21,14,3313.129916
21,17,2989.657556
21,19,2982.447845
21,21,2963.795080
21,23,2945.734603
21,24,2905.801305
21,25,2822.987856
21,26,2793.812544
22,6,10595.331025
22,7,7410.722122
22,8,6625.703680
22,9,5636.571836
22,10,4760.123827
22,11,4664.257928
22,12,4076.423504
22,13,4059.989342
22,14,3313.129916
22,17,2989.657556
22,19,2945.412168
22,24,2905.801305
22,25,2822.987856
22,26,2793.812544
23,6,10595.331025
23,7,7410.722122
23,8,6625.703680
23,9,5636.571836
23,10,4760.123827
23,11,4664.257928
23,12,4076.423504
23,13,3809.669922
23,14,3313.129916
23,15,3288.020910
23,17,2989.657556
23,19,2945.412168
23,24,2905.801305
23,25,2822.987856
23,26,2793.812544
24,6,10595.331025
24,7,7410.722122
24,8,6625.703680
24,9,5636.571836
24,10,4760.123827
24,11,4664.257928
24,12,4076.423504
24,13,3782.207743
24,14,3313.129916
24,15,3288.020910
24,17,2989.657556
24,19,2945.412168
24,24,2905.801305
24,25,2822.987856
24,26,2782.302056
25,6,10595.331025
25,7,7410.722122
25,8,6625.703680
25,9,5636.571836
25,10,4760.123827
25,11,4664.257928
25,12,4076.423504
25,13,3782.207743
25,14,3313.129916
25,15,3288.020910
25,17,2989.657556
25,19,2945.412168
25,22,2901.076524
25,24,2824.967864
25,25,2822.987856
25,26,2782.302056
26,6,10595.331025
26,7,7410.722122
26,8,6625.703680
26,9,4974.229187
26,10,4760.123827
26,11,4603.349117
26,12,4076.423504
26,13,3550.945563
26,14,3313.129916
26,15,3133.020958
26,17,2989.657556
26,19,2945.412168
26,22,2901.076524
26,23,2863.035960
26,24,2824.967864
26,25,2822.987856
26,26,2782.302056
27,6,10595.331025
27,7,7410.722122
27,8,6625.703680
27,9,4974.229187
27,10,4760.123827
27,11,4523.474715
27,12,4076.423504
27,13,3550.945563
27,14,3313.129916
27,15,3133.020958
27,17,2989.657556
27,19,2945.412168
27,21,2933.660384
27,22,2901.076524
27,23,2863.035960
27,24,2824.967864
27,25,2822.987856
27,26,2782.302056
28,6,10595.331025
28,7,7410.722122
28,8,6503.808143
28,9,4974.229187
28,10,4760.123827
28,11,4400.189917
28,12,4076.423504
28,13,3550.945563
28,14,3313.129916
28,15,3133.020958
28,17,2989.657556
28,19,2945.412168
28,21,2933.660384
28,22,2901.076524
28,23,2863.035960
28,24,2824.967864
28,25,2822.987856
28,26,2782.302056
29,6,10595.331025
29,7,7410.722122
29,8,6503.808143
29,9,4974.229187
29,10,4760.123827
29,11,4400.189917
29,12,4076.423504
29,13,3550.945563
29,14,3313.129916
29,15,3133.020958
29,17,2989.657556
29,19,2945.412168
29,20,2907.499226
29,22,2901.076524
29,23,2863.035960
29,24,2824.967864
29,25,2822.987856
29,26,2735.768834
30,6,10595.331025
30,7,7410.722122
30,8,6503.808143
30,9,4974.229187
30,10,4760.123827
30,11,4173.170170
30,12,4076.423504
30,13,3550.945563
30,14,3313.129916
30,15,3133.020958
30,17,2989.657556
30,19,2945.412168
30,20,2907.499226
30,22,2901.076524
30,23,2863.035960
30,24,2824.967864
30,25,2822.987856
30,26,2735.768834
31,6,10595.331025
31,7,7410.722122
31,8,6503.808143
31,9,4974.229187
31,10,4760.123827
31,11,4173.170170
31,12,3773.584171
31,13,3550.945563
31,14,3313.129916
31,15,2805.044205
31,26,2735.768834
32,6,10595.331025
32,7,7410.722122
32,8,6503.808143
32,9,4974.229187
32,10,4700.876694
32,11,4173.170170
32,12,3773.584171
32,13,3509.701248
32,14,3313.129916
32,15,2805.044205
32,26,2735.768834
33,6,10508.605300
33,7,7410.722122
33,8,6503.808143
33,9,4974.229187
33,10,4700.876694
33,11,4173.170170
33,12,3773.584171
33,13,3509.701248
33,14,3313.129916
33,15,2805.044205
33,26,2735.768834
34,6,10508.605300
34,7,7410.722122
34,8,6472.953529
34,9,4974.229187
34,10,4307.162233
34,11,4173.170170
34,12,3773.584171
34,13,3509.701248
34,14,3313.129916
34,15,2805.044205
34,26,2735.768834
35,6,10508.605300
35,7,7410.722122
35,8,6472.953529
35,9,4974.229187
35,10,4307.162233
35,11,4173.170170
35,12,3424.024313
35,14,3313.129916
35,15,2805.044205
35,26,2735.768834
36,5,14025.916507
36,6,10508.605300
36,7,7410.722122
36,8,6472.953529
36,9,4974.229187
36,10,4187.837228
36,11,4173.170170
36,12,3424.024313
36,14,3313.129916
36,15,2805.044205
36,26,2735.768834
37,5,14025.916507
37,6,10508.605300
37,7,7410.722122
37,8,6472.953529
37,9,4974.229187
37,10,4187.837228
37,11,4173.170170
37,12,3424.024313
37,14,3313.129916
37,15,2805.044205
37,18,2703.041271
37,19,2602.442311
38,5,14025.916507
38,6,10508.605300
38,7,7410.722122
38,8,6472.953529
38,9,4974.229187
38,10,3583.988184
38,12,3424.024313
38,13,3279.463134
