Iteration,NV,TOC
1,7,9735.085393
1,8,6588.871470
1,9,5158.047571
1,12,5056.724244
1,13,3963.958444
1,16,3676.359070
1,18,3053.567364
1,19,2956.132295
2,6,17412.449017
2,7,9735.085393
2,8,6588.871470
2,9,5158.047571
2,12,5056.724244
2,13,3963.958444
2,16,3676.359070
2,18,3053.567364
2,19,2956.132295
2,35,2944.130600
3,6,17412.449017
3,7,9735.085393
3,8,6588.871470
3,9,5158.047571
3,10,4829.481336
3,12,4539.784838
3,13,3963.958444
3,16,3676.359070
3,18,3053.567364
3,19,2956.132295
3,35,2944.130600
4,6,17412.449017
4,7,9735.085393
4,8,6588.871470
4,9,5158.047571
4,10,4829.481336
4,12,3898.889913
4,16,3676.359070
4,17,3569.216180
4,18,3053.567364
4,19,2956.132295
4,35,2944.130600
5,6,17390.080811
5,7,9735.085393
5,8,6588.871470
5,9,5158.047571
5,10,4829.481336
5,12,3898.889913
5,16,3676.359070
5,17,3569.216180
5,18,3053.567364
5,19,2956.132295
5,35,2944.130600
5,36,2835.164621
6,6,17390.080811
6,7,9735.085393
6,8,6588.871470
6,9,5158.047571
6,10,4829.481336
6,12,3898.889913
6,16,3676.359070
6,17,3569.216180
6,18,3053.567364
6,19,2956.132295
6,29,2950.693713
6,31,2921.137626
6,32,2915.110968
6,36,2835.164621
7,6,17390.080811
7,7,9735.085393
7,8,6588.871470
7,9,5158.047571
7,10,4829.481336
7,12,3898.889913
7,16,3527.901504
7,18,3053.567364
7,19,2956.132295
7,29,2892.832198
7,30,2849.568930
7,36,2835.164621
8,6,17390.080811
8,7,9735.085393
8,8,6588.871470
8,9,5158.047571
8,10,4829.481336
8,12,3898.889913
8,14,3753.840290
8,16,3527.901504
8,18,3053.567364
8,19,2956.132295
8,29,2892.832198
8,30,2849.568930
8,36,2835.164621
9,6,17390.080811
9,7,9735.085393
9,8,6588.871470
9,9,4711.659734
9,12,3898.889913
9,14,3753.840290
9,16,3527.901504
9,18,3053.567364
9,19,2956.132295
9,27,2898.241844
9,29,2892.832198
9,30,2803.981571
10,6,17390.080811
10,7,9448.315249
10,8,6588.871470
10,9,4711.659734
10,12,3898.889913
10,14,3753.840290
10,15,3630.084231
10,16,3527.901504
10,17,3245.261991
10,18,3053.567364
10,19,2956.132295
10,21,2878.343615
10,25,2795.154528
11,6,17390.080811
11,7,9448.315249
11,8,6588.871470
11,9,4711.659734
11,11,4370.721918
11,12,3898.889913
11,14,3753.840290
11,15,3630.084231
11,16,3527.901504
11,17,3245.261991
11,18,3053.567364
11,19,2956.132295
11,21,2878.343615
11,25,2795.154528
12,6,14876.884007
12,7,9448.315249
12,8,6588.871470
12,9,4711.659734
12,11,4370.721918
12,12,3898.889913
12,14,3721.998597
12,15,3630.084231
12,16,3145.112649
12,18,3053.567364
12,19,2956.132295
12,21,2878.343615
12,22,2869.918253
12,25,2795.154528
13,6,14876.884007
13,7,9448.315249
13,8,6588.871470
