Generation,NV,TOC
1,8,2946.267040
1,9,2380.187147
1,11,2268.215971
1,13,1914.387527
2,8,2778.100101
2,9,2034.571096
2,13,1780.375197
3,8,2133.104778
3,9,1953.232309
3,12,1858.400273
3,13,1738.203873
4,8,1820.596792
4,12,1669.755344
5,8,1820.596792
5,10,1709.736946
5,12,1669.755344
6,7,2212.018727
6,8,1820.596792
6,10,1694.712440
6,12,1659.367607
7,7,2212.018727
7,8,1820.596792
7,9,1770.332575
7,10,1694.712440
7,12,1659.367607
7,16,1632.543155
8,7,2212.018727
8,8,1785.049809
8,9,1770.332575
8,10,1694.712440
8,12,1659.367607
8,15,1642.551445
8,16,1632.543155
9,7,2212.018727
9,8,1779.998230
9,9,1745.838756
9,10,1694.712440
9,12,1655.509729
9,13,1637.703450
9,14,1624.655697
10,7,2212.018727
10,8,1775.057910
10,9,1612.295201
10,10,1599.254389
11,7,2212.018727
11,8,1775.057910
11,9,1579.813516
11,11,1575.790776
12,7,2138.624618
12,8,1571.737138
13,7,2039.478021
13,8,1571.737138
13,10,1519.795277
14,7,2039.478021
14,8,1508.721007
15,6,1928.304406
15,7,1744.828640
15,8,1508.721007
16,6,1928.304406
16,7,1687.534591
16,8,1493.601441
17,6,1928.304406
17,7,1687.534591
17,8,1493.601441
18,6,1907.630487
18,7,1687.534591
18,8,1493.601441
19,6,1907.630487
19,7,1687.534591
19,8,1493.601441
20,6,1703.957696
20,7,1659.805383
20,8,1484.052649
21,6,1703.957696
21,7,1659.805383
21,8,1466.556263
22,6,1703.957696
22,7,1559.590383
22,8,1453.326528
23,6,1703.957696
23,7,1512.328475
23,8,1433.202115
24,6,1703.957696
24,7,1506.441599
24,8,1425.856545
25,5,1991.386116
25,6,1703.957696
25,7,1506.441599
25,8,1425.856545
26,5,1991.288133
26,6,1703.957696
26,7,1506.441599
26,8,1418.564656
27,5,1991.288133
27,6,1703.957696
27,7,1470.071589
27,8,1418.564656
28,5,1991.288133
28,6,1703.957696
28,7,1470.071589
28,8,1418.564656
29,5,1991.288133
29,6,1703.957696
29,7,1399.305091
30,5,1991.288133
30,6,1695.259898
30,7,1399.305091
30,9,1388.546846
31,5,1991.288133
31,6,1695.259898
31,7,1399.305091
31,9,1388.546846
32,5,1991.288133
32,6,1695.259898
32,7,1399.305091
32,9,1388.546846
33,5,1991.288133
33,6,1695.259898
33,7,1399.305091
33,8,1389.813409
33,9,1388.546846
34,5,1991.288133
34,6,1585.770191
34,7,1399.305091
34,8,1389.813409
34,9,1388.546846
35,5,1991.288133
35,6,1585.770191
35,7,1399.305091
35,8,1389.813409
35,9,1388.546846
36,5,1991.288133
36,6,1585.770191
36,7,1399.305091
36,8,1389.813409
36,9,1388.546846
37,5,1991.288133
37,6,1585.770191
37,7,1399.305091
37,8,1381.652012
38,5,1991.288133
38,6,1585.770191
38,7,1399.305091
38,8,1381.652012
39,5,1991.288133
39,6,1585.770191
39,7,1399.305091
39,8,1367.989033
40,5,1991.288133
40,6,1585.770191
40,7,1390.375552
40,8,1367.989033
41,5,1991.288133
41,6,1443.746595
41,7,1390.375552
41,8,1367.989033
42,5,1991.288133
42,6,1443.746595
42,7,1386.297489
42,8,1367.989033
42,9,1366.300258
43,5,1991.288133
43,6,1443.746595
43,7,1386.297489
43,8,1367.989033
43,9,1366.300258
44,5,1886.634000
44,6,1439.190110
44,7,1386.297489
44,8,1367.989033
44,9,1366.300258
45,5,1886.634000
45,6,1439.190110
45,7,1371.646613
45,8,1367.989033
45,9,1366.300258
46,5,1886.634000
46,6,1439.190110
46,7,1371.646613
46,8,1367.989033
46,9,1366.300258
47,5,1886.634000
47,6,1439.190110
47,7,1371.646613
47,8,1367.989033
47,9,1366.300258
48,5,1886.634000
48,6,1439.190110
48,7,1371.646613
48,8,1362.223441
49,5,1886.634000
49,6,1439.190110
49,7,1371.646613
49,8,1362.223441
49,9,1357.621575
50,5,1886.634000
50,6,1439.190110
50,7,1370.463611
50,8,1362.223441
50,9,1357.621575
51,5,1886.634000
51,6,1410.566414
51,7,1370.463611
51,8,1362.223441
51,9,1357.621575
52,5,1886.634000
52,6,1405.978053
52,7,1370.463611
52,8,1362.223441
52,9,1357.621575
53,5,1792.068982
53,6,1405.978053
53,7,1370.463611
53,8,1362.223441
53,9,1357.621575
54,5,1792.068982
54,6,1405.978053
54,7,1370.463611
54,8,1362.223441
54,9,1357.621575
55,5,1792.068982
55,6,1405.978053
55,7,1370.463611
55,8,1357.592101
56,5,1792.068982
56,6,1370.152924
56,8,1357.592101
57,5,1792.068982
57,6,1370.152924
57,8,1357.592101
58,5,1792.068982
58,6,1370.152924
58,8,1357.592101
59,5,1792.068982
59,6,1370.152924
59,8,1357.592101
60,5,1792.068982
60,6,1370.152924
60,8,1357.592101
61,5,1792.068982
61,6,1370.152924
61,7,1366.342241
61,8,1357.592101
62,5,1739.130234
62,6,1370.152924
62,7,1366.342241
62,8,1357.592101
63,5,1739.130234
63,6,1370.152924
63,7,1366.342241
63,8,1357.592101
64,5,1739.130234
64,6,1370.152924
64,7,1366.342241
64,8,1357.592101
65,5,1739.130234
65,6,1370.152924
65,7,1366.342241
65,8,1357.592101
66,5,1739.130234
66,6,1365.717510
66,8,1357.592101
67,5,1739.130234
67,6,1365.717510
67,8,1357.592101
68,5,1739.130234
68,6,1365.717510
68,8,1357.592101
69,5,1739.130234
69,6,1365.717510
69,8,1357.592101
70,5,1739.130234
70,6,1365.717510
70,8,1357.592101
71,5,1739.130234
71,6,1365.717510
71,8,1357.592101
72,5,1739.130234
72,6,1365.717510
72,8,1357.592101
73,5,1739.130234
73,6,1365.717510
73,8,1357.592101
74,5,1739.130234
74,6,1365.717510
74,8,1357.592101
75,5,1739.130234
75,6,1365.717510
75,7,1365.440978
75,8,1357.592101
76,5,1739.130234
76,6,1365.717510
76,7,1365.440978
76,8,1357.592101
77,5,1739.130234
77,6,1365.717510
77,7,1364.137489
77,8,1357.592101
78,5,1737.829719
78,6,1365.717510
78,7,1364.137489
78,8,1357.592101
79,5,1737.829719
79,6,1365.717510
79,7,1364.137489
79,8,1356.872596
80,5,1708.326667
80,6,1365.717510
80,7,1364.137489
80,8,1356.872596
81,5,1708.326667
81,6,1365.717510
81,7,1364.137489
81,8,1356.872596
82,5,1708.326667
82,6,1365.717510
82,7,1364.137489
82,8,1356.872596
83,5,1708.326667
83,6,1365.717510
83,7,1364.137489
83,8,1356.872596
84,5,1708.326667
84,6,1365.717510
84,7,1364.137489
84,8,1356.872596
85,5,1708.326667
85,6,1365.717510
85,7,1364.137489
85,8,1356.872596
86,5,1708.326667
86,6,1365.717510
86,7,1364.137489
86,8,1356.872596
87,5,1708.326667
87,6,1365.717510
87,7,1364.137489
87,8,1356.872596
88,5,1708.326667
88,6,1365.717510
88,7,1362.153429
88,8,1356.872596
89,5,1708.326667
89,6,1365.717510
89,7,1362.153429
89,8,1356.872596
90,5,1708.326667
90,6,1365.717510
90,7,1362.153429
90,8,1356.872596
91,5,1708.326667
91,6,1365.717510
91,7,1362.153429
91,8,1356.872596
92,5,1700.868096
92,6,1365.717510
92,7,1360.319313
92,8,1354.756397
93,5,1700.868096
93,6,1363.735749
93,7,1360.319313
93,8,1354.756397
94,5,1700.868096
94,6,1363.735749
94,7,1360.319313
94,8,1354.756397
95,5,1700.868096
95,6,1363.735749
95,7,1360.319313
95,8,1354.756397
96,5,1700.868096
96,6,1363.735749
96,7,1360.319313
96,8,1354.756397
97,5,1700.868096
97,6,1363.735749
97,7,1360.319313
97,8,1354.756397
98,5,1700.868096
98,6,1363.735749
98,7,1360.319313
98,8,1354.756397
99,5,1700.868096
99,6,1363.735749
99,7,1360.319313
99,8,1354.756397
100,5,1700.868096
100,6,1363.735749
100,7,1360.319313
100,8,1354.756397
101,5,1700.868096
101,6,1363.735749
101,7,1360.319313
101,8,1354.756397
102,5,1700.868096
102,6,1363.735749
102,7,1360.319313
102,8,1354.756397
103,5,1700.868096
103,6,1363.735749
103,7,1360.319313
103,8,1354.756397
104,5,1700.868096
104,6,1363.735749
104,7,1360.319313
104,8,1354.756397
105,5,1700.868096
105,6,1363.735749
105,7,1360.319313
105,8,1354.756397
106,5,1700.868096
106,6,1363.735749
106,7,1360.319313
106,8,1354.756397
107,5,1700.868096
107,6,1363.735749
107,7,1360.319313
107,8,1354.756397
108,5,1700.868096
108,6,1363.735749
108,7,1360.319313
108,8,1354.756397
109,5,1700.868096
109,6,1363.735749
109,7,1360.319313
109,8,1354.756397
110,5,1700.868096
110,6,1363.735749
110,7,1360.319313
110,8,1354.756397
111,5,1700.868096
111,6,1363.735749
111,7,1360.319313
111,8,1354.756397
112,5,1700.868096
112,6,1363.735749
112,7,1360.319313
112,8,1354.756397
113,5,1700.868096
113,6,1363.735749
113,7,1360.319313
113,8,1354.756397
114,5,1700.868096
114,6,1363.735749
114,7,1360.319313
114,8,1354.756397
115,5,1700.868096
115,6,1363.735749
115,7,1360.319313
115,8,1354.756397
116,5,1700.868096
116,6,1363.735749
116,7,1360.319313
116,8,1354.756397
117,5,1700.868096
117,6,1363.735749
117,7,1360.319313
117,8,1354.756397
118,5,1700.868096
118,6,1363.735749
118,7,1360.319313
118,8,1354.756397
119,5,1700.868096
119,6,1363.735749
119,7,1359.936090
119,8,1354.756397
120,5,1700.868096
120,6,1363.735749
120,7,1359.936090
120,8,1354.756397
121,5,1700.868096
121,6,1363.735749
121,7,1359.936090
121,8,1354.756397
122,5,1700.868096
122,6,1363.735749
122,7,1359.936090
122,8,1354.756397
123,5,1700.868096
123,6,1363.735749
123,7,1359.936090
123,8,1354.756397
124,5,1700.868096
124,6,1363.735749
124,7,1358.982222
124,8,1354.756397
125,5,1700.868096
125,6,1363.735749
125,7,1355.909299
125,8,1354.756397
126,5,1700.868096
126,6,1363.735749
126,7,1355.909299
126,8,1354.756397
127,5,1700.868096
127,6,1363.735749
127,7,1355.909299
127,8,1354.756397
128,5,1700.868096
128,6,1363.735749
128,7,1355.909299
128,8,1354.756397
129,5,1700.868096
129,6,1363.735749
129,7,1355.909299
129,8,1354.756397
130,5,1700.868096
130,6,1363.735749
130,7,1355.909299
130,8,1354.756397
131,5,1700.868096
131,6,1363.735749
131,7,1355.909299
131,8,1354.756397
132,5,1700.868096
132,6,1363.735749
