Generation,NV,TOC
1,8,2386.764877
1,9,1680.284517
1,10,1436.471692
2,7,2486.398829
2,8,2148.669897
2,9,1680.284517
2,10,1415.674783
3,7,2486.398829
3,8,1841.245244
3,9,1360.015846
4,7,2456.379038
4,8,1841.245244
4,9,1307.077791
5,7,1577.732235
5,8,1352.957420
5,9,1296.973587
6,7,1493.161762
6,8,1317.445852
6,9,1288.750780
7,6,1848.856394
7,7,1493.161762
7,8,1317.445852
7,9,1288.750780
8,6,1842.650186
8,7,1454.153265
8,8,1317.445852
8,9,1288.750780
9,6,1842.650186
9,7,1454.153265
9,8,1317.445852
9,9,1288.750780
10,6,1701.437423
10,7,1414.243322
10,8,1274.760843
11,6,1553.903890
11,7,1281.219872
11,8,1274.760843
11,9,1264.374585
12,6,1553.903890
12,7,1281.219872
12,8,1274.760843
12,9,1264.374585
13,6,1325.043924
13,7,1257.831960
14,6,1325.043924
14,7,1257.831960
15,6,1267.911338
15,7,1257.831960
15,8,1245.184076
16,6,1265.847328
16,7,1257.831960
16,8,1245.184076
16,9,1240.886401
17,6,1264.350099
17,7,1254.220027
17,8,1211.971751
18,6,1264.350099
18,7,1253.522600
18,8,1211.971751
19,5,1737.864312
19,6,1264.350099
19,7,1253.522600
19,8,1211.971751
20,5,1737.864312
20,6,1264.350099
20,7,1253.522600
20,8,1211.971751
21,5,1737.864312
21,6,1261.568410
21,7,1236.682375
21,8,1211.971751
22,5,1737.864312
22,6,1261.028632
22,7,1236.682375
22,8,1211.971751
23,5,1390.530787
23,6,1251.330257
23,7,1236.596294
23,8,1208.280427
24,5,1390.530787
24,6,1232.661086
24,7,1225.158331
24,8,1208.280427
25,5,1390.530787
25,6,1232.661086
25,7,1225.158331
25,8,1208.280427
26,5,1390.530787
26,6,1232.661086
26,7,1220.577280
26,8,1208.280427
27,5,1390.530787
27,6,1232.661086
27,7,1217.961336
27,8,1208.280427
28,5,1390.530787
28,6,1232.661086
28,7,1217.961336
28,8,1208.280427
29,5,1336.592109
29,6,1230.966164
29,7,1207.090714
30,5,1336.592109
30,6,1230.966164
30,7,1207.090714
31,5,1335.592024
31,6,1224.184376
31,7,1207.090714
32,5,1329.289518
32,6,1224.184376
32,7,1207.090714
33,5,1329.289518
33,6,1214.839471
33,7,1207.090714
34,5,1329.289518
34,6,1214.839471
34,7,1207.090714
34,8,1206.004699
35,5,1329.289518
35,6,1214.839471
35,7,1206.930978
35,8,1206.004699
36,5,1311.957806
36,6,1214.839471
36,7,1206.930978
36,8,1206.004699
37,5,1311.957806
37,6,1214.839471
37,7,1206.930978
37,8,1206.004699
38,5,1306.480369
38,6,1214.839471
38,7,1206.930978
38,8,1206.004699
39,5,1306.480369
39,6,1214.839471
39,7,1206.930978
39,8,1206.004699
40,5,1259.335552
40,6,1214.653781
40,7,1206.930978
40,8,1206.004699
41,5,1259.335552
41,6,1214.653781
41,7,1206.930978
41,8,1206.004699
42,5,1259.335552
42,6,1214.653781
42,7,1206.930978
42,8,1206.004699
43,5,1259.335552
43,6,1214.653781
43,7,1206.930978
43,8,1206.004699
44,5,1259.335552
44,6,1207.746292
44,7,1206.930978
44,8,1206.004699
45,5,1259.335552
45,6,1207.746292
45,7,1206.930978
45,8,1206.004699
46,5,1259.335552
46,6,1200.024284
47,5,1259.335552
47,6,1200.024284
48,5,1259.335552
48,6,1200.024284
49,5,1259.335552
49,6,1200.024284
50,5,1259.335552
50,6,1200.024284
51,5,1259.335552
51,6,1200.024284
52,5,1259.335552
52,6,1198.790989
53,5,1259.335552
53,6,1198.790989
