Iteration,NV,TOC
1,31,4297.675697
2,31,4297.675697
2,36,4285.883753
3,31,4297.675697
3,36,4285.883753
4,31,4297.675697
4,36,4285.883753
5,31,4297.675697
5,36,4285.883753
6,31,4297.675697
6,36,4285.883753
7,31,4297.675697
7,36,4285.883753
8,31,4297.675697
8,36,4285.883753
9,31,4297.675697
9,36,4285.883753
10,31,4297.675697
10,36,4285.883753
11,31,4297.675697
11,36,4285.883753
12,31,4297.675697
12,36,4285.883753
13,31,4297.675697
13,36,4285.883753
14,31,4297.675697
14,36,4285.883753
15,31,4297.675697
15,36,4285.883753
16,31,4297.675697
16,36,4285.883753
17,31,4297.675697
17,36,4285.883753
18,31,4297.675697
18,36,4285.883753
19,31,4297.675697
19,36,4285.883753
20,31,4297.675697
20,36,4285.883753
21,31,4297.675697
21,36,4285.883753
22,31,4297.675697
22,36,4285.883753
23,31,4297.675697
23,36,4285.883753
24,31,4297.675697
24,36,4285.883753
25,31,4297.675697
25,36,4285.883753
26,31,4297.675697
26,36,4285.883753
27,31,4297.675697
27,36,4285.883753
28,31,4297.675697
28,36,4285.883753
29,31,4297.675697
29,36,4285.883753
30,31,4297.675697
30,36,4285.883753
31,31,4297.675697
31,36,4285.883753
32,31,4297.675697
32,36,4285.883753
33,31,4297.675697
33,36,4285.883753
34,31,4297.675697
34,36,4285.883753
35,31,4297.675697
35,36,4285.883753
36,31,4297.675697
36,36,4285.883753
37,31,4297.675697
37,36,4285.883753
38,31,4297.675697
38,36,4285.883753
39,31,4297.675697
39,36,4285.883753
40,31,4297.675697
40,36,4285.883753
41,31,4297.675697
41,36,4285.883753
42,31,4297.675697
42,36,4285.883753
43,31,4297.675697
43,36,4285.883753
44,31,4297.675697
44,36,4285.883753
45,31,4297.675697
45,36,4285.883753
46,31,4297.675697
46,36,4285.883753
47,31,4297.675697
47,36,4285.883753
48,31,4297.675697
48,36,4285.883753
49,31,4297.675697
49,36,4285.883753
50,31,4297.675697
50,36,4285.883753
51,31,4297.675697
51,36,4285.883753
52,31,4297.675697
52,36,4285.883753
53,31,4297.675697
53,36,4285.883753
54,31,4297.675697
54,36,4285.883753
55,31,4297.675697
55,36,4285.883753
56,31,4297.675697
56,36,4285.883753
57,31,4297.675697
57,36,4285.883753
58,31,4297.675697
58,36,4285.883753
59,31,4297.675697
59,36,4285.883753
60,31,4297.675697
60,36,4285.883753
61,31,4297.675697
61,36,4285.883753
62,31,4297.675697
62,36,4285.883753
63,31,4297.675697
63,36,4285.883753
64,31,4297.675697
64,36,4285.883753
65,31,4297.675697
65,36,4285.883753
66,31,4297.675697
66,36,4285.883753
67,31,4297.675697
67,36,4285.883753
68,31,4297.675697
68,36,4285.883753
69,31,4297.675697
69,36,4285.883753
70,31,4297.675697
70,36,4285.883753
71,31,4297.675697
71,36,4285.883753
72,31,4297.675697
72,36,4285.883753
73,31,4297.675697
73,36,4285.883753
74,31,4297.675697
74,36,4285.883753
75,31,4297.675697
75,36,4285.883753
76,31,4297.675697
76,36,4285.883753
77,31,4297.675697
77,36,4285.883753
78,31,4297.675697
78,36,4285.883753
79,31,4297.675697
79,36,4285.883753
80,31,4297.675697
80,36,4285.883753
81,31,4297.675697
81,36,4285.883753
82,31,4297.675697
82,36,4285.883753
83,31,4297.675697
83,36,4285.883753
84,31,4297.675697
84,36,4285.883753
85,31,4297.675697
85,36,4285.883753
86,31,4297.675697
86,36,4285.883753
87,31,4297.675697
87,36,4285.883753
88,31,4297.675697
88,36,4285.883753
89,31,4297.675697
89,36,4285.883753
90,31,4297.675697
90,36,4285.883753
91,31,4297.675697
91,36,4285.883753
92,31,4297.675697
92,36,4285.883753
93,31,4297.675697
93,36,4285.883753
94,31,4297.675697
94,36,4285.883753
95,31,4297.675697
95,36,4285.883753
96,31,4297.675697
96,36,4285.883753
97,31,4297.675697
97,36,4285.883753
98,31,4297.675697
98,36,4285.883753
99,31,4297.675697
99,36,4285.883753
100,31,4297.675697
100,36,4285.883753
101,31,4297.675697
101,36,4285.883753
102,31,4297.675697
102,36,4285.883753
103,31,4297.675697
103,36,4285.883753
104,31,4297.675697
104,36,4285.883753
105,31,4297.675697
105,36,4285.883753
106,31,4297.675697
106,36,4285.883753
107,31,4297.675697
107,36,4285.883753
108,31,4297.675697
108,36,4285.883753
109,31,4297.675697
109,36,4285.883753
110,31,4297.675697
110,36,4285.883753
111,31,4297.675697
111,36,4285.883753
112,31,4297.675697
112,36,4285.883753
113,31,4297.675697
113,36,4285.883753
114,31,4297.675697
114,36,4285.883753
115,31,4297.675697
115,36,4285.883753
116,31,4297.675697
116,36,4285.883753
117,31,4297.675697
117,36,4285.883753
118,31,4297.675697
118,36,4285.883753
119,31,4297.675697
119,36,4285.883753
120,31,4297.675697
120,36,4285.883753
121,31,4297.675697
121,36,4285.883753
122,31,4297.675697
122,36,4285.883753
123,31,4297.675697
123,36,4285.883753
124,31,4297.675697
124,36,4285.883753
125,31,4297.675697
125,36,4285.883753
126,31,4297.675697
126,36,4285.883753
127,31,4297.675697
127,36,4285.883753
128,31,4297.675697
128,36,4285.883753
129,31,4297.675697
129,36,4285.883753
130,31,4297.675697
130,36,4285.883753
131,31,4297.675697
131,36,4285.883753
132,31,4297.675697
132,36,4285.883753
133,31,4297.675697
133,36,4285.883753
134,31,4297.675697
134,36,4285.883753
135,31,4297.675697
135,36,4285.883753
136,31,4297.675697
136,36,4285.883753
137,31,4297.675697
137,36,4285.883753
138,31,4297.675697
138,36,4285.883753
139,31,4297.675697
139,36,4285.883753
140,31,4297.675697
140,36,4285.883753
141,31,4297.675697
141,36,4285.883753
142,31,4297.675697
142,36,4285.883753
143,31,4297.675697
143,36,4285.883753
144,31,4297.675697
144,36,4285.883753
145,31,4297.675697
145,36,4285.883753
146,31,4297.675697
146,36,4285.883753
147,31,4297.675697
147,36,4285.883753
148,31,4297.675697
148,36,4285.883753
149,31,4297.675697
149,36,4285.883753
150,31,4297.675697
150,36,4285.883753
151,31,4297.675697
151,36,4285.883753
152,31,4297.675697
152,36,4285.883753
153,31,4297.675697
153,36,4285.883753
154,31,4297.675697
154,36,4285.883753
155,31,4297.675697
155,36,4285.883753
156,31,4297.675697
156,36,4285.883753
157,31,4297.675697
157,36,4285.883753
158,31,4297.675697
158,36,4285.883753
159,31,4297.675697
159,36,4285.883753
160,31,4297.675697
160,36,4285.883753
161,31,4297.675697
161,36,4285.883753
162,31,4297.675697
162,36,4285.883753
163,31,4297.675697
163,36,4285.883753
164,31,4297.675697
164,36,4285.883753
165,31,4297.675697
165,36,4285.883753
166,31,4297.675697
166,36,4285.883753
167,31,4297.675697
167,36,4285.883753
168,31,4297.675697
168,36,4285.883753
169,31,4297.675697
169,36,4285.883753
170,31,4297.675697
170,36,4285.883753
171,31,4297.675697
171,36,4285.883753
172,31,4297.675697
172,36,4285.883753
173,31,4297.675697
173,36,4285.883753
174,31,4297.675697
174,36,4285.883753
175,31,4297.675697
175,36,4285.883753
176,31,4297.675697
176,36,4285.883753
177,31,4297.675697
177,36,4285.883753
178,31,4297.675697
178,36,4285.883753
179,31,4297.675697
179,36,4285.883753
180,31,4297.675697
180,36,4285.883753
181,31,4297.675697
181,36,4285.883753
182,31,4297.675697
182,36,4285.883753
183,31,4297.675697
183,36,4285.883753
184,31,4297.675697
184,36,4285.883753
185,31,4297.675697
185,36,4285.883753
186,31,4297.675697
186,36,4285.883753
187,31,4297.675697
187,36,4285.883753
188,31,4297.675697
188,36,4285.883753
189,31,4297.675697
189,36,4285.883753
190,31,4297.675697
190,36,4285.883753
191,31,4297.675697
191,36,4285.883753
192,31,4297.675697
192,36,4285.883753
193,31,4297.675697
193,36,4285.883753
194,31,4297.675697
194,36,4285.883753
195,31,4297.675697
195,36,4285.883753
196,31,4297.675697
196,36,4285.883753
197,31,4297.675697
197,36,4285.883753
198,31,4297.675697
198,36,4285.883753
199,31,4297.675697
199,36,4285.883753
200,31,4297.675697
200,36,4285.883753
201,31,4297.675697
201,36,4285.883753
202,31,4297.675697
202,36,4285.883753
203,31,4297.675697
203,36,4285.883753
204,31,4297.675697
204,36,4285.883753
205,31,4297.675697
205,36,4285.883753
206,31,4297.675697
206,36,4285.883753
207,31,4297.675697
207,36,4285.883753
208,31,4297.675697
208,36,4285.883753
209,31,4297.675697
209,36,4285.883753
210,31,4297.675697
210,36,4285.883753
211,31,4297.675697
211,36,4285.883753
212,31,4297.675697
212,36,4285.883753
213,31,4297.675697
213,36,4285.883753
214,31,4297.675697
214,36,4285.883753
215,31,4297.675697
215,36,4285.883753
216,31,4297.675697
216,36,4285.883753
217,31,4297.675697
217,36,4285.883753
218,31,4297.675697
218,36,4285.883753
219,31,4297.675697
219,36,4285.883753
220,31,4297.675697
220,36,4285.883753
221,31,4297.675697
221,36,4285.883753
222,31,4297.675697
222,36,4285.883753
223,31,4297.675697
223,36,4285.883753
224,31,4297.675697
224,36,4285.883753
225,31,4297.675697
