Iteration,NV,TOC
1,34,4429.440830
1,36,4413.763561
1,38,4349.473166
2,33,4431.634164
2,34,4429.440830
2,36,4413.763561
2,38,4349.473166
3,33,4431.634164
3,34,4429.440830
3,36,4413.763561
3,38,4349.473166
4,33,4431.634164
4,34,4429.440830
4,36,4413.763561
4,38,4349.473166
5,31,4682.290501
5,33,4431.634164
5,34,4429.440830
5,36,4413.763561
5,38,4349.473166
6,31,4682.290501
6,33,4431.634164
6,34,4429.440830
6,36,4413.763561
6,38,4349.473166
7,31,4682.290501
7,33,4431.634164
7,34,4429.440830
7,36,4413.763561
7,38,4349.473166
8,31,4682.290501
8,33,4431.634164
8,34,4429.440830
8,36,4413.763561
8,38,4349.473166
9,31,4682.290501
9,33,4431.634164
9,34,4429.440830
9,36,4413.763561
9,38,4349.473166
10,31,4682.290501
10,33,4431.634164
10,34,4429.440830
10,36,4413.763561
10,38,4349.473166
11,31,4682.290501
11,33,4431.634164
11,34,4429.440830
11,36,4413.763561
11,38,4349.473166
12,31,4682.290501
12,33,4431.634164
12,34,4429.440830
12,36,4413.763561
12,38,4349.473166
13,31,4682.290501
13,33,4431.634164
13,34,4429.440830
13,36,4413.763561
13,38,4349.473166
14,31,4682.290501
14,33,4431.634164
14,34,4429.440830
14,36,4413.763561
14,38,4349.473166
15,31,4682.290501
15,33,4431.634164
15,34,4429.440830
15,36,4413.763561
15,38,4349.473166
16,31,4682.290501
16,33,4431.634164
16,34,4429.440830
16,36,4413.763561
16,38,4349.473166
17,31,4682.290501
17,33,4431.634164
17,34,4429.440830
17,36,4413.763561
17,38,4349.473166
18,31,4682.290501
18,33,4431.634164
18,34,4429.440830
18,36,4413.763561
18,38,4349.473166
19,31,4682.290501
19,33,4431.634164
19,34,4429.440830
19,36,4413.763561
19,38,4349.473166
20,31,4682.290501
20,33,4431.634164
20,34,4429.440830
20,36,4413.763561
20,38,4349.473166
21,31,4682.290501
21,33,4431.634164
21,34,4429.440830
21,36,4413.763561
21,38,4349.473166
22,31,4682.290501
22,33,4431.634164
22,34,4429.440830
22,36,4413.763561
22,38,4349.473166
23,31,4682.290501
23,33,4431.634164
23,34,4429.440830
23,36,4413.763561
23,38,4349.473166
24,31,4682.290501
24,33,4431.634164
24,34,4429.440830
24,36,4413.763561
24,38,4349.473166
25,31,4682.290501
25,33,4431.634164
25,34,4429.440830
25,36,4413.763561
25,38,4349.473166
26,31,4682.290501
26,33,4431.634164
26,34,4429.440830
26,36,4413.763561
26,38,4349.473166
27,31,4682.290501
27,33,4431.634164
27,34,4429.440830
27,36,4413.763561
27,38,4349.473166
28,31,4682.290501
28,33,4431.634164
28,34,4429.440830
28,36,4413.763561
28,38,4349.473166
29,31,4682.290501
29,33,4431.634164
29,34,4429.440830
29,36,4413.763561
29,38,4349.473166
30,31,4682.290501
30,33,4431.634164
30,34,4429.440830
30,36,4413.763561
30,38,4349.473166
31,31,4682.290501
31,33,4431.634164
31,34,4429.440830
31,36,4413.763561
31,38,4349.473166
32,31,4682.290501
32,33,4431.634164
32,34,4429.440830
32,36,4413.763561
32,38,4349.473166
33,31,4682.290501
33,33,4431.634164
33,34,4429.440830
33,36,4413.763561
33,38,4349.473166
34,31,4682.290501
34,33,4431.634164
34,34,4429.440830
34,36,4413.763561
34,38,4349.473166
35,31,4682.290501
35,33,4431.634164
35,34,4429.440830
35,36,4413.763561
35,38,4349.473166
36,31,4682.290501
36,33,4431.634164
36,34,4429.440830
36,36,4413.763561
36,38,4349.473166
37,31,4682.290501
37,33,4431.634164
37,34,4429.440830
37,36,4413.763561
37,38,4349.473166
38,31,4682.290501
38,33,4431.634164
38,34,4429.440830
38,36,4413.763561
38,38,4349.473166
39,31,4682.290501
39,33,4431.634164
39,34,4429.440830
39,36,4413.763561
39,38,4349.473166
40,31,4682.290501
40,33,4431.634164
40,34,4429.440830
40,36,4413.763561
40,38,4349.473166
41,31,4682.290501
41,33,4431.634164
41,34,4429.440830
41,36,4413.763561
41,38,4349.473166
42,31,4682.290501
42,33,4431.634164
42,34,4429.440830
42,36,4413.763561
42,38,4349.473166
43,31,4682.290501
43,33,4431.634164
43,34,4429.440830
43,36,4413.763561
43,38,4349.473166
44,31,4682.290501
44,33,4431.634164
44,34,4429.440830
