Iteration,NV,TOC
1,26,5310.722691
2,26,5310.722691
3,26,5310.722691
4,25,5358.134698
4,26,5310.722691
5,25,5358.134698
5,26,5310.722691
6,25,5358.134698
6,26,5310.722691
7,25,5358.134698
7,26,5310.722691
8,25,5358.134698
8,26,5310.722691
9,25,5358.134698
9,26,5310.722691
10,25,5358.134698
10,26,5310.722691
11,25,5300.279842
12,25,5300.279842
13,25,5300.279842
14,25,5300.279842
15,25,5300.279842
16,25,5300.279842
17,25,5300.279842
18,25,5300.279842
19,25,5300.279842
20,25,5300.279842
21,25,5300.279842
22,25,5300.279842
23,25,5300.279842
24,25,5300.279842
25,25,5300.279842
26,25,5300.279842
27,25,5300.279842
28,25,5300.279842
29,25,5300.279842
30,25,5300.279842
31,25,5300.279842
32,25,5300.279842
33,25,5300.279842
34,25,5300.279842
35,25,5300.279842
36,25,5300.279842
37,25,5300.279842
38,25,5300.279842
39,25,5300.279842
40,25,5300.279842
41,25,5300.279842
42,25,5300.279842
43,25,5300.279842
44,25,5300.279842
45,25,5300.279842
46,25,5300.279842
47,25,5300.279842
48,25,5300.279842
49,25,5300.279842
50,25,5300.279842
51,25,5300.279842
52,25,5300.279842
53,25,5300.279842
54,25,5300.279842
55,25,5300.279842
56,25,5300.279842
57,25,5300.279842
58,25,5300.279842
59,25,5300.279842
60,25,5300.279842
61,25,5300.279842
62,25,5300.279842
63,25,5300.279842
64,25,5300.279842
65,25,5300.279842
66,25,5300.279842
67,25,5300.279842
68,25,5300.279842
69,25,5300.279842
70,25,5300.279842
71,25,5300.279842
72,25,5300.279842
73,25,5300.279842
74,25,5300.279842
75,25,5300.279842
76,25,5300.279842
77,25,5300.279842
78,25,5300.279842
79,25,5300.279842
80,25,5300.279842
81,25,5300.279842
82,25,5300.279842
83,25,5300.279842
84,25,5300.279842
85,25,5300.279842
86,25,5300.279842
87,25,5300.279842
88,25,5300.279842
89,25,5300.279842
90,25,5300.279842
91,25,5300.279842
92,25,5300.279842
93,25,5300.279842
94,25,5300.279842
95,25,5300.279842
96,25,5300.279842
97,25,5300.279842
98,25,5300.279842
99,25,5300.279842
100,25,5300.279842
101,25,5300.279842
102,25,5300.279842
103,25,5300.279842
104,25,5300.279842
105,25,5300.279842
106,25,5300.279842
107,25,5300.279842
108,25,5300.279842
109,25,5300.279842
110,25,5300.279842
111,25,5300.279842
112,25,5300.279842
113,25,5300.279842
114,25,5300.279842
115,25,5300.279842
116,25,5300.279842
117,25,5300.279842
118,25,5300.279842
119,25,5300.279842
120,25,5300.279842
121,25,5300.279842
122,25,5300.279842
123,25,5300.279842
124,25,5300.279842
125,25,5300.279842
126,25,5300.279842
127,25,5300.279842
128,25,5300.279842
129,25,5300.279842
130,25,5300.279842
131,25,5300.279842
132,25,5300.279842
133,25,5300.279842
134,25,5300.279842
135,25,5300.279842
136,25,5300.279842
137,25,5300.279842
138,25,5300.279842
139,25,5300.279842
140,25,5300.279842
141,25,5300.279842
142,25,5300.279842
143,25,5300.279842
144,25,5300.279842
145,25,5300.279842
146,25,5300.279842
147,25,5300.279842
148,25,5300.279842
149,25,5300.279842
150,25,5300.279842
151,25,5300.279842
152,25,5300.279842
153,25,5300.279842
154,25,5300.279842
155,25,5300.279842
156,25,5300.279842
157,25,5300.279842
158,25,5300.279842
159,25,5300.279842
160,25,5300.279842
161,25,5300.279842
162,25,5300.279842
163,25,5300.279842
164,25,5300.279842
165,25,5300.279842
166,25,5300.279842
167,25,5300.279842
168,25,5300.279842
169,25,5300.279842
170,25,5300.279842
171,25,5300.279842
172,25,5300.279842
173,25,5300.279842
174,25,5300.279842
175,25,5300.279842
176,25,5300.279842
177,25,5300.279842
178,25,5300.279842
179,25,5300.279842
180,25,5300.279842
181,25,5300.279842
182,25,5300.279842
183,25,5300.279842
184,25,5300.279842
185,25,5300.279842
186,25,5300.279842
187,25,5300.279842
188,25,5300.279842
189,25,5300.279842
190,25,5300.279842
191,25,5300.279842
192,25,5300.279842
193,25,5300.279842
194,25,5300.279842
195,25,5300.279842
196,25,5300.279842
197,25,5300.279842
198,25,5300.279842
199,25,5300.279842
200,25,5300.279842
201,25,5300.279842
202,25,5300.279842
203,25,5300.279842
204,25,5300.279842
205,25,5300.279842
206,25,5300.279842
207,25,5300.279842
208,25,5300.279842
209,25,5300.279842
210,25,5300.279842
210,29,5256.816817
211,25,5300.279842
211,29,5256.816817
212,25,5300.279842
212,29,5256.816817
213,25,5300.279842
213,29,5256.816817
214,25,5300.279842
214,29,5256.816817
215,25,5300.279842
215,29,5256.816817
216,25,5300.279842
216,29,5256.816817
217,25,5300.279842
217,29,5256.816817
218,25,5300.279842
218,29,5256.816817
219,25,5300.279842
219,29,5256.816817
220,25,5300.279842
220,29,5256.816817
221,25,5300.279842
221,29,5256.816817
222,25,5300.279842
222,29,5256.816817
223,25,5300.279842
223,29,5256.816817
224,25,5300.279842
224,29,5256.816817
225,25,5300.279842
225,29,5256.816817
226,25,5300.279842
226,29,5256.816817
227,25,5300.279842
227,29,5256.816817
228,25,5300.279842
228,29,5256.816817
229,25,5300.279842
229,29,5256.816817
230,25,5300.279842
230,29,5256.816817
231,25,5300.279842
231,29,5256.816817
232,25,5300.279842
232,29,5256.816817
233,25,5300.279842
233,29,5256.816817
234,25,5300.279842
234,29,5256.816817
235,25,5300.279842
235,29,5256.816817
236,25,5300.279842
236,29,5256.816817
237,25,5300.279842
237,29,5256.816817
238,25,5300.279842
238,29,5256.816817
239,25,5300.279842
239,29,5256.816817
240,25,5300.279842
240,29,5256.816817
241,25,5300.279842
241,29,5256.816817
242,25,5300.279842
242,29,5256.816817
243,25,5300.279842
243,29,5256.816817
244,25,5300.279842
244,29,5256.816817
245,25,5300.279842
245,29,5256.816817
246,25,5300.279842
246,29,5256.816817
247,25,5300.279842
247,29,5256.816817
248,25,5300.279842
248,29,5256.816817
249,25,5300.279842
249,29,5256.816817
250,25,5300.279842
250,29,5256.816817
251,25,5300.279842
251,29,5256.816817
252,25,5300.279842
252,29,5256.816817
253,25,5300.279842
253,29,5256.816817
254,25,5300.279842
254,29,5256.816817
255,25,5300.279842
255,29,5256.816817
256,25,5300.279842
256,29,5256.816817
257,25,5300.279842
257,29,5256.816817
258,25,5300.279842
258,29,5256.816817
259,25,5300.279842
259,29,5256.816817
260,25,5300.279842
260,29,5256.816817
261,25,5300.279842
261,29,5256.816817
262,25,5300.279842
262,29,5256.816817
263,25,5300.279842
263,29,5256.816817
264,25,5300.279842
264,29,5256.816817
265,25,5300.279842
265,29,5256.816817
266,25,5300.279842
266,29,5256.816817
267,25,5300.279842
267,29,5256.816817
268,25,5300.279842
268,29,5256.816817
269,25,5300.279842
269,29,5256.816817
270,25,5300.279842
270,29,5256.816817
271,25,5300.279842
271,29,5256.816817
272,25,5300.279842
272,29,5256.816817
273,25,5300.279842
273,29,5256.816817
274,25,5300.279842
274,29,5256.816817
275,25,5300.279842
275,29,5256.816817
276,25,5300.279842
276,29,5256.816817
277,25,5300.279842
277,29,5256.816817
278,25,5300.279842
278,29,5256.816817
279,25,5300.279842
279,29,5256.816817
280,25,5300.279842
280,29,5256.816817
281,25,5300.279842
281,29,5256.816817
282,25,5300.279842
282,29,5256.816817
283,25,5300.279842
283,29,5256.816817
284,25,5300.279842
284,29,5256.816817
285,25,5300.279842
285,29,5256.816817
286,25,5300.279842
286,29,5256.816817
287,25,5300.279842
287,29,5256.816817
288,25,5300.279842
288,29,5256.816817
289,25,5300.279842
289,29,5256.816817
290,25,5300.279842
290,29,5256.816817
291,25,5300.279842
291,29,5256.816817
292,25,5300.279842
292,29,5256.816817
293,25,5300.279842
293,29,5256.816817
294,25,5300.279842
294,29,5256.816817
295,25,5300.279842
295,29,5256.816817
296,25,5300.279842
296,29,5256.816817
297,25,5300.279842
297,29,5256.816817
298,25,5300.279842
298,29,5256.816817
299,25,5300.279842
299,29,5256.816817
300,25,5300.279842
300,29,5256.816817
301,25,5300.279842
301,29,5256.816817
302,25,5300.279842
302,29,5256.816817
303,25,5300.279842
303,29,5256.816817
304,25,5300.279842
304,29,5256.816817
305,25,5300.279842
305,29,5256.816817
306,25,5300.279842
306,29,5256.816817
307,25,5300.279842
307,29,5256.816817
308,25,5300.279842
308,29,5256.816817
309,25,5300.279842
309,29,5256.816817
310,25,5300.279842
310,29,5256.816817
311,25,5300.279842
311,29,5256.816817
312,25,5300.279842
312,29,5256.816817
313,25,5300.279842
313,29,5256.816817
314,25,5300.279842
314,29,5256.816817
315,25,5300.279842
315,29,5256.816817
316,25,5300.279842
316,29,5256.816817
317,25,5300.279842
317,29,5256.816817
318,25,5300.279842
318,29,5256.816817
319,25,5300.279842
319,29,5256.816817
319,34,5256.062603
320,25,5300.279842
320,29,5256.816817
320,34,5256.062603
321,25,5300.279842
321,29,5256.816817
321,34,5256.062603
322,25,5300.279842
322,29,5256.816817
322,34,5256.062603
323,25,5277.875269
323,29,5256.816817
323,34,5256.062603
324,25,5275.926714
324,29,5256.816817
324,34,5256.062603
325,25,5275.926714
325,29,5256.816817
325,34,5256.062603
326,25,5275.926714
326,29,5256.816817
326,34,5256.062603
327,25,5275.926714
327,29,5256.816817
327,34,5256.062603
328,25,5275.926714
328,29,5256.816817
328,34,5256.062603
329,25,5275.926714
329,29,5256.816817
329,34,5256.062603
330,25,5275.926714
330,29,5256.816817
330,34,5256.062603
331,25,5275.926714
331,29,5256.816817
331,34,5256.062603
332,25,5275.926714
332,29,5256.816817
332,34,5256.062603
333,25,5275.926714
333,29,5256.816817
333,34,5256.062603
334,25,5275.926714
334,29,5256.816817
334,34,5256.062603
335,25,5275.926714
335,29,5256.816817
335,34,5256.062603
336,25,5275.926714
336,29,5256.816817
336,34,5256.062603
337,25,5275.926714
337,29,5256.816817
337,34,5256.062603
338,25,5275.926714
338,29,5256.816817
338,34,5256.062603
339,25,5275.926714
339,29,5256.816817
339,34,5256.062603
340,25,5275.926714
340,29,5256.816817
340,31,5173.714149
341,25,5275.926714
341,29,5256.816817
341,31,5173.714149
342,25,5275.926714
342,29,5256.816817
342,31,5173.714149
343,25,5275.926714
343,29,5256.816817
343,31,5173.714149
344,25,5275.926714
344,29,5256.816817
344,31,5173.714149
345,25,5275.926714
345,29,5256.816817
345,31,5173.714149
346,25,5275.926714
346,29,5256.816817
346,31,5173.714149
347,25,5275.926714
347,29,5256.816817
347,31,5173.714149
348,25,5275.926714
348,29,5256.816817
348,31,5173.714149
349,25,5275.926714
349,29,5256.816817
349,31,5173.714149
350,25,5275.926714
350,29,5256.816817
350,31,5173.714149
351,25,5275.926714
351,29,5256.816817
351,31,5173.714149
352,25,5275.926714
352,29,5256.816817
352,31,5173.714149
353,25,5275.926714
353,29,5256.816817
353,31,5173.714149
354,25,5275.926714
354,29,5256.816817
354,31,5173.714149
355,25,5275.926714
355,29,5256.816817
355,31,5173.714149
356,25,5275.926714
356,29,5256.816817
356,31,5173.714149
357,25,5275.926714
357,29,5256.816817
357,31,5173.714149
358,25,5275.926714
358,29,5256.816817
358,31,5173.714149
359,25,5275.926714
359,29,5256.816817
359,31,5173.714149
360,25,5275.926714
360,29,5256.816817
360,31,5173.714149
361,25,5275.926714
361,29,5256.816817
361,31,5173.714149
362,25,5275.926714
362,29,5256.816817
362,31,5173.714149
363,25,5275.926714
363,29,5256.816817
363,31,5173.714149
364,25,5275.926714
364,29,5256.816817
364,31,5173.714149
365,25,5275.926714
365,29,5256.816817
365,31,5173.714149
366,25,5275.926714
366,29,5256.816817
366,31,5173.714149
367,25,5275.926714
367,29,5256.816817
367,31,5173.714149
368,25,5275.926714
368,29,5256.816817
368,31,5173.714149
369,25,5275.926714
369,29,5256.816817
369,31,5173.714149
370,25,5275.926714
370,29,5256.816817
370,31,5173.714149
371,25,5275.926714
371,29,5256.816817
371,31,5173.714149
372,25,5275.926714
372,29,5256.816817
372,31,5173.714149
373,25,5275.926714
373,29,5256.816817
373,31,5173.714149
374,25,5275.926714
374,29,5256.816817
374,31,5173.714149
375,25,5275.926714
375,29,5256.816817
375,31,5173.714149
376,25,5275.926714
376,29,5256.816817
376,31,5173.714149
377,25,5275.926714
377,29,5256.816817
377,31,5173.714149
378,25,5275.926714
378,29,5256.816817
378,31,5173.714149
379,25,5275.926714
379,29,5256.816817
379,31,5173.714149
380,25,5275.926714
380,29,5256.816817
380,31,5173.714149
381,25,5275.926714
381,29,5256.816817
381,31,5173.714149
382,25,5275.926714
382,29,5256.816817
382,31,5173.714149
383,25,5275.926714
383,29,5256.816817
383,31,5173.714149
384,25,5275.926714
384,29,5256.816817
384,31,5173.714149
385,25,5275.926714
385,29,5256.816817
385,31,5173.714149
386,25,5275.926714
386,29,5256.816817
386,31,5173.714149
387,25,5275.926714
387,29,5256.816817
387,31,5173.714149
388,25,5275.926714
388,29,5256.816817
388,31,5173.714149
