Iteration,NV,TOC
1,35,5478.357234
1,36,5440.637509
1,40,5415.329055
1,42,5367.410307
1,45,5323.575021
1,47,5307.869337
1,53,5271.603559
1,58,5248.162059
2,35,5478.357234
2,36,5440.637509
2,40,5415.329055
2,42,5367.410307
2,45,5323.575021
2,47,5307.869337
2,53,5271.409396
2,58,5248.162059
3,35,5478.357234
3,36,5440.637509
3,40,5415.329055
3,42,5367.410307
3,45,5323.575021
3,47,5307.869337
3,53,5271.409396
3,58,5248.162059
4,35,5478.357234
4,36,5440.637509
4,40,5415.329055
4,42,5367.410307
4,45,5323.575021
4,47,5307.869337
4,53,5271.409396
4,58,5248.162059
5,35,5478.357234
5,36,5440.637509
5,40,5415.329055
5,42,5367.410307
5,45,5323.575021
5,47,5307.869337
5,53,5271.409396
5,58,5248.162059
6,35,5478.357234
6,36,5440.637509
6,40,5415.329055
6,42,5367.410307
6,45,5323.575021
6,47,5307.869337
6,53,5271.409396
6,58,5248.162059
7,35,5478.357234
7,36,5440.637509
7,40,5415.329055
7,42,5367.410307
7,45,5323.575021
7,47,5307.869337
7,53,5271.409396
7,58,5248.162059
8,35,5478.357234
8,36,5440.637509
8,40,5415.329055
8,42,5367.410307
8,45,5323.575021
8,47,5307.869337
8,53,5271.409396
8,58,5248.162059
9,35,5478.357234
9,36,5440.637509
9,40,5415.329055
9,42,5367.410307
9,45,5323.575021
9,47,5307.869337
9,53,5271.409396
9,58,5248.162059
10,35,5478.357234
10,36,5440.637509
10,40,5415.329055
10,42,5367.410307
10,45,5323.575021
10,47,5307.869337
10,53,5271.409396
10,58,5248.162059
11,35,5478.357234
11,36,5440.637509
11,40,5415.329055
11,42,5367.410307
11,45,5323.575021
11,47,5307.869337
11,53,5271.409396
11,58,5248.162059
12,35,5478.357234
12,36,5440.637509
12,40,5415.329055
12,42,5367.410307
12,45,5323.575021
12,47,5307.869337
12,53,5271.409396
12,58,5248.162059
13,35,5478.357234
13,36,5440.637509
13,40,5415.329055
13,42,5367.410307
13,45,5323.575021
13,47,5307.869337
13,53,5271.409396
13,58,5248.162059
14,35,5478.357234
14,36,5440.637509
14,40,5415.329055
14,42,5367.410307
14,45,5323.575021
14,47,5307.869337
14,53,5271.409396
14,58,5248.162059
15,35,5478.357234
15,36,5440.637509
15,40,5415.329055
15,42,5367.410307
15,45,5323.575021
15,47,5307.869337
15,53,5271.409396
15,58,5248.162059
16,35,5478.357234
16,36,5440.637509
16,40,5415.329055
16,42,5367.410307
16,45,5323.575021
16,47,5307.869337
16,53,5271.409396
16,58,5248.162059
17,35,5478.357234
17,36,5440.637509
17,40,5415.329055
17,42,5367.410307
17,45,5323.575021
17,47,5307.869337
17,53,5271.409396
17,58,5248.162059
18,35,5478.357234
18,36,5440.637509
18,40,5415.329055
18,42,5367.410307
18,45,5323.575021
18,47,5307.869337
18,53,5271.409396
18,58,5248.162059
19,35,5478.357234
19,36,5440.637509
19,40,5415.329055
19,42,5367.410307
19,45,5323.575021
19,47,5307.869337
19,53,5271.409396
19,58,5248.162059
20,35,5478.357234
20,36,5440.637509
20,40,5415.329055
20,42,5367.410307
20,45,5323.575021
20,47,5307.869337
20,53,5271.409396
20,58,5248.162059
21,35,5478.357234
21,36,5440.637509
21,40,5415.329055
21,42,5367.410307
21,45,5323.575021
21,47,5307.869337
21,53,5271.409396
21,58,5248.162059
22,35,5478.357234
22,36,5440.637509
22,40,5415.329055
22,42,5367.410307
22,45,5323.575021
22,47,5307.869337
22,53,5271.409396
22,58,5248.162059
23,35,5478.357234
23,36,5440.637509
23,40,5415.329055
23,42,5367.410307
23,45,5323.575021
23,47,5307.869337
23,53,5271.409396
23,58,5248.162059
24,35,5478.357234
24,36,5440.637509
24,40,5415.329055
24,42,5367.410307
24,45,5323.575021
24,47,5307.869337
24,53,5271.409396
24,58,5248.162059
25,35,5478.357234
25,36,5440.637509
25,40,5415.329055
25,42,5367.410307
25,45,5323.575021
25,47,5307.869337
25,53,5271.409396
25,58,5248.162059
26,35,5478.357234
26,36,5440.637509
26,40,5415.329055
26,42,5367.410307
26,45,5323.575021
26,47,5307.869337
26,53,5271.409396
26,58,5248.162059
27,35,5478.357234
27,36,5440.637509
27,40,5415.329055
27,42,5367.410307
27,45,5323.575021
27,47,5307.869337
27,53,5271.409396
27,58,5248.162059
28,35,5478.357234
28,36,5440.637509
28,40,5415.329055
28,42,5367.410307
28,45,5323.575021
28,47,5307.869337
28,53,5271.409396
28,58,5248.162059
29,35,5478.357234
29,36,5440.637509
29,40,5415.329055
29,42,5367.410307
29,45,5323.575021
29,47,5307.869337
29,53,5271.409396
29,58,5248.162059
30,35,5478.357234
30,36,5440.637509
30,40,5415.329055
30,42,5367.410307
30,45,5323.575021
30,47,5307.869337
30,53,5271.409396
30,58,5248.162059
31,35,5478.357234
31,36,5440.637509
31,40,5415.329055
31,42,5367.410307
31,45,5323.575021
31,47,5307.869337
31,53,5271.409396
31,58,5248.162059
32,35,5478.357234
32,36,5440.637509
32,40,5415.329055
32,42,5367.410307
32,45,5323.575021
32,47,5307.869337
32,53,5271.409396
32,58,5248.162059
33,35,5478.357234
33,36,5440.637509
33,40,5415.329055
33,42,5367.410307
33,45,5323.575021
33,47,5307.869337
33,53,5271.409396
33,58,5248.162059
34,35,5478.357234
34,36,5440.637509
34,40,5415.329055
34,42,5367.410307
34,45,5323.575021
34,47,5307.869337
34,53,5271.409396
34,58,5248.162059
35,35,5478.357234
35,36,5440.637509
35,40,5415.329055
35,42,5367.410307
35,45,5323.575021
35,47,5307.869337
35,53,5271.409396
35,58,5248.162059
36,35,5478.357234
36,36,5440.637509
36,40,5415.329055
36,42,5367.410307
36,45,5323.575021
36,47,5307.869337
36,53,5271.409396
36,58,5248.162059
37,35,5478.357234
37,36,5440.637509
37,40,5415.329055
37,42,5367.410307
37,45,5323.575021
37,47,5307.869337
37,53,5271.409396
37,58,5248.162059
38,35,5478.357234
38,36,5440.637509
38,40,5415.329055
38,42,5367.410307
38,45,5323.575021
38,47,5307.869337
38,53,5271.409396
38,58,5248.162059
39,35,5478.357234
39,36,5440.637509
39,40,5415.329055
39,42,5367.410307
39,45,5323.575021
39,47,5307.869337
39,53,5271.409396
39,58,5248.162059
40,35,5478.357234
40,36,5440.637509
40,40,5415.329055
40,42,5367.410307
40,45,5323.575021
40,47,5307.869337
40,53,5271.409396
40,58,5248.162059
41,35,5478.357234
41,36,5440.637509
41,40,5415.329055
41,42,5367.410307
41,45,5323.575021
41,47,5307.869337
41,53,5271.409396
41,58,5248.162059
42,35,5478.357234
42,36,5440.637509
42,40,5415.329055
42,42,5367.410307
42,45,5323.575021
42,47,5307.869337
42,53,5271.409396
42,58,5248.162059
43,35,5478.357234
43,36,5440.637509
43,40,5415.329055
43,42,5367.410307
43,45,5323.575021
43,47,5307.869337
43,53,5271.409396
43,58,5248.162059
44,35,5478.357234
44,36,5440.637509
44,40,5415.329055
44,42,5367.410307
44,45,5323.575021
44,47,5307.869337
44,53,5271.409396
44,58,5248.162059
45,35,5478.357234
45,36,5440.637509
45,40,5415.329055
45,42,5367.410307
45,45,5323.575021
45,47,5307.869337
45,53,5271.409396
45,58,5248.162059
46,35,5478.357234
46,36,5440.637509
46,40,5415.329055
46,42,5367.410307
46,45,5323.575021
