Iteration,NV,TOC
1,10,2248.635870
1,11,2242.017183
1,14,2143.882667
2,10,2248.635870
2,11,2242.017183
2,14,2143.882667
3,10,2248.635870
3,11,2242.017183
3,14,2143.882667
4,10,2248.635870
4,11,2242.017183
4,14,2143.882667
5,10,2248.635870
5,11,2242.017183
5,14,2143.882667
6,10,2248.635870
6,11,2242.017183
6,14,2143.882667
7,10,2248.635870
7,11,2242.017183
7,14,2143.882667
8,10,2248.635870
8,11,2242.017183
8,14,2143.882667
9,10,2248.635870
9,11,2242.017183
9,14,2143.882667
10,10,2248.635870
10,11,2242.017183
10,14,2143.882667
11,10,2248.635870
11,11,2242.017183
11,14,2143.882667
12,10,2248.635870
12,11,2242.017183
12,14,2143.882667
13,10,2248.635870
13,11,2242.017183
13,14,2143.882667
14,10,2248.635870
14,11,2242.017183
14,14,2143.882667
15,10,2248.635870
15,11,2242.017183
15,14,2143.882667
16,10,2248.635870
16,11,2242.017183
16,14,2143.882667
17,10,2248.635870
17,11,2242.017183
17,14,2143.882667
18,10,2248.635870
18,11,2242.017183
18,14,2143.882667
19,10,2248.635870
19,11,2242.017183
19,14,2143.882667
20,10,2248.635870
20,11,2242.017183
20,14,2143.882667
21,10,2248.635870
21,11,2242.017183
21,14,2143.882667
22,10,2248.635870
22,11,2242.017183
22,14,2143.882667
23,10,2248.635870
23,11,2242.017183
23,14,2143.882667
24,10,2248.635870
24,11,2242.017183
24,14,2143.882667
25,10,2248.635870
25,11,2242.017183
25,14,2143.882667
26,10,2248.635870
26,11,2242.017183
26,14,2143.882667
27,10,2248.635870
27,11,2242.017183
27,14,2143.882667
28,10,2248.635870
28,11,2242.017183
28,14,2143.882667
29,10,2248.635870
29,11,2242.017183
29,14,2143.882667
30,10,2248.635870
30,11,2242.017183
30,14,2143.882667
31,10,2248.635870
31,11,2242.017183
31,14,2143.882667
32,10,2248.635870
32,11,2242.017183
32,14,2143.882667
33,10,2248.635870
33,11,2242.017183
33,14,2143.882667
34,10,2248.635870
34,11,2242.017183
34,14,2143.882667
35,10,2248.635870
35,11,2242.017183
35,14,2143.882667
36,10,2248.635870
36,11,2242.017183
36,14,2143.882667
37,10,2248.635870
37,11,2242.017183
37,14,2143.882667
38,10,2248.635870
38,11,2242.017183
38,14,2143.882667
39,10,2248.635870
39,11,2242.017183
39,14,2143.882667
40,10,2248.635870
40,11,2242.017183
40,14,2143.882667
41,10,2248.635870
41,11,2242.017183
41,14,2143.882667
42,10,2248.635870
42,11,2242.017183
42,14,2143.882667
43,10,2248.635870
43,11,2242.017183
43,14,2143.882667
44,10,2248.635870
44,11,2242.017183
44,14,2143.882667
45,10,2248.635870
45,11,2242.017183
45,14,2143.882667
46,10,2248.635870
46,11,2242.017183
46,14,2143.882667
47,10,2248.635870
47,11,2242.017183
47,14,2143.882667
48,10,2248.635870
48,11,2242.017183
48,14,2143.882667
49,10,2248.635870
49,11,2242.017183
49,14,2143.882667
50,10,2248.635870
50,11,2242.017183
50,14,2143.882667
51,10,2248.635870
51,11,2242.017183
51,14,2143.882667
52,10,2248.635870
52,11,2242.017183
52,14,2143.882667
53,10,2248.635870
53,11,2242.017183
53,14,2143.882667
54,10,2248.635870
54,11,2242.017183
54,14,2143.882667
55,10,2248.635870
55,11,2242.017183
55,14,2143.882667
56,10,2248.635870
56,11,2242.017183
56,14,2143.882667
57,10,2248.635870
57,11,2242.017183
57,14,2143.882667
58,10,2248.635870
58,11,2242.017183
58,14,2143.882667
59,10,2248.635870
59,11,2242.017183
59,14,2143.882667
60,10,2248.635870
60,11,2242.017183
60,14,2143.882667
61,10,2248.635870
61,11,2242.017183
61,14,2143.882667
62,10,2248.635870
62,11,2242.017183
62,14,2143.882667
63,10,2248.635870
63,11,2242.017183
63,14,2143.882667
64,10,2248.635870
64,11,2242.017183
64,14,2143.882667
65,10,2248.635870
65,11,2242.017183
65,14,2143.882667
66,10,2248.635870
66,11,2242.017183
66,14,2143.882667
67,10,2248.635870
67,11,2242.017183
67,14,2143.882667
68,10,2248.635870
68,11,2242.017183
68,14,2143.882667
69,10,2248.635870
69,11,2242.017183
69,14,2143.882667
70,10,2248.635870
70,11,2242.017183
70,14,2143.882667
71,10,2248.635870
71,11,2242.017183
71,14,2143.882667
72,10,2248.635870
72,11,2242.017183
72,14,2143.882667
73,10,2248.635870
73,11,2242.017183
73,14,2143.882667
74,10,2248.635870
74,11,2242.017183
74,14,2143.882667
75,10,2248.635870
75,11,2242.017183
75,14,2143.882667
76,10,2248.635870
76,11,2242.017183
76,14,2143.882667
77,10,2248.635870
77,11,2242.017183
77,14,2143.882667
78,10,2248.635870
78,11,2242.017183
78,14,2143.882667
79,10,2248.635870
79,11,2242.017183
79,14,2143.882667
80,10,2248.635870
80,11,2242.017183
80,14,2143.882667
81,10,2248.635870
81,11,2242.017183
81,14,2143.882667
82,10,2248.635870
82,11,2242.017183
82,14,2143.882667
83,10,2248.635870
83,11,2242.017183
83,14,2143.882667
84,10,2248.635870
84,11,2242.017183
84,14,2143.882667
85,10,2248.635870
85,11,2242.017183
85,14,2143.882667
86,10,2248.635870
86,11,2242.017183
86,14,2143.882667
