Iteration,NV,TOC
1,17,2872.249268
2,17,2872.249268
3,17,2872.249268
4,16,2917.547410
4,17,2872.249268
5,16,2917.547410
5,17,2872.249268
6,16,2917.547410
6,17,2872.249268
7,16,2917.547410
7,17,2872.249268
8,16,2917.547410
8,17,2872.249268
9,16,2917.547410
9,17,2872.249268
10,16,2917.547410
10,17,2872.249268
11,16,2917.547410
11,17,2872.249268
12,16,2917.547410
12,17,2872.249268
13,16,2917.547410
13,17,2872.249268
14,16,2917.547410
14,17,2872.249268
15,16,2917.547410
15,17,2872.249268
16,16,2917.547410
16,17,2872.249268
17,16,2917.547410
17,17,2872.249268
18,16,2917.547410
18,17,2872.249268
19,16,2917.547410
19,17,2872.249268
20,16,2917.547410
20,17,2872.249268
21,16,2917.547410
21,17,2872.249268
22,16,2917.547410
22,17,2872.249268
23,16,2917.547410
23,17,2872.249268
24,16,2917.547410
24,17,2872.249268
25,16,2917.547410
25,17,2872.249268
26,16,2917.547410
26,17,2872.249268
27,16,2917.547410
27,17,2872.249268
28,16,2917.547410
28,17,2872.249268
29,16,2917.547410
29,17,2872.249268
30,16,2917.547410
30,17,2872.249268
31,16,2917.547410
31,17,2872.249268
32,16,2917.547410
32,17,2872.249268
33,16,2917.547410
33,17,2872.249268
34,16,2917.547410
34,17,2872.249268
35,16,2917.547410
35,17,2872.249268
36,16,2917.547410
36,17,2872.249268
37,16,2917.547410
37,17,2872.249268
38,16,2917.547410
38,17,2872.249268
39,16,2917.547410
39,17,2872.249268
40,16,2917.547410
40,17,2872.249268
41,16,2917.547410
41,17,2872.249268
42,16,2917.547410
42,17,2872.249268
43,16,2917.547410
43,17,2872.249268
44,16,2917.547410
44,17,2872.249268
45,16,2917.547410
45,17,2872.249268
46,16,2917.547410
46,17,2872.249268
47,16,2917.547410
47,17,2872.249268
48,16,2917.547410
48,17,2872.249268
49,16,2917.547410
49,17,2872.249268
50,16,2917.547410
50,17,2872.249268
51,16,2917.547410
51,17,2872.249268
52,16,2917.547410
52,17,2872.249268
53,16,2917.547410
53,17,2872.249268
54,16,2917.547410
54,17,2872.249268
55,16,2917.547410
55,17,2872.249268
56,16,2917.547410
56,17,2872.249268
57,16,2917.547410
57,17,2872.249268
58,16,2917.547410
58,17,2872.249268
59,16,2917.547410
59,17,2872.249268
60,16,2917.547410
60,17,2872.249268
61,16,2917.547410
61,17,2872.249268
62,16,2917.547410
62,17,2872.249268
63,16,2917.547410
63,17,2872.249268
64,16,2917.547410
64,17,2872.249268
65,16,2917.547410
65,17,2872.249268
66,16,2917.547410
66,17,2872.249268
67,16,2917.547410
67,17,2872.249268
68,16,2917.547410
68,17,2872.249268
69,16,2917.547410
69,17,2872.249268
70,16,2917.547410
70,17,2872.249268
71,16,2917.547410
71,17,2872.249268
72,16,2917.547410
72,17,2872.249268
73,16,2917.547410
73,17,2872.249268
74,16,2917.547410
74,17,2872.249268
75,16,2917.547410
75,17,2872.249268
