Iteration,NV,TOC
1,20,2067.966211
1,21,2056.343281
2,20,2067.966211
2,21,2056.343281
3,20,2067.966211
3,21,2056.343281
4,20,2067.966211
4,21,2056.343281
5,20,2067.966211
5,21,2056.343281
6,20,2067.966211
6,21,2056.343281
7,20,2067.966211
7,21,2056.343281
8,20,2067.966211
8,21,2056.343281
9,20,2067.966211
9,21,2056.343281
10,20,2067.966211
10,21,2056.343281
11,20,2067.966211
11,21,2056.343281
12,20,2067.966211
12,21,2056.343281
13,20,2067.966211
13,21,2056.343281
14,20,2067.966211
14,21,2056.343281
15,20,2067.966211
15,21,2056.343281
16,20,2067.966211
16,21,2056.343281
17,20,2067.966211
17,21,2056.343281
18,20,2067.966211
18,21,2056.343281
19,20,2067.966211
19,21,2056.343281
20,20,2067.966211
20,21,2056.343281
21,20,2067.966211
21,21,2056.343281
22,20,2067.966211
22,21,2056.343281
23,20,2067.966211
23,21,2056.343281
24,20,2067.966211
24,21,2056.343281
25,20,2067.966211
25,21,2056.343281
26,20,2067.966211
26,21,2056.343281
27,20,2067.966211
27,21,2056.343281
28,20,2067.966211
28,21,2056.343281
29,20,2067.966211
29,21,2056.343281
30,20,2067.966211
30,21,2056.343281
31,20,2067.966211
31,21,2056.343281
32,20,2067.966211
32,21,2056.343281
33,20,2067.966211
33,21,2056.343281
34,20,2067.966211
34,21,2056.343281
35,20,2067.966211
35,21,2056.343281
36,20,2067.966211
36,21,2056.343281
37,20,2067.966211
37,21,2056.343281
38,20,2067.966211
38,21,2056.343281
39,20,2067.966211
39,21,2056.343281
40,20,2067.966211
40,21,2056.343281
41,20,2067.966211
41,21,2056.343281
42,20,2067.966211
42,21,2056.343281
43,20,2067.966211
43,21,2056.343281
44,20,2067.966211
44,21,2056.343281
45,20,2067.966211
45,21,2056.343281
46,20,2067.966211
46,21,2056.343281
47,20,2067.966211
47,21,2056.343281
48,20,2067.966211
48,21,2056.343281
49,20,2067.966211
49,21,2056.343281
50,20,2067.966211
50,21,2056.343281
51,20,2067.966211
51,21,2056.343281
52,20,2067.966211
52,21,2056.343281
53,20,2067.966211
53,21,2056.343281
54,20,2067.966211
54,21,2056.343281
55,20,2067.966211
55,21,2056.343281
56,20,2067.966211
56,21,2056.343281
57,20,2067.966211
57,21,2056.343281
58,20,2067.966211
58,21,2056.343281
59,20,2067.966211
59,21,2056.343281
60,20,2067.966211
60,21,2056.343281
61,20,2067.966211
61,21,2056.343281
62,20,2067.966211
62,21,2056.343281
63,20,2067.966211
63,21,2056.343281
64,20,2067.966211
64,21,2056.343281
65,20,2067.966211
65,21,2056.343281
66,20,2067.966211
66,21,2056.343281
67,20,2067.966211
67,21,2056.343281
68,20,2067.966211
68,21,2056.343281
69,20,2067.966211
69,21,2056.343281
70,20,2067.966211
70,21,2056.343281
71,20,2067.966211
71,21,2056.343281
72,20,2067.966211
72,21,2056.343281
73,20,2067.966211
73,21,2056.343281
74,20,2067.966211
74,21,2056.343281
75,20,2067.966211
75,21,2056.343281
76,20,2067.966211
76,21,2056.343281
77,20,2067.966211
77,21,2056.343281
78,20,2067.966211
78,21,2056.343281
79,20,2067.966211
79,21,2056.343281
80,20,2067.966211
80,21,2056.343281
81,20,2067.966211
81,21,2056.343281
82,20,2067.966211
82,21,2056.343281
83,20,2067.966211
83,21,2056.343281
84,20,2067.966211
84,21,2056.343281
85,20,2067.966211
85,21,2056.343281
86,20,2067.966211
86,21,2056.343281
87,20,2067.966211
87,21,2056.343281
88,20,2067.966211
88,21,2056.343281
89,20,2067.966211
89,21,2056.343281
90,20,2067.966211
90,21,2056.343281
91,20,2067.966211
91,21,2056.343281
92,20,2067.966211
92,21,2056.343281
93,20,2067.966211
93,21,2056.343281
94,20,2067.966211
94,21,2056.343281
95,20,2067.966211
95,21,2056.343281
96,20,2067.966211
96,21,2056.343281
97,20,2067.966211
97,21,2056.343281
98,20,2067.966211
98,21,2056.343281
99,20,2067.966211
99,21,2056.343281
100,20,2067.966211
100,21,2056.343281
101,20,2067.966211
101,21,2056.343281
102,20,2067.966211
102,21,2056.343281
103,20,2067.966211
103,21,2056.343281
104,20,2067.966211
104,21,2056.343281
105,20,2067.966211
105,21,2056.343281
106,20,2067.966211
106,21,2056.343281
107,20,2067.966211
107,21,2056.343281
108,20,2067.966211
108,21,2056.343281
109,20,2067.966211
109,21,2056.343281
110,20,2067.966211
110,21,2056.343281
111,20,2067.966211
111,21,2056.343281
112,20,2067.966211
112,21,2056.343281
113,20,2067.966211
113,21,2056.343281
114,20,2067.966211
114,21,2056.343281
115,20,2067.966211
115,21,2056.343281
116,20,2067.966211
116,21,2056.343281
117,20,2067.966211
117,21,2056.343281
118,20,2067.966211
118,21,2056.343281
119,20,2067.966211
119,21,2056.343281
120,20,2067.966211
120,21,2056.343281
121,20,2067.966211
121,21,2056.343281
122,20,2067.966211
122,21,2056.343281
123,20,2067.966211
123,21,2056.343281
124,20,2067.966211
124,21,2056.343281
125,20,2067.966211
125,21,2056.343281
126,20,2067.966211
126,21,2056.343281
127,20,2067.966211
127,21,2056.343281
128,20,2067.966211
128,21,2056.343281
129,20,2067.966211
129,21,2056.343281
130,20,2067.966211
130,21,2056.343281
131,20,2067.966211
131,21,2056.343281
132,20,2067.966211
132,21,2056.343281
133,20,2067.966211
133,21,2056.343281
134,20,2067.966211
134,21,2056.343281
135,20,2067.966211
135,21,2056.343281
136,20,2067.966211
136,21,2056.343281
137,20,2067.966211
137,21,2056.343281
138,20,2067.966211
138,21,2056.343281
139,20,2067.966211
139,21,2056.343281
140,20,2067.966211
140,21,2056.343281
141,20,2067.966211
141,21,2056.343281
142,20,2067.966211
142,21,2056.343281
143,20,2067.966211
