Iteration,NV,TOC
1,6,1815.451480
1,7,1524.053223
1,8,1483.957531
1,8,1483.957531
1,8,1483.957531
1,8,1483.957531
1,8,1483.957531
1,8,1483.957531
1,8,1483.957531
1,9,1411.254606
1,10,1396.073293
1,10,1396.073293
1,10,1396.073293
1,11,1356.634022
1,14,1353.968869
1,14,1353.968869
2,6,1785.834491
2,7,1524.053223
2,8,1483.957531
2,8,1483.957531
2,8,1483.957531
2,8,1483.957531
2,8,1483.957531
2,8,1483.957531
2,8,1483.957531
2,9,1366.027636
2,11,1356.634022
2,11,1356.634022
2,12,1336.022480
3,6,1785.834491
3,6,1785.834491
3,6,1785.834491
3,6,1785.834491
3,7,1524.053223
3,8,1482.560667
3,9,1366.027636
3,11,1327.974997
4,6,1785.834491
4,6,1785.834491
4,6,1785.834491
4,6,1785.834491
4,6,1785.834491
4,6,1785.834491
4,6,1785.834491
4,7,1524.053223
4,8,1482.560667
4,9,1348.391178
4,11,1327.974997
4,14,1301.945118
5,6,1785.834491
5,6,1785.834491
5,6,1785.834491
5,6,1785.834491
5,6,1785.834491
5,6,1785.834491
5,6,1785.834491
5,6,1785.834491
5,6,1785.834491
5,6,1785.834491
5,7,1524.053223
5,8,1441.247786
5,9,1348.391178
5,11,1327.974997
5,12,1323.859130
5,14,1301.945118
6,6,1785.834491
6,6,1785.834491
6,6,1785.834491
6,6,1785.834491
6,6,1785.834491
6,6,1785.834491
6,6,1785.834491
6,6,1785.834491
6,6,1785.834491
6,6,1785.834491
6,6,1785.834491
6,7,1524.053223
6,8,1441.247786
6,9,1348.391178
6,10,1339.579239
6,11,1327.974997
6,12,1323.859130
6,14,1301.945118
7,6,1785.834491
7,6,1785.834491
7,6,1785.834491
7,6,1785.834491
7,6,1785.834491
7,6,1785.834491
7,6,1785.834491
7,6,1785.834491
7,6,1785.834491
7,6,1785.834491
7,6,1785.834491
7,6,1785.834491
7,6,1785.834491
7,7,1524.053223
7,8,1441.247786
7,9,1341.986784
7,10,1339.579239
7,11,1327.974997
7,12,1323.859130
7,14,1301.945118
7,16,1301.073591
8,6,1668.234401
8,7,1521.016754
8,8,1441.247786
8,9,1341.986784
8,10,1339.579239
8,11,1327.974997
8,12,1323.859130
8,13,1320.798811
8,14,1301.945118
8,16,1301.073591
9,6,1621.324627
9,7,1521.016754
9,8,1441.247786
9,9,1341.986784
9,9,1341.986784
9,10,1339.579239
9,11,1327.974997
9,12,1323.859130
9,13,1320.798811
9,14,1301.945118
9,16,1301.073591
10,6,1621.324627
10,6,1621.324627
10,6,1621.324627
10,6,1621.324627
10,7,1518.698793
10,8,1441.247786
10,9,1341.986784
10,9,1341.986784
10,10,1339.579239
10,11,1327.974997
10,12,1323.859130
10,13,1320.798811
10,14,1301.945118
10,16,1301.073591
11,6,1621.324627
11,6,1621.324627
11,6,1621.324627
11,6,1621.324627
11,6,1621.324627
11,6,1621.324627
11,6,1621.324627
11,6,1621.324627
11,6,1621.324627
11,7,1518.698793
11,7,1518.698793
11,8,1441.247786
11,9,1341.986784
11,9,1341.986784
11,10,1339.579239
11,11,1327.974997
11,12,1317.588759
11,14,1301.945118
11,16,1301.073591
12,6,1616.503258
12,7,1505.193500
12,8,1413.105448
12,9,1341.986784
12,9,1341.986784
12,10,1339.579239
12,11,1327.974997
12,12,1317.588759
12,14,1301.945118
12,16,1301.073591
13,6,1578.073182
13,7,1488.002322
13,8,1387.243110
13,9,1340.129063
13,10,1339.579239
13,11,1327.974997
13,12,1317.588759
13,14,1301.945118
13,16,1301.073591
14,6,1505.582225
14,7,1484.879389
14,8,1387.243110
14,9,1340.129063
14,10,1339.579239
14,11,1327.974997
14,12,1317.588759
14,14,1301.945118
14,16,1301.073591
15,6,1505.582225
15,6,1505.582225
15,7,1462.721199
15,8,1387.243110
15,9,1340.129063
15,10,1339.579239
15,11,1327.974997
15,12,1317.588759
15,14,1301.945118
15,16,1301.073591
16,6,1499.641426
16,7,1457.517303
16,8,1387.243110
16,9,1340.129063
16,10,1339.579239
16,11,1327.974997
16,12,1317.588759
16,14,1301.945118
16,16,1301.073591
17,6,1490.941750
17,7,1454.090930
17,8,1387.243110
17,9,1340.129063
17,10,1339.579239
17,11,1322.363504
17,12,1317.588759
17,14,1301.945118
17,16,1301.073591
18,6,1489.742752
18,7,1426.596092
18,8,1387.243110
18,9,1340.129063
18,10,1339.579239
18,11,1322.363504
18,12,1310.391060
18,14,1301.945118
18,16,1301.073591
19,6,1489.742752
19,6,1489.742752
19,6,1489.742752
19,6,1489.742752
19,6,1489.742752
19,6,1489.742752
19,7,1397.343970
19,8,1381.027833
19,9,1338.109255
19,9,1338.109255
19,11,1322.363504
19,12,1299.531734
20,6,1426.815337
20,7,1397.343970
20,8,1381.027833
20,9,1338.109255
20,9,1338.109255
20,9,1338.109255
20,10,1334.745372
20,11,1322.363504
