Iteration,NV,TOC
1,22,4959.247479
1,22,4959.247479
1,23,4878.685360
1,24,4778.675176
1,25,4685.530528
1,26,4654.414060
1,27,4590.805277
1,29,4522.869894
1,30,4468.059287
1,31,4321.591821
1,32,4290.539186
1,42,4237.530608
2,22,4898.105477
2,23,4842.099310
2,24,4778.675176
2,24,4778.675176
2,25,4685.530528
2,26,4532.355053
2,29,4460.268043
2,31,4321.591821
2,32,4290.539186
2,33,4260.313555
2,42,4237.530608
2,45,4222.685937
2,46,4222.477084
2,50,4174.987735
3,22,4866.293117
3,23,4697.172347
3,25,4685.530528
3,26,4532.355053
3,28,4519.532402
3,29,4460.268043
3,30,4314.661134
3,32,4290.539186
3,33,4260.313555
3,34,4260.166803
3,40,4190.976022
3,50,4174.987735
4,21,5233.663388
4,22,4866.293117
4,22,4866.293117
4,23,4697.172347
4,23,4697.172347
4,25,4628.131088
4,26,4532.355053
4,28,4420.905486
4,30,4314.661134
4,32,4290.539186
4,33,4260.313555
4,34,4259.597745
4,36,4193.857111
4,38,4133.047824
5,21,5233.663388
5,22,4866.293117
5,22,4866.293117
5,23,4697.172347
5,23,4697.172347
5,25,4628.131088
5,26,4532.355053
5,28,4420.905486
5,30,4314.661134
5,32,4290.539186
5,33,4260.313555
5,34,4259.597745
5,36,4193.857111
5,37,4102.791018
5,37,4102.791018
6,21,5233.663388
6,22,4866.293117
6,22,4866.293117
6,23,4697.172347
6,23,4697.172347
6,25,4628.131088
6,26,4532.355053
6,28,4420.905486
6,30,4314.661134
6,32,4214.596356
6,36,4193.857111
6,37,4102.791018
6,37,4102.791018
7,21,5233.663388
7,22,4866.293117
7,22,4866.293117
7,23,4691.422725
7,25,4628.131088
7,26,4532.355053
7,28,4420.905486
7,29,4412.478353
7,30,4314.661134
7,32,4214.596356
7,36,4193.857111
7,37,4102.791018
7,37,4102.791018
8,21,5006.080582
8,22,4798.360369
8,23,4691.422725
8,24,4570.398574
8,25,4516.171346
8,27,4498.209688
8,28,4420.905486
8,29,4359.985069
8,30,4314.661134
8,31,4308.886141
8,32,4214.596356
8,36,4193.857111
8,37,4102.791018
8,37,4102.791018
9,21,5006.080582
9,22,4684.921250
9,24,4570.398574
9,25,4515.293343
9,26,4499.420023
9,27,4442.527857
9,28,4420.905486
9,29,4359.985069
9,30,4314.661134
9,31,4241.969626
9,32,4214.596356
9,36,4193.857111
9,37,4102.791018
9,37,4102.791018
9,37,4102.791018
10,21,5006.080582
10,22,4671.886619
10,24,4570.398574
10,25,4515.293343
10,26,4499.420023
10,26,4499.420023
10,27,4442.527857
10,28,4392.669969
10,29,4359.985069
10,30,4314.661134
10,31,4241.969626
10,32,4214.596356
10,33,4199.836307
10,36,4148.910215
10,37,4102.791018
10,37,4102.791018
10,37,4102.791018
11,21,4970.924553
11,22,4671.886619
11,24,4570.398574
11,25,4515.293343
11,26,4494.485262
11,27,4442.527857
11,28,4392.669969
11,29,4359.985069
11,30,4210.337946
11,33,4199.836307
11,35,4169.228782
11,36,4148.910215
11,37,4102.791018
11,37,4102.791018
11,37,4102.791018
11,40,4075.581133
12,21,4970.924553
12,22,4671.886619
12,24,4570.398574
12,25,4515.293343
12,26,4473.476939
12,27,4442.527857
12,28,4345.060020
12,29,4312.469214
12,30,4210.337946
12,33,4199.836307
12,35,4169.228782
12,36,4148.910215
12,37,4102.791018
12,37,4102.791018
12,37,4102.791018
12,40,4075.581133
13,21,4970.924553
13,22,4671.886619
13,23,4657.700526
13,24,4570.398574
13,25,4515.293343
13,26,4473.476939
13,27,4442.527857
13,28,4345.060020
13,29,4312.469214
13,30,4210.337946
13,33,4199.836307
13,35,4169.228782
13,36,4148.910215
13,37,4102.791018
13,37,4102.791018
13,37,4102.791018
13,40,4075.581133
14,21,4946.101925
14,22,4671.886619
14,23,4657.700526
14,24,4570.398574
14,25,4515.293343
14,26,4473.476939
14,27,4442.527857
14,28,4345.060020
14,29,4297.275519
14,30,4210.337946
14,33,4199.836307
14,34,4184.045671
14,35,4169.228782
14,36,4148.910215
14,37,4102.791018
14,37,4102.791018
14,37,4102.791018
14,40,4075.581133
15,21,4946.101925
15,21,4946.101925
15,22,4671.886619
15,23,4657.700526
15,24,4565.941044
15,25,4515.293343
15,26,4473.476939
15,27,4389.549666
15,28,4266.696488
15,30,4210.337946
15,33,4199.836307
15,34,4184.045671
15,35,4169.228782
15,36,4148.910215
15,37,4102.791018
15,37,4102.791018
15,37,4102.791018
15,40,4075.581133
16,21,4867.373896
16,22,4671.886619
16,23,4657.700526
16,24,4565.941044
16,25,4515.293343
16,26,4473.476939
16,27,4374.036599
16,28,4266.696488
16,30,4210.337946
16,33,4199.836307
16,34,4184.045671
16,35,4153.114070
16,36,4148.910215
16,37,4102.791018
16,37,4102.791018
16,37,4102.791018
16,40,4075.581133
17,21,4777.582198
17,22,4671.886619
17,23,4657.700526
17,24,4512.244702
17,26,4457.251553
17,27,4374.036599
17,28,4266.696488
17,30,4210.337946
17,33,4199.836307
17,34,4184.045671
17,35,4153.114070
17,36,4148.910215
17,37,4102.791018
17,37,4102.791018
17,37,4102.791018
17,40,4075.581133
18,21,4761.080481
18,22,4609.271012
18,23,4582.338025
18,24,4512.244702
18,26,4405.514965
18,27,4374.036599
18,28,4266.696488
18,30,4210.337946
18,33,4199.836307
18,34,4184.045671
18,35,4153.114070
18,36,4148.910215
18,37,4102.791018
18,37,4102.791018
18,37,4102.791018
18,40,4075.581133
19,21,4721.213726
19,22,4609.271012
19,23,4582.338025
19,24,4512.244702
19,26,4405.514965
19,27,4374.036599
19,28,4266.696488
19,30,4210.337946
19,31,4176.732935
19,35,4153.114070
19,36,4148.910215
19,37,4102.791018
19,37,4102.791018
19,37,4102.791018
19,40,4075.581133
20,21,4721.213726
20,21,4721.213726
20,22,4609.271012
20,23,4578.108651
20,24,4512.244702
20,26,4405.514965
20,27,4374.036599
20,28,4243.820753
20,30,4210.337946
20,31,4176.732935
20,35,4153.114070
20,36,4148.910215
20,37,4102.791018
20,37,4102.791018
20,37,4102.791018
20,40,4075.581133
21,20,4884.648858
21,21,4721.213726
21,21,4721.213726
21,22,4609.271012
21,23,4578.108651
21,24,4512.244702
21,26,4405.514965
21,27,4340.474262
21,28,4243.820753
21,30,4210.337946
21,31,4176.732935
21,35,4153.114070
21,36,4148.910215
21,37,4102.791018
21,37,4102.791018
21,37,4102.791018
21,40,4075.581133
22,20,4884.648858
22,20,4884.648858
22,21,4721.213726
22,21,4721.213726
22,22,4609.271012
22,23,4578.108651
22,24,4512.244702
22,26,4405.514965
22,27,4340.474262
22,28,4243.820753
22,30,4210.337946
22,31,4176.732935
22,35,4153.114070
22,36,4148.910215
22,37,4102.791018
22,37,4102.791018
22,37,4102.791018
22,38,4092.347375
22,40,4075.581133
23,20,4884.648858
23,20,4884.648858
23,21,4721.213726
23,21,4721.213726
23,22,4609.271012
23,23,4578.108651
23,24,4512.244702
23,26,4405.514965
23,27,4340.474262
23,28,4243.820753
23,30,4210.337946
23,31,4176.732935
23,32,4156.979450
23,35,4153.114070
23,36,4148.910215
23,37,4102.791018
23,37,4102.791018
