Iteration,NV,TOC
1,20,6625.571316
1,24,6277.450976
1,24,6277.450976
1,25,5562.019046
1,26,5524.377159
1,42,5405.807618
2,20,6624.948434
2,21,6156.083748
2,25,5556.170387
2,26,5524.377159
2,28,5515.668902
2,38,5499.944076
2,39,5438.260442
2,42,5405.807618
2,43,5394.914710
3,19,6704.377041
3,20,6605.087081
3,21,6156.083748
3,21,6156.083748
3,22,6087.942227
3,23,5696.456721
3,25,5556.170387
3,26,5524.377159
3,28,5515.668902
3,28,5515.668902
3,38,5499.944076
3,39,5438.260442
3,42,5389.745091
3,43,5271.765281
4,18,6629.674366
4,20,6234.889473
4,21,6130.010706
4,22,6087.942227
4,23,5696.456721
4,25,5556.170387
4,26,5524.377159
4,28,5515.668902
4,28,5515.668902
4,33,5437.568743
4,42,5389.745091
4,43,5271.765281
5,18,6564.794996
5,19,6448.784353
5,20,6234.889473
5,21,6130.010706
5,22,6087.942227
5,23,5696.456721
5,25,5556.170387
5,26,5524.377159
5,27,5428.796040
5,42,5389.745091
5,43,5271.765281
6,17,6609.995717
6,18,6544.780332
6,19,6357.469872
6,20,6234.889473
6,21,6130.010706
6,22,6087.942227
6,23,5696.456721
6,25,5556.170387
6,26,5524.377159
6,27,5428.796040
6,39,5424.517497
6,42,5389.745091
6,43,5271.765281
7,17,6538.156773
7,18,6421.839128
7,19,6357.469872
7,20,6234.889473
7,21,6130.010706
7,22,6087.942227
7,23,5696.456721
7,23,5696.456721
7,25,5556.170387
7,26,5524.377159
7,27,5428.796040
7,39,5424.517497
7,41,5386.577356
7,42,5304.458051
7,43,5271.765281
8,17,6538.156773
8,17,6538.156773
8,18,6421.839128
8,19,6357.469872
8,20,6124.053238
8,22,6087.942227
8,23,5696.456721
8,23,5696.456721
8,25,5556.170387
8,26,5524.377159
8,27,5428.796040
8,35,5373.479079
8,42,5304.458051
8,43,5271.765281
9,17,6538.156773
9,17,6538.156773
9,17,6538.156773
9,18,6421.839128
9,19,6357.469872
9,20,6124.053238
9,21,6080.578264
9,22,5950.769370
9,23,5696.456721
9,23,5696.456721
9,25,5556.170387
9,26,5524.377159
9,27,5428.796040
9,35,5373.479079
9,42,5304.458051
9,43,5271.765281
10,16,6565.073628
10,17,6468.685807
10,18,6421.839128
10,19,6357.469872
10,20,6124.053238
10,21,6080.578264
10,22,5775.965799
10,23,5696.456721
10,23,5696.456721
10,25,5556.170387
10,26,5524.377159
10,27,5428.796040
10,35,5373.479079
10,40,5371.219204
10,42,5304.458051
10,42,5304.458051
10,43,5271.765281
11,16,6565.073628
11,16,6565.073628
11,17,6468.685807
11,18,6421.839128
11,19,6357.469872
11,20,6124.053238
11,21,5904.230613
11,22,5775.965799
11,23,5696.456721
11,23,5696.456721
11,25,5556.170387
11,26,5524.377159
11,27,5428.796040
11,35,5373.479079
11,40,5371.219204
11,42,5304.458051
11,42,5304.458051
11,43,5271.765281
12,16,6565.073628
12,16,6565.073628
12,16,6565.073628
12,17,6462.750365
12,18,6421.839128
12,19,6357.469872
12,20,6119.344622
12,21,5904.230613
12,22,5775.965799
12,23,5696.456721
12,23,5696.456721
12,25,5556.170387
12,26,5524.377159
12,27,5428.796040
12,35,5373.479079
12,40,5371.219204
12,40,5371.219204
12,42,5304.458051
12,42,5304.458051
12,43,5271.765281
13,16,6525.924225
13,17,6462.750365
13,17,6462.750365
13,18,6421.839128
13,19,6330.382248
13,20,6119.344622
13,21,5904.230613
13,22,5775.965799
13,23,5696.456721
13,23,5696.456721
13,25,5556.170387
13,26,5524.377159
13,27,5428.796040
13,35,5373.479079
13,40,5371.219204
13,40,5371.219204
13,42,5304.458051
13,42,5304.458051
13,43,5271.765281
14,16,6525.924225
14,17,6462.750365
14,17,6462.750365
14,18,6391.223188
14,19,6330.382248
14,20,6119.344622
14,21,5904.230613
14,22,5775.965799
14,23,5696.456721
14,23,5696.456721
14,25,5556.170387
14,26,5524.377159
14,27,5428.796040
14,35,5373.479079
14,40,5371.219204
14,40,5371.219204
14,42,5304.458051
14,42,5304.458051
14,43,5271.765281
15,16,6525.924225
15,17,6462.750365
15,17,6462.750365
15,18,6312.810404
15,20,5908.067451
15,21,5904.230613
15,22,5775.965799
15,23,5696.456721
15,23,5696.456721
15,25,5556.170387
15,26,5524.377159
15,27,5428.796040
15,35,5373.479079
15,38,5367.566873
15,41,5313.846253
15,42,5304.458051
15,42,5304.458051
15,43,5271.765281
16,16,6525.857373
16,17,6462.750365
16,17,6462.750365
16,18,6212.118211
16,20,5908.067451
16,21,5904.230613
16,22,5765.106740
16,23,5696.456721
16,23,5696.456721
16,25,5556.170387
16,26,5524.377159
16,27,5428.796040
16,31,5369.537517
16,38,5367.566873
16,41,5313.846253
16,42,5304.458051
16,42,5304.458051
16,43,5271.765281
17,15,7054.950647
17,16,6497.235619
17,17,6311.703745
17,18,6212.118211
17,18,6212.118211
17,20,5908.067451
17,21,5904.230613
17,22,5765.106740
17,23,5696.456721
17,23,5696.456721
17,25,5556.170387
17,26,5524.377159
17,27,5428.796040
17,31,5369.537517
17,36,5362.797175
17,41,5312.391577
17,42,5304.458051
17,42,5304.458051
17,43,5271.765281
18,15,6812.841189
18,16,6497.235619
18,16,6497.235619
18,17,6311.703745
18,18,6212.118211
18,18,6212.118211
18,20,5908.067451
18,21,5904.230613
18,22,5765.106740
18,23,5696.456721
18,23,5696.456721
18,25,5556.170387
18,26,5524.377159
18,27,5428.796040
18,31,5369.537517
18,36,5362.797175
18,41,5312.391577
18,42,5304.458051
18,42,5304.458051
18,43,5271.765281
19,15,6796.892892
19,16,6497.235619
19,16,6497.235619
19,16,6497.235619
19,17,6311.703745
19,18,6212.118211
19,18,6212.118211
19,18,6212.118211
19,20,5908.067451
19,21,5904.230613
19,22,5765.106740
19,23,5696.456721
19,23,5696.456721
19,24,5658.783787
19,25,5556.170387
19,26,5524.377159
19,27,5428.796040
19,31,5369.537517
19,35,5368.049780
19,36,5362.797175
19,41,5312.391577
19,42,5304.458051
19,42,5304.458051
19,43,5271.765281
20,15,6746.058347
20,16,6497.235619
20,16,6497.235619
20,16,6497.235619
20,17,6311.703745
20,18,6212.118211
20,18,6212.118211
20,18,6212.118211
20,20,5908.067451
20,21,5904.230613
20,22,5765.106740
20,23,5696.456721
20,23,5696.456721
20,24,5658.783787
20,25,5556.170387
20,26,5524.377159
20,27,5428.796040
20,31,5369.537517
20,35,5368.049780
20,36,5362.797175
20,40,5353.148397
20,41,5312.391577
20,42,5304.458051
20,42,5304.458051
20,43,5271.765281
21,15,6746.058347
21,16,6497.235619
21,16,6497.235619
21,16,6497.235619
21,17,6311.703745
21,18,6212.118211
21,18,6212.118211
21,18,6212.118211
21,20,5908.067451
21,21,5904.230613
21,22,5765.106740
21,23,5696.456721
21,23,5696.456721
21,24,5658.783787
21,25,5556.170387
21,26,5524.377159
21,27,5428.796040
21,31,5369.537517
21,34,5355.889295
21,40,5353.148397
21,41,5312.391577
21,42,5304.458051
21,42,5304.458051
21,43,5271.765281
22,15,6746.058347
22,15,6746.058347
22,15,6746.058347
22,15,6746.058347
22,16,6497.235619
22,16,6497.235619
22,16,6497.235619
22,17,6311.703745
22,18,6212.118211
22,18,6212.118211
22,18,6212.118211
22,20,5908.067451
22,21,5904.230613
22,22,5765.106740
22,23,5696.456721
22,23,5696.456721
22,24,5658.783787
22,25,5556.170387
22,26,5524.377159
22,27,5428.796040
22,31,5369.537517
22,34,5355.889295
