Iteration,NV,TOC
1,75,25294.007057
1,76,25259.750382
1,78,25174.606730
1,79,25129.697786
1,80,25107.955365
1,81,24805.149691
1,82,24781.448854
1,83,24746.549598
1,91,24325.082365
1,107,23853.176359
2,72,25102.823221
2,81,24805.149691
2,82,24781.448854
2,83,24746.549598
2,84,24739.611143
2,91,24325.082365
2,100,23989.902829
2,107,23853.176359
2,108,23802.294107
2,109,23782.429658
3,72,24993.155539
3,73,24864.997180
3,76,24828.593646
3,81,24537.846227
3,82,24432.914431
3,85,24288.043276
3,88,24107.916111
3,100,23989.902829
3,101,23593.309624
3,105,23580.976740
3,127,23291.168325
4,72,24993.155539
4,72,24993.155539
4,73,24864.997180
4,75,24620.071753
4,81,24537.846227
4,82,24432.914431
4,84,24228.488977
4,85,24226.041384
4,88,24107.916111
4,88,24107.916111
4,100,23638.548113
4,101,23593.309624
4,102,23451.086263
4,127,23291.168325
5,72,24992.810702
5,73,24864.997180
5,74,24852.665043
5,75,24620.071753
5,78,24576.634241
5,80,24528.625883
5,82,24432.914431
5,84,24228.488977
5,85,24226.041384
5,88,24083.896463
5,98,23860.381837
5,100,23638.548113
5,100,23638.548113
5,101,23593.309624
5,102,23451.086263
5,113,23411.369500
5,119,23291.493706
5,127,23291.168325
5,128,23202.678545
6,71,25544.493085
6,72,24992.810702
6,72,24992.810702
6,73,24864.997180
6,74,24852.665043
6,75,24620.071753
6,78,24576.634241
6,80,24528.625883
6,80,24528.625883
6,81,24429.576866
6,82,24253.635942
6,83,24119.757905
6,88,24083.896463
6,89,24048.949263
6,93,24043.482628
6,98,23860.381837
6,100,23638.203276
6,101,23465.512023
6,102,23451.086263
6,102,23451.086263
6,113,23411.369500
6,113,23411.369500
6,119,23291.493706
6,119,23291.493706
6,119,23291.493706
6,125,23261.799050
6,128,23202.678545
7,71,25544.493085
7,71,25544.493085
7,72,24992.810702
7,72,24992.810702
7,72,24992.810702
7,73,24587.902683
7,76,24547.855110
7,80,24528.625883
7,80,24528.625883
7,81,24429.576866
7,82,24253.635942
7,83,24119.757905
7,86,24071.360283
7,89,24048.949263
7,93,24038.722357
7,98,23860.381837
7,100,23638.203276
7,101,23465.512023
7,102,23451.086263
7,102,23451.086263
7,111,23450.082898
7,113,23411.369500
7,113,23411.369500
7,118,23375.773022
7,119,23291.493706
7,119,23291.493706
7,119,23291.493706
7,122,23133.875026
8,71,25544.493085
8,71,25544.493085
8,71,25544.493085
8,72,24992.810702
8,72,24992.810702
8,72,24992.810702
8,73,24587.902683
8,76,24547.855110
8,80,24528.625883
8,80,24528.625883
8,81,24429.576866
8,82,24253.635942
8,83,24119.757905
8,86,24062.239707
8,87,23978.538289
8,98,23860.381837
8,98,23860.381837
8,100,23638.203276
8,101,23465.512023
8,102,23451.086263
8,102,23451.086263
8,109,23351.882356
8,119,23291.493706
8,119,23291.493706
8,119,23291.493706
8,122,23133.875026
9,71,25544.493085
9,71,25544.493085
9,71,25544.493085
9,71,25544.493085
9,72,24992.810702
9,72,24992.810702
9,72,24992.810702
9,72,24992.810702
9,73,24587.902683
9,73,24587.902683
9,76,24547.855110
9,80,24528.625883
9,80,24528.625883
9,81,24429.576866
9,82,24114.880448
9,86,24062.239707
9,87,23978.538289
9,98,23860.381837
9,98,23860.381837
9,100,23638.203276
9,100,23638.203276
9,101,23465.512023
9,101,23465.512023
9,102,23451.086263
9,102,23451.086263
9,106,23396.287346
9,109,23351.882356
9,119,23291.493706
9,119,23291.493706
9,119,23291.493706
9,122,23133.875026
9,141,22909.880690
10,71,25376.554094
10,72,24992.810702
10,72,24992.810702
10,72,24992.810702
10,72,24992.810702
10,72,24992.810702
10,73,24587.902683
10,73,24587.902683
10,76,24547.855110
10,80,24528.625883
10,80,24528.625883
10,81,24429.576866
10,82,24114.880448
10,86,24062.239707
10,87,23978.538289
10,98,23860.381837
10,98,23860.381837
10,100,23638.203276
10,100,23638.203276
10,101,23465.512023
10,101,23465.512023
10,102,23451.086263
10,102,23451.086263
10,105,23438.936470
10,106,23396.287346
10,107,23390.162182
10,109,23351.882356
10,110,23259.928190
10,120,23091.789033
10,134,22842.913818
11,71,25376.554094
11,71,25376.554094
11,72,24992.810702
11,72,24992.810702
11,72,24992.810702
11,72,24992.810702
11,72,24992.810702
11,73,24577.939993
11,76,24547.855110
11,80,24528.625883
11,80,24528.625883
11,81,24429.576866
11,82,24114.880448
11,86,24062.239707
11,87,23978.538289
11,94,23908.392251
11,98,23860.381837
11,98,23860.381837
11,99,23687.569771
11,100,23638.203276
11,100,23638.203276
11,101,23465.512023
11,101,23465.512023
11,102,23451.086263
11,102,23451.086263
11,105,23438.936470
11,106,23255.204364
11,120,23091.789033
11,134,22842.913818
12,70,25596.519385
12,71,25248.157857
12,72,24992.810702
12,72,24992.810702
12,72,24992.810702
12,72,24992.810702
12,72,24992.810702
12,73,24577.939993
12,76,24547.855110
12,80,24528.625883
12,80,24528.625883
12,81,24429.576866
12,82,24114.880448
12,86,24062.239707
12,87,23978.538289
12,94,23908.392251
12,98,23800.825308
12,99,23687.569771
12,100,23638.203276
12,100,23638.203276
12,101,23465.512023
12,101,23465.512023
12,102,23451.086263
12,102,23451.086263
12,105,23438.936470
12,106,23255.204364
