Iteration,NV,TOC
1,8,4599.403329
1,9,4530.211781
1,10,3817.546260
1,11,3710.223338
1,12,2969.238080
1,16,2937.992177
1,17,2741.856434
1,21,2699.090514
1,22,2670.482610
1,26,2651.599600
1,27,2605.947410
1,30,2600.918334
1,32,2576.746377
1,36,2574.906194
1,37,2551.878275
1,41,2494.096225
2,8,4595.085962
2,9,3978.795493
2,10,3817.546260
2,11,3710.223338
2,12,2969.238080
2,16,2937.992177
2,17,2741.856434
2,20,2693.614582
2,21,2678.191279
2,22,2670.482610
2,23,2647.361308
2,27,2605.947410
2,30,2600.918334
2,32,2576.746377
2,36,2574.906194
2,37,2549.507305
2,41,2494.096225
3,8,4595.085962
3,8,4595.085962
3,8,4595.085962
3,9,3978.795493
3,10,3657.677501
3,12,2969.238080
3,16,2937.992177
3,17,2741.856434
3,20,2693.614582
3,21,2678.191279
3,22,2670.482610
3,23,2647.361308
3,27,2605.947410
3,30,2600.918334
3,32,2546.058304
3,41,2494.096225
4,8,4595.085962
4,8,4595.085962
4,8,4595.085962
4,8,4595.085962
4,9,3935.775342
4,10,3657.677501
4,12,2969.238080
4,16,2937.992177
4,17,2741.856434
4,20,2693.614582
4,21,2678.191279
4,22,2670.482610
4,23,2647.361308
4,25,2626.404724
4,26,2612.239007
4,27,2605.947410
4,30,2600.918334
4,32,2546.058304
4,35,2512.523303
4,41,2494.096225
4,42,2493.618000
5,8,4595.085962
5,8,4595.085962
5,8,4595.085962
5,8,4595.085962
5,8,4595.085962
5,9,3935.775342
5,10,3619.767507
5,11,3616.511958
5,12,2969.238080
5,16,2937.992177
5,17,2741.856434
5,20,2635.050736
5,25,2626.404724
5,26,2612.239007
5,27,2605.947410
5,29,2600.427651
5,32,2546.058304
5,33,2512.069666
5,34,2486.590396
6,8,4582.428444
6,9,3935.775342
6,10,3619.767507
6,11,3480.756767
6,12,2969.238080
6,16,2937.992177
6,17,2741.856434
6,20,2635.050736
6,25,2626.404724
6,26,2612.239007
6,27,2605.947410
6,29,2600.427651
6,32,2546.058304
6,33,2512.069666
6,34,2486.590396
7,8,4560.460639
7,9,3935.775342
7,10,3619.767507
7,11,3480.756767
7,12,2969.238080
7,16,2937.992177
7,17,2741.856434
7,20,2635.050736
7,24,2626.707364
7,25,2626.404724
7,26,2612.239007
7,27,2605.947410
7,29,2600.427651
7,32,2546.058304
7,33,2512.069666
7,33,2512.069666
7,34,2486.590396
8,8,4560.460639
8,8,4560.460639
8,8,4560.460639
8,9,3935.775342
8,10,3619.767507
8,11,3480.756767
8,12,2969.238080
8,16,2937.992177
8,17,2741.856434
8,20,2635.050736
8,24,2626.707364
8,25,2626.404724
8,26,2612.239007
8,27,2605.947410
8,29,2563.524230
8,31,2524.066565
8,33,2512.069666
8,33,2512.069666
8,34,2486.590396
9,8,4467.862484
9,9,3935.775342
9,10,3619.767507
9,11,3480.756767
9,12,2969.238080
9,14,2888.103053
9,16,2868.481361
9,17,2741.856434
9,20,2635.050736
9,21,2610.115349
9,27,2605.947410
9,29,2563.524230
9,31,2524.066565
9,33,2512.069666
9,33,2512.069666
9,34,2486.590396
10,8,3838.241327
10,10,3355.896479
10,12,2943.337936
10,14,2888.103053
10,14,2888.103053
10,15,2778.652914
10,17,2741.856434
10,17,2741.856434
10,20,2594.306775
10,23,2590.930504
10,27,2505.060186
10,29,2479.411723
10,31,2457.199276
10,32,2456.314744
11,8,3838.241327
11,9,3835.197324
11,10,3355.896479
11,12,2943.337936
11,14,2888.103053
11,14,2888.103053
11,15,2778.652914
11,16,2759.495795
11,17,2741.856434
11,17,2741.856434
11,20,2594.306775
11,21,2587.074281
11,27,2505.060186
11,29,2479.411723
11,31,2457.199276
11,32,2456.314744
12,8,3838.241327
12,9,3835.197324
12,10,3355.896479
12,12,2943.337936
12,14,2888.103053
12,14,2888.103053
12,15,2778.652914
12,16,2759.495795
12,17,2741.856434
12,17,2741.856434
12,20,2594.306775
12,21,2587.074281
12,22,2583.715863
12,27,2505.060186
12,29,2479.411723
12,31,2457.199276
12,32,2456.314744
13,8,3838.241327
13,9,3835.197324
13,10,3355.896479
13,12,2943.337936
13,14,2888.103053
13,14,2888.103053
13,15,2778.652914
13,16,2759.495795
13,17,2741.856434
13,17,2741.856434
13,20,2594.306775
13,21,2587.074281
13,22,2583.715863
13,27,2505.060186
13,29,2479.411723
13,31,2457.199276
13,32,2456.314744
14,8,3838.241327
14,9,3835.197324
14,10,3355.896479
14,12,2943.337936
14,14,2888.103053
14,14,2888.103053
14,15,2778.652914
14,16,2759.495795
14,17,2741.856434
14,17,2741.856434
14,20,2594.306775
14,21,2587.074281
14,22,2583.715863
14,27,2505.060186
14,29,2479.411723
14,31,2457.199276
14,32,2456.314744
15,8,3838.241327
15,9,3835.197324
15,10,3355.896479
15,12,2943.337936
15,13,2931.010227
15,14,2888.103053
15,14,2888.103053
15,15,2778.652914
15,16,2759.495795
15,17,2741.856434
15,17,2741.856434
15,20,2594.306775
15,21,2587.074281
15,22,2583.715863
15,27,2505.060186
15,29,2479.411723
15,31,2457.199276
15,32,2456.314744
16,8,3639.185210
16,10,3355.896479
16,10,3355.896479
16,12,2840.613182
16,14,2755.974984
16,15,2682.758983
16,20,2528.994180
16,21,2489.757473
16,27,2488.464039
16,27,2488.464039
16,29,2479.411723
16,29,2479.411723
16,31,2412.056221
17,8,3639.185210
17,10,3355.896479
17,10,3355.896479
17,12,2840.613182
17,14,2755.974984
17,15,2682.758983
17,20,2528.994180
17,21,2489.757473
17,27,2488.464039
17,27,2488.464039
17,29,2479.411723
17,29,2479.411723
17,31,2412.056221
18,8,3639.185210
18,10,3355.896479
18,10,3355.896479
18,12,2840.613182
18,14,2755.974984
18,15,2682.758983
18,17,2682.254903
18,19,2622.066654
18,20,2528.994180
18,21,2489.757473
18,27,2488.464039
18,27,2488.464039
18,29,2479.411723
18,29,2479.411723
18,31,2412.056221
19,7,4439.405008
19,8,3639.185210
19,9,3597.470702
19,10,3355.896479
19,10,3355.896479
19,12,2840.613182
19,14,2755.974984
19,15,2682.758983
19,17,2682.254903
19,19,2622.066654
19,20,2528.994180
19,21,2489.757473
19,27,2488.464039
19,27,2488.464039
19,29,2479.411723
19,29,2479.411723
19,31,2412.056221
20,7,3967.034313
20,8,3639.185210
20,9,3440.082131
20,10,3355.896479
20,10,3355.896479
20,12,2840.613182
20,14,2755.974984
20,15,2682.758983
20,17,2682.254903
20,19,2622.066654
20,20,2528.994180
20,21,2489.757473
20,27,2488.464039
20,27,2488.464039
20,29,2479.411723
20,29,2479.411723
20,31,2412.056221
21,7,3967.034313
21,7,3967.034313
21,8,3639.185210
21,9,3440.082131
21,10,3355.896479
21,10,3355.896479
21,12,2840.613182
21,14,2755.974984
21,15,2682.758983
21,17,2682.254903
21,19,2622.066654
21,20,2528.994180
21,21,2489.757473
21,27,2488.464039
21,27,2488.464039
21,29,2479.411723
21,29,2479.411723
21,31,2412.056221
22,7,3967.034313
22,7,3967.034313
22,8,3639.185210
22,9,3440.082131
22,10,3355.896479
22,10,3355.896479
22,12,2840.613182
22,14,2755.974984
22,15,2682.758983
22,17,2682.254903
22,19,2622.066654
22,20,2528.994180
22,21,2489.757473
22,27,2488.464039
22,27,2488.464039
22,29,2479.411723
22,29,2479.411723
22,31,2412.056221
23,7,3967.034313
23,7,3967.034313
23,8,3639.185210
23,9,3440.082131
23,10,3355.896479
23,10,3355.896479
23,12,2840.613182
23,14,2755.974984
23,15,2682.758983
23,17,2682.254903
23,19,2569.744360
23,20,2528.994180
23,21,2489.757473
23,27,2488.464039
23,27,2488.464039
23,29,2450.318826
23,31,2412.056221
24,7,3967.034313
24,7,3967.034313
24,8,3639.185210
24,9,3440.082131
24,10,3355.896479
24,10,3355.896479
24,12,2840.613182
24,14,2755.974984
24,15,2682.758983
24,17,2682.254903
24,19,2569.744360
24,20,2528.994180
24,21,2489.757473
24,27,2455.501511
24,29,2450.318826
24,31,2412.056221
25,7,3871.235578
25,8,3475.851831
25,9,3254.312031
25,12,2797.999643
25,13,2716.221976
25,15,2682.758983
25,15,2682.758983
25,16,2661.451207
25,19,2495.667641
25,21,2489.757473
25,21,2489.757473
25,26,2431.108898
25,27,2394.988769
25,30,2388.630833
26,7,3871.235578
26,7,3871.235578
26,8,3475.851831
26,9,3254.312031
26,10,3142.878996
26,12,2797.999643
26,13,2716.221976
26,15,2671.045545
26,16,2661.451207
26,18,2644.229830
26,19,2495.667641
26,21,2489.757473
26,21,2489.757473
26,26,2431.108898
26,27,2394.988769
26,30,2388.630833
27,7,3871.235578
27,7,3871.235578
27,7,3871.235578
27,8,3475.851831
27,9,3254.312031
27,10,3142.878996
27,12,2797.999643
27,13,2716.221976
27,15,2671.045545
27,16,2661.451207
27,18,2644.229830
27,19,2495.667641
27,21,2489.757473
27,21,2489.757473
27,26,2431.108898
27,27,2394.988769
27,30,2388.630833
28,7,3871.235578
28,7,3871.235578
28,7,3871.235578
28,7,3871.235578
28,8,3475.851831
28,9,3254.312031
28,10,3142.878996
28,12,2797.999643
28,13,2716.221976
28,15,2671.045545
28,16,2661.451207
28,18,2644.229830
28,19,2495.667641
28,21,2489.757473
28,21,2489.757473
28,26,2431.108898
28,27,2394.988769
28,30,2388.630833
29,7,3871.235578
29,7,3871.235578
29,7,3871.235578
29,7,3871.235578
29,8,3475.851831
29,9,3254.312031
29,10,3142.878996
29,12,2797.999643
29,13,2716.221976
29,15,2671.045545
29,16,2661.451207
29,18,2644.229830
29,19,2495.667641
29,21,2489.757473
29,21,2489.757473
29,26,2431.108898
29,27,2394.988769
29,30,2388.630833
30,7,3864.074933
30,8,3475.851831
30,9,3254.312031
30,10,3142.878996
30,12,2797.999643
30,13,2716.221976
30,15,2671.045545
30,16,2661.451207
30,18,2644.229830
30,19,2495.667641
30,21,2489.757473
30,21,2489.757473
30,26,2431.108898
30,27,2394.988769
30,30,2388.630833
31,7,3695.368295
31,8,3475.851831
31,8,3475.851831
31,9,3254.312031
31,9,3254.312031
31,10,3135.805738
31,12,2663.778304
31,15,2594.684053
31,18,2482.607200
31,20,2433.402873
31,26,2431.108898
31,26,2431.108898
31,27,2367.682562
32,7,3695.368295
32,8,3475.851831
32,8,3475.851831
32,9,3254.312031
32,9,3254.312031
32,10,3135.805738
32,12,2663.778304
32,15,2594.684053
32,18,2482.607200
32,20,2433.402873
32,26,2417.367664
32,27,2367.682562
33,7,3695.368295
33,8,3392.361331
33,9,3254.312031
33,9,3254.312031
33,10,3135.805738
33,12,2663.778304
33,15,2594.684053
33,18,2482.607200
33,20,2433.402873
33,26,2417.367664
33,27,2367.682562
34,7,3693.152840
34,8,3392.361331
34,9,3254.312031
34,9,3254.312031
34,10,3135.805738
34,12,2663.778304
34,15,2594.684053
34,18,2475.902284
34,20,2433.402873
34,26,2417.367664
34,27,2367.682562
35,7,3693.152840
35,8,3392.361331
35,9,3254.312031
35,9,3254.312031
35,10,3135.805738
35,12,2663.778304
35,15,2594.684053
35,18,2475.902284
35,20,2433.402873
35,26,2417.367664
35,27,2367.682562
36,7,3691.103133
36,8,3392.361331
36,9,3254.312031
36,9,3254.312031
36,10,3135.805738
36,12,2663.778304
36,15,2594.684053
36,18,2475.902284
36,20,2433.402873
36,26,2417.367664
36,27,2367.682562
37,7,3489.137396
37,8,3135.633775
37,10,3098.434222
37,12,2663.778304
37,12,2663.778304
37,15,2594.684053
37,15,2594.684053
37,18,2475.902284
37,18,2475.902284
37,20,2411.373397
37,24,2342.009127
38,7,3489.137396
38,7,3489.137396
38,8,3135.633775
38,10,3098.434222
38,11,2991.053725
38,12,2663.778304
38,12,2663.778304
38,15,2594.684053
38,15,2594.684053
38,18,2475.902284
38,18,2475.902284
38,20,2411.373397
38,24,2342.009127
39,7,3486.828743
39,8,3135.633775
39,10,3098.434222
39,11,2991.053725
39,11,2991.053725
39,12,2663.778304
39,12,2663.778304
39,15,2594.684053
