Iteration,NV,TOC
1,12,3236.029155
1,12,3236.029155
1,13,3175.639289
1,14,2948.868453
1,16,2880.326099
1,17,2731.811665
1,18,2695.311014
2,12,3057.675667
2,13,3029.039185
2,14,2724.781590
2,18,2695.311014
3,12,3057.675667
3,12,3057.675667
3,13,2844.955942
3,14,2724.781590
3,14,2724.781590
3,15,2694.671762
3,19,2647.946670
4,12,3004.676214
4,13,2843.556434
4,14,2724.781590
4,14,2724.781590
4,15,2694.671762
4,19,2647.946670
4,20,2634.785369
5,12,3004.676214
5,12,3004.676214
5,13,2843.556434
5,14,2724.781590
5,14,2724.781590
5,15,2694.671762
5,19,2647.946670
5,20,2634.785369
6,11,3198.031564
6,12,2888.353847
6,13,2843.556434
6,13,2843.556434
6,14,2724.781590
6,14,2724.781590
6,15,2694.671762
6,19,2647.946670
6,20,2634.785369
7,11,3198.031564
7,12,2888.353847
7,13,2729.915120
7,14,2717.898639
7,15,2694.671762
7,18,2517.886032
8,11,3198.031564
8,12,2751.053382
8,13,2700.357465
8,14,2581.342114
8,18,2517.886032
9,11,3144.528519
9,12,2751.053382
9,12,2751.053382
9,13,2660.528662
9,14,2581.342114
9,18,2517.886032
10,11,3144.528519
10,11,3144.528519
10,12,2751.053382
10,12,2751.053382
10,12,2751.053382
10,13,2660.528662
10,14,2581.342114
10,18,2517.886032
10,18,2517.886032
10,21,2517.462963
11,11,3068.257803
11,12,2751.053382
11,12,2751.053382
11,12,2751.053382
11,13,2660.528662
11,14,2581.342114
11,18,2517.886032
11,18,2517.886032
11,21,2517.462963
12,11,3068.257803
12,11,3068.257803
12,12,2693.582217
12,13,2660.528662
12,13,2660.528662
12,14,2581.342114
12,18,2517.886032
12,18,2517.886032
12,21,2517.462963
13,11,2921.674356
13,12,2688.193260
13,13,2660.528662
13,13,2660.528662
13,14,2581.342114
13,17,2573.438380
13,18,2517.886032
13,18,2517.886032
13,20,2516.455938
14,11,2921.674356
14,11,2921.674356
14,12,2688.193260
14,13,2633.974991
14,14,2581.342114
14,15,2522.515975
14,17,2509.714602
15,11,2921.674356
15,11,2921.674356
15,11,2921.674356
15,12,2688.193260
15,13,2633.974991
15,14,2581.342114
15,15,2522.515975
15,17,2509.714602
15,17,2509.714602
15,20,2455.419059
16,11,2921.674356
16,11,2921.674356
16,11,2921.674356
16,11,2921.674356
16,12,2688.193260
16,13,2633.974991
16,14,2581.342114
16,15,2522.515975
16,17,2490.944497
16,20,2455.419059
17,11,2921.674356
17,11,2921.674356
17,11,2921.674356
17,11,2921.674356
17,11,2921.674356
17,12,2688.193260
17,13,2633.974991
17,14,2581.342114
17,15,2522.515975
17,17,2490.944497
17,17,2490.944497
