Iteration,NV,TOC
1,8,2226.984873
2,7,2284.507459
2,8,2219.381211
2,11,2201.488032
3,7,2261.343757
3,8,2219.381211
3,9,2162.319792
4,7,2261.343757
4,8,2219.381211
4,9,2162.319792
5,7,2253.203098
5,7,2253.203098
5,8,2213.548874
5,9,2162.319792
6,7,2252.341888
6,8,2213.548874
6,9,2162.319792
6,9,2162.319792
7,7,2246.916459
7,8,2213.548874
7,9,2162.319792
7,9,2162.319792
8,7,2239.795190
8,8,2213.548874
8,9,2162.319792
8,9,2162.319792
9,7,2198.414865
9,8,2195.303025
9,9,2162.319792
9,9,2162.319792
10,7,2198.414865
10,8,2187.586989
10,9,2162.319792
10,9,2162.319792
11,7,2198.077328
11,8,2178.895722
11,9,2162.319792
11,9,2162.319792
12,7,2183.978797
12,8,2165.934951
12,9,2157.062023
13,7,2174.963320
13,8,2136.238565
14,7,2164.547649
14,8,2136.238565
14,8,2136.238565
14,9,2118.794308
15,7,2156.855376
15,8,2124.375463
15,9,2114.464162
16,7,2154.360283
16,8,2124.375463
16,8,2124.375463
16,9,2109.625243
17,7,2147.793284
17,8,2124.375463
17,8,2124.375463
17,8,2124.375463
17,9,2108.083150
18,7,2135.987209
18,8,2121.317766
18,9,2108.083150
19,7,2120.121752
19,8,2088.070719
20,7,2117.419428
20,8,2067.769818
21,7,2102.721713
21,8,2048.474764
22,7,2095.187317
22,8,2046.586978
23,7,2090.236514
23,8,2046.586978
24,7,2088.348729
24,8,2046.586978
24,8,2046.586978
24,9,2045.228791
24,9,2045.228791
25,7,2088.348729
25,7,2088.348729
25,7,2088.348729
25,7,2088.348729
25,8,2046.586978
25,8,2046.586978
25,8,2046.586978
25,9,2045.228791
25,9,2045.228791
25,9,2045.228791
25,11,2042.830327
26,7,2088.151009
26,8,2046.586978
26,8,2046.586978
26,8,2046.586978
26,9,2045.228791
26,9,2045.228791
26,9,2045.228791
26,9,2045.228791
26,11,2042.830327
27,7,2085.708600
27,8,2046.586978
27,8,2046.586978
27,8,2046.586978
27,8,2046.586978
27,9,2045.228791
27,9,2045.228791
27,9,2045.228791
27,9,2045.228791
27,9,2045.228791
27,11,2042.830327
28,7,2052.283173
28,7,2052.283173
28,8,2046.586978
28,8,2046.586978
28,8,2046.586978
28,8,2046.586978
28,8,2046.586978
28,9,2039.994070
29,7,2050.482532
29,8,2023.134850
29,9,2003.928514
30,7,2041.086706
30,8,2023.134850
30,9,2003.700245
31,7,2015.970320
31,8,2013.587167
31,9,1996.285947
31,9,1996.285947
32,7,2014.169679
32,8,1999.613472
32,9,1996.285947
32,9,1996.285947
32,9,1996.285947
32,9,1996.285947
33,7,1976.342597
33,9,1968.747989
34,7,1974.807788
34,8,1959.087030
34,8,1959.087030
35,6,2495.080156
35,7,1964.900697
35,8,1959.087030
35,8,1959.087030
35,8,1959.087030
36,6,2470.052144
36,7,1964.900697
36,8,1959.087030
36,8,1959.087030
36,8,1959.087030
37,6,2470.052144
37,7,1964.900697
37,8,1959.087030
37,8,1959.087030
37,8,1959.087030
38,6,2470.052144
38,7,1964.900697
38,8,1959.087030
38,8,1959.087030
38,8,1959.087030
38,9,1958.178702
39,6,2470.052144
39,7,1964.900697
39,8,1959.087030
39,8,1959.087030
39,8,1959.087030
39,9,1958.178702
40,6,2470.052144
40,7,1964.900697
40,8,1959.087030
40,8,1959.087030
40,8,1959.087030
40,9,1958.178702
41,6,2470.052144
41,7,1964.900697
41,8,1959.087030
41,8,1959.087030
41,8,1959.087030
41,9,1958.178702
42,6,2470.052144
42,7,1964.900697
42,8,1959.087030
42,8,1959.087030
42,8,1959.087030
42,9,1958.178702
43,6,2267.067271
43,7,1939.327127
43,8,1898.982816
44,6,2261.395976
44,7,1939.327127
44,8,1898.982816
45,6,2259.018358
45,7,1939.327127
45,8,1898.982816
46,6,2241.692677
46,7,1939.327127
46,8,1898.982816
47,6,2216.656544
47,7,1939.327127
47,8,1898.982816
48,6,2216.656544
48,6,2216.656544
48,7,1939.327127
48,8,1898.982816
49,6,2129.117238
49,7,1924.567226
49,8,1880.026441
50,6,2094.703131
50,7,1924.567226
50,8,1880.026441
51,6,2094.703131
51,7,1924.567226
51,8,1880.026441
52,6,2094.703131
52,7,1920.696298
52,8,1880.026441
53,6,2089.168892
53,7,1920.696298
53,8,1880.026441
54,6,2089.168892
54,7,1920.696298
54,8,1880.026441
55,6,2089.168892
55,6,2089.168892
55,6,2089.168892
55,6,2089.168892
55,7,1916.097429
55,8,1878.008911
56,6,2089.168892
56,6,2089.168892
56,6,2089.168892
56,6,2089.168892
56,6,2089.168892
56,6,2089.168892
56,7,1916.097429
56,8,1878.008911
57,6,2089.017799
57,6,2089.017799
57,7,1916.097429
57,8,1878.008911
58,6,2055.848019
58,7,1916.097429
58,8,1878.008911
59,6,2049.337732
59,6,2049.337732
59,7,1916.097429
59,8,1878.008911
60,6,2049.337732
60,6,2049.337732
60,6,2049.337732
60,6,2049.337732
60,7,1916.097429
60,8,1878.008911
61,6,2049.337732
61,6,2049.337732
61,6,2049.337732
61,6,2049.337732
61,6,2049.337732
61,6,2049.337732
61,7,1916.097429
61,8,1878.008911
62,6,2049.337732
62,6,2049.337732
62,6,2049.337732
62,6,2049.337732
62,6,2049.337732
62,6,2049.337732
62,6,2049.337732
62,6,2049.337732
62,6,2049.337732
62,6,2049.337732
62,6,2049.337732
62,6,2049.337732
62,7,1916.097429
62,8,1878.008911
63,6,1959.752550
63,7,1908.039457
63,8,1868.410396
64,6,1945.312153
64,7,1908.039457
64,8,1868.410396
65,6,1945.312153
65,6,1945.312153
65,6,1945.312153
65,6,1945.312153
65,7,1908.039457
65,8,1868.410396
66,6,1938.761982
66,7,1908.039457
66,8,1868.410396
67,6,1937.925013
67,7,1908.039457
67,8,1868.410396
68,6,1937.925013
68,6,1937.925013
68,6,1937.925013
68,7,1908.039457
68,8,1868.410396
69,6,1937.925013
69,6,1937.925013
69,6,1937.925013
69,6,1937.925013
69,6,1937.925013
69,6,1937.925013
69,7,1908.039457
69,8,1868.410396
70,6,1937.925013
70,6,1937.925013
70,6,1937.925013
70,6,1937.925013
70,6,1937.925013
70,6,1937.925013
70,6,1937.925013
70,6,1937.925013
70,6,1937.925013
70,7,1908.039457
70,8,1868.410396
71,6,1930.168487
71,7,1908.039457
71,8,1868.410396
72,6,1928.477046
72,7,1908.039457
72,8,1868.410396
73,6,1928.477046
73,6,1928.477046
73,7,1908.039457
73,8,1868.410396
74,6,1927.640077
74,6,1927.640077
74,6,1927.640077
74,7,1908.039457
74,8,1868.410396
75,6,1925.726106
75,7,1908.039457
75,8,1868.410396
76,6,1924.889138
76,6,1924.889138
76,7,1908.039457
76,8,1868.410396
77,6,1924.889138
77,6,1924.889138
77,7,1908.039457
77,8,1868.410396
78,6,1924.889138
78,6,1924.889138
78,6,1924.889138
78,6,1924.889138
78,6,1924.889138
78,7,1908.039457
78,8,1868.410396
79,6,1924.623899
79,7,1908.039457
79,8,1868.410396
80,6,1922.699612
80,7,1908.039457
80,8,1868.410396
81,6,1922.699612
81,6,1922.699612
81,7,1908.039457
81,8,1868.410396
82,6,1919.385305
82,7,1908.039457
82,8,1868.410396
83,6,1908.299439
83,7,1905.683441
83,8,1868.410396
84,6,1890.821854
84,8,1868.410396
85,6,1890.821854
85,6,1890.821854
85,6,1890.821854
85,6,1890.821854
85,8,1868.410396
86,6,1888.814590
86,8,1868.410396
87,6,1887.582700
87,8,1868.410396
88,6,1887.582700
88,6,1887.582700
88,6,1887.582700
88,6,1887.582700
88,6,1887.582700
88,6,1887.582700
88,8,1868.410396
89,6,1886.049290
89,6,1886.049290
89,8,1865.168410
90,6,1881.690044
90,8,1865.168410
91,6,1880.458154
91,8,1865.168410
92,6,1880.458154
92,6,1880.458154
92,6,1880.458154
92,6,1880.458154
92,6,1880.458154
92,6,1880.458154
92,8,1865.168410
93,6,1874.706108
93,8,1865.168410
94,6,1872.994280
94,6,1872.994280
94,8,1861.089887
95,6,1872.994280
95,6,1872.994280
95,6,1872.994280
95,8,1861.089887
96,6,1872.994280
96,6,1872.994280
96,6,1872.994280
96,8,1861.089887
97,6,1870.769580
97,8,1861.089887
98,6,1868.001094
98,8,1861.089887
99,6,1864.024310
99,6,1864.024310
99,8,1857.173186
100,6,1861.465603
100,8,1857.173186
101,6,1853.863212
102,6,1846.103293
103,6,1844.717488
104,6,1844.322567
105,6,1843.453374
106,6,1836.664545
107,6,1835.817329
108,6,1832.335027
109,6,1831.493531
110,6,1831.493531
110,6,1831.493531
110,6,1831.493531
110,6,1831.493531
110,6,1831.493531
110,6,1831.493531
111,6,1830.431178
111,6,1830.431178
112,6,1830.431178
112,6,1830.431178
112,6,1830.431178
112,6,1830.431178
112,6,1830.431178
112,6,1830.431178
112,6,1830.431178
113,6,1830.431178
113,6,1830.431178
113,6,1830.431178
113,6,1830.431178
113,6,1830.431178
113,6,1830.431178
113,6,1830.431178
113,6,1830.431178
113,6,1830.431178
113,6,1830.431178
113,6,1830.431178
113,6,1830.431178
113,6,1830.431178
113,6,1830.431178
114,6,1829.589681
114,6,1829.589681
114,6,1829.589681
114,6,1829.589681
115,6,1826.046146
116,6,1816.694840
116,6,1816.694840
117,5,1957.634699
117,6,1812.198564
117,6,1812.198564
117,6,1812.198564
118,5,1957.634699
118,5,1957.634699
118,5,1957.634699
118,6,1812.198564
118,6,1812.198564
118,6,1812.198564
118,6,1812.198564
118,6,1812.198564
118,6,1812.198564
119,5,1948.200905
119,6,1811.797960
120,5,1948.200905
120,5,1948.200905
120,6,1811.797960
121,5,1948.200905
121,5,1948.200905
121,5,1948.200905
121,5,1948.200905
121,6,1811.524731
122,5,1876.964473
122,6,1789.311428
123,5,1876.964473
123,5,1876.964473
123,6,1789.311428
124,5,1874.480044
