Individual{TOC=7294.11118567303, NV=23}
Individual{TOC=7477.405002919512, NV=22}
Individual{TOC=6846.111743232564, NV=31}
Individual{TOC=7968.559990536562, NV=19}
Individual{TOC=5598.755128740293, NV=77}
Individual{TOC=5694.139716307837, NV=72}
Individual{TOC=5782.668710198033, NV=62}
Individual{TOC=5932.909090382828, NV=54}
Individual{TOC=5999.0659525748115, NV=50}
Individual{TOC=6065.614417767741, NV=41}
Individual{TOC=6445.6798526634875, NV=36}
Individual{TOC=7722.333489461347, NV=20}
Individual{TOC=7207.03788745955, NV=28}
Individual{TOC=6690.728671822513, NV=34}
Individual{TOC=8276.913411170188, NV=18}
Individual{TOC=7278.788108646656, NV=26}
Individual{TOC=6118.544782558037, NV=38}
runTime = 16172.984505ms
