Generation,NV,TOC
1,18,8717.324344
1,22,7375.428763
1,23,5802.829785
1,27,5191.036536
1,32,5164.488455
1,37,5105.621656
1,41,5075.178627
1,60,5057.165254
2,18,8717.324344
2,21,7668.548797
2,22,7375.428763
2,23,5802.829785
2,25,5470.283918
2,27,5191.036536
2,32,5164.488455
2,34,5060.719038
2,37,4952.276550
3,18,8717.324344
3,19,8091.735974
3,20,6624.698299
3,23,5479.245650
3,25,5470.283918
3,27,5191.036536
3,29,4916.826835
3,36,4740.532164
3,38,4613.798868
4,18,8717.324344
4,19,8091.735974
4,20,6624.698299
4,22,5542.660162
4,23,5479.245650
4,24,5418.095326
4,26,5271.456954
4,27,4991.938973
4,29,4916.826835
4,34,4897.788884
4,36,4740.532164
4,38,4613.798868
4,42,4583.773971
5,18,8717.324344
5,19,7567.507790
5,20,6125.603454
5,22,5358.683759
5,23,5355.919858
5,24,5257.936209
5,26,4928.248805
5,28,4890.405490
5,32,4801.000332
5,34,4568.711714
5,38,4504.495464
5,42,4470.676130
6,18,7044.057586
6,19,6446.076798
6,20,6125.603454
6,22,5358.683759
6,23,5355.919858
6,24,5257.936209
6,26,4928.248805
6,28,4786.426542
6,29,4768.443827
6,34,4568.711714
6,35,4554.535244
6,38,4504.495464
6,42,4470.676130
7,18,6286.321096
7,20,6125.603454
7,22,5358.683759
7,23,5355.919858
7,24,5257.936209
7,25,4980.008385
7,26,4928.248805
7,28,4786.426542
7,29,4768.443827
7,34,4568.711714
7,35,4547.704709
7,38,4454.907553
8,18,6218.849977
8,20,6125.603454
8,21,6046.368291
8,22,5358.683759
8,23,5355.919858
8,24,5257.936209
8,25,4980.008385
8,26,4928.248805
8,28,4786.426542
8,29,4768.443827
8,31,4750.079224
8,32,4573.899383
8,34,4568.711714
8,35,4547.704709
8,38,4454.907553
9,18,6218.849977
9,20,6011.376864
9,21,5972.001081
9,22,5223.867064
9,24,5062.806911
9,25,4980.008385
9,26,4928.248805
9,28,4786.426542
9,29,4768.443827
9,31,4593.820642
9,32,4573.899383
9,34,4568.711714
