Generation,NV,TOC
1,20,8287.832417
1,21,7972.890646
1,23,7898.980447
1,24,7311.021922
1,27,7210.260834
1,29,7054.466364
1,30,6605.000411
1,32,5782.283280
1,37,5681.907236
1,43,5673.001790
1,44,5483.228715
1,48,5252.397716
1,63,5190.855758
1,65,5148.057397
2,17,9703.535120
2,20,7911.335794
2,23,7898.980447
2,24,7311.021922
2,27,6980.890834
2,30,6605.000411
2,32,5782.283280
2,37,5681.907236
2,38,5539.288529
2,41,5508.813558
2,44,5395.423942
2,48,5252.397716
2,61,5168.096461
2,65,5148.057397
3,17,9703.535120
3,18,9268.695600
3,19,8032.354808
3,20,7911.335794
3,22,7885.871631
3,24,7311.021922
3,27,6942.132972
3,30,6605.000411
3,31,6424.771613
3,32,5782.283280
3,34,5704.781202
3,37,5681.907236
3,38,5539.288529
3,41,5508.813558
3,42,5349.039000
3,43,5259.372285
3,48,5252.397716
3,51,5188.245288
3,60,5159.034708
3,65,5148.057397
4,17,9473.962617
4,18,9268.695600
4,19,8032.354808
4,20,7911.335794
4,22,7885.871631
4,23,7611.149128
4,24,7311.021922
4,27,6942.132972
4,30,6605.000411
4,31,6424.771613
4,32,5782.283280
4,34,5704.781202
4,37,5496.681126
4,39,5469.464744
4,40,5313.737029
4,43,5259.372285
4,45,5124.242168
4,64,5048.707276
5,17,9473.962617
5,18,9268.695600
5,19,8032.354808
5,20,7911.335794
5,22,7340.375614
5,24,7311.021922
5,25,6576.300713
5,26,6288.272688
5,28,5987.368494
5,31,5828.761881
5,32,5782.283280
5,34,5704.781202
5,37,5455.784964
5,40,5313.737029
5,43,5259.372285
5,45,5124.242168
5,57,5115.964802
5,64,5048.707276
5,65,5038.494366
6,17,9473.962617
6,18,8726.974519
6,19,8032.354808
6,20,7911.335794
6,22,7340.375614
6,24,7311.021922
6,25,6576.300713
6,26,6288.272688
6,28,5987.368494
6,31,5490.315233
6,37,5455.784964
6,38,5419.440134
6,40,5313.737029
6,42,5298.566102
6,43,5259.372285
6,45,5124.242168
6,50,5049.265862
6,63,5022.638816
7,17,9473.962617
7,18,8726.974519
7,19,8032.354808
7,20,7911.335794
7,22,7340.375614
7,24,7075.578106
7,25,6576.300713
7,26,6288.272688
7,28,5987.368494
7,29,5964.947560
7,30,5866.488749
7,31,5490.315233
7,37,5455.784964
7,38,5419.440134
7,39,5324.103021
7,40,5313.737029
7,42,5298.566102
7,43,5259.372285
7,45,5124.242168
7,50,5049.265862
7,63,5022.638816
8,16,10502.013215
8,17,9473.962617
