Generation,NV,TOC
1,56,22230.986854
1,66,19943.247437
1,75,19610.220495
1,83,18904.460233
2,56,22230.986854
2,66,19943.247437
2,75,19610.220495
2,81,19467.390403
2,83,18904.460233
2,84,18716.730087
2,90,18686.542630
3,50,21404.992361
3,63,19620.615400
3,75,19610.220495
3,81,19467.390403
3,83,18874.653538
3,84,18716.730087
3,88,18649.573449
4,50,21404.992361
4,57,19985.408417
4,63,19620.615400
4,69,19548.365771
4,74,19041.072183
4,81,18274.388596
4,83,18274.193833
4,90,18264.153233
5,50,21404.992361
5,57,19395.721948
5,65,18979.527866
5,80,18280.565046
5,81,18274.388596
5,82,18256.901102
5,83,18218.228756
5,85,18048.017822
6,50,21404.992361
6,52,21085.397180
6,53,20494.635501
6,57,19217.027558
6,59,19056.923076
6,65,18979.527866
6,67,18939.287644
6,68,18800.520964
6,73,18557.524047
6,76,18446.813817
6,79,18041.496531
6,84,17933.190448
6,85,17927.208985
6,88,17786.039343
7,48,21399.613675
7,51,20917.669121
7,52,20233.913382
7,57,19217.027558
7,58,19114.864853
7,59,18834.727196
7,62,18617.230409
7,64,18449.531726
7,65,18294.812586
7,72,18207.356933
7,75,18006.280305
7,78,17986.246498
7,84,17907.431176
7,88,17786.039343
8,48,21399.613675
8,51,20474.697903
8,52,20233.913382
8,55,19645.475109
8,56,19456.221644
8,57,19217.027558
8,58,19114.864853
8,59,18834.727196
8,60,18464.261112
8,64,18449.531726
8,65,18294.812586
8,69,18276.210768
8,72,18207.356933
8,75,18006.280305
8,78,17986.246498
8,82,17861.627914
8,87,17844.285817
8,88,17786.039343
8,89,17693.515738
9,48,21281.326281
9,50,20904.119794
9,51,20474.697903
9,52,20233.913382
9,53,19890.816948
9,55,19645.475109
9,56,19456.221644
9,57,19217.027558
9,58,19075.949877
9,59,18511.077588
9,60,18464.261112
9,61,18373.124319
9,65,18294.812586
9,66,18246.321147
9,67,18153.946683
9,71,18002.576233
9,75,17950.482413
9,76,17838.321501
9,77,17749.986694
9,78,17707.402671
9,79,17525.408462
9,87,17450.322262
9,89,17431.361552
9,90,17425.731822
10,48,21281.326281
10,50,20904.119794
10,51,20474.697903
10,52,20233.913382
10,53,19890.816948
10,55,19645.475109
10,56,19456.221644
10,57,19217.027558
10,58,19075.949877
10,59,17689.796127
10,62,17562.814280
10,74,17302.674551
11,48,21281.326281
11,50,20904.119794
11,51,20257.046428
11,52,19920.218726
11,53,19868.018097
11,55,19645.475109
11,56,19456.221644
11,57,19158.991133
11,58,18484.226624
11,59,17689.796127
11,62,17562.814280
11,74,17302.674551
11,77,17183.383612
11,79,16781.025582
12,48,21281.326281
12,50,20904.119794
12,51,18527.173252
12,57,17543.602197
12,62,17487.486763
12,72,16863.743155
12,79,16466.416852
13,48,21147.585655
13,49,20439.014616
13,50,19507.594495
13,51,18527.173252
13,52,18109.907554
13,54,17602.488387
13,56,17542.662598
13,59,17191.513639
13,72,16863.743155
13,76,16455.059701
14,48,20143.810474
14,50,19507.594495
14,51,18527.173252
14,52,18109.907554
14,54,17509.404526
14,55,17412.756957
14,58,17289.862032
14,59,17175.534789
14,63,16818.200900
14,75,16467.737767
14,76,16354.269436
14,81,16301.661427
15,48,19850.710720
15,49,19769.416478
15,50,18800.606046
15,51,17937.871841
15,52,17735.008289
15,53,16915.828846
15,57,16843.359946
15,62,16674.634159
15,71,16320.987229
15,74,16266.329193
16,47,20302.510131
16,48,19850.710720
16,49,19769.416478
16,50,18800.606046
16,51,17937.871841
16,52,17735.008289
16,53,16915.828846
16,57,16843.359946
16,62,16674.634159
16,71,16320.987229
16,74,16266.329193
17,47,20302.510131
17,48,19838.210958
17,49,19185.775558
17,50,18800.606046
17,51,17937.871841
17,52,17735.008289
17,53,16915.828846
17,57,16843.359946
17,62,16674.634159
17,66,16608.473174
17,68,16533.483852
17,71,16320.987229
17,74,16266.329193
18,45,18752.452719
18,46,18302.838833
18,51,17937.871841
18,52,17375.158264
18,53,16915.828846
18,57,16843.359946
18,59,16842.818802
18,62,16674.634159
18,65,16267.902073
18,68,16165.839272
19,45,18167.118506
19,50,17874.353309
19,51,16842.256547
19,56,16687.068230
19,60,16376.959932
19,64,16151.741672
19,66,15826.754874
20,45,18167.118506
20,49,18138.379123
20,50,17416.269539
20,51,16842.256547
20,56,16687.068230
20,60,16376.959932
20,62,16372.933654
20,64,16151.741672
20,66,15826.754874
21,45,18167.118506
21,47,17850.376302
21,48,17180.831189
21,51,16559.880871
21,54,16457.652912
21,58,16426.656959
21,59,16352.857970
21,62,16243.236737
21,64,15799.084228
21,65,15783.704340
22,45,18167.118506
22,47,17850.376302
22,48,17180.831189
22,51,16559.880871
22,54,16457.652912
22,58,16426.656959
22,59,16091.621644
22,63,15672.774559
22,69,15586.201818
23,45,18059.718389
23,47,17456.003049
23,48,17180.831189
23,51,16417.640127
23,53,16327.959309
23,57,16322.393870
23,58,15990.939967
23,63,15618.636602
23,69,15560.825178
24,44,18162.450540
24,45,18059.718389
24,46,17889.418343
24,47,17456.003049
24,48,17180.831189
24,50,16764.795275
24,51,16417.640127
24,53,16327.959309
24,57,16322.393870
24,58,15990.939967
24,63,15618.636602
24,69,15436.935838
25,44,18162.450540
25,45,18059.718389
25,46,17889.418343
25,47,16850.413171
25,49,16573.025348
25,51,16029.793090
25,58,15878.337805
25,62,15379.944593
25,65,15078.263503
25,68,15057.527211
26,44,18162.450540
26,45,17846.229017
26,47,16850.413171
26,49,16573.025348
26,51,16029.793090
26,54,15067.384404
26,68,15057.527211
26,76,14819.859637
27,44,18162.450540
27,45,17341.145621
27,47,16810.630553
27,48,16566.962555
27,51,16029.793090
27,54,15067.384404
27,66,14891.749841
27,76,14819.859637
28,43,17749.550096
28,45,17341.145621
28,47,16810.630553
28,48,16566.962555
28,51,16029.793090
28,54,15067.384404
28,64,14920.265490
28,66,14891.749841
28,76,14819.859637
29,43,17491.849214
29,45,17211.396324
29,46,16467.442397
29,51,15804.876631
29,54,15067.384404
29,63,14651.732559
30,43,17491.849214
30,44,17126.016937
30,46,16467.442397
30,50,16243.259852
30,51,15804.876631
30,53,15474.611913
30,54,15067.384404
30,62,14654.997908
30,63,14651.732559
31,43,17491.849214
31,44,17126.016937
31,45,16253.125078
31,48,16127.629576
31,49,15909.480318
31,51,15804.876631
31,52,15333.469794
31,54,15067.384404
31,55,14831.247067
31,62,14570.668182
31,67,14460.947227
32,43,17491.849214
32,44,17126.016937
32,45,16253.125078
32,47,16184.126602
32,48,16127.629576
32,49,15909.480318
32,51,15804.876631
32,52,15333.469794
32,54,15067.384404
32,55,14831.247067
32,62,14570.668182
32,67,14460.947227
33,43,17146.817070
33,44,16155.154879
33,47,16142.259652
33,48,15755.220919
33,50,15322.799861
33,52,15229.231301
33,54,15044.963658
33,55,14631.536390
33,62,14570.668182
33,66,14314.749733
34,43,17146.817070
34,44,16155.154879
34,47,16047.788854
34,48,15755.220919
34,50,15322.799861
34,52,15229.231301
34,54,15039.082911
34,55,14631.536390
34,62,14570.668182
34,66,14314.749733
35,42,17432.463447
35,43,17146.817070
35,44,16026.390336
35,47,15823.101541
35,48,15551.931758
35,49,15090.844028
35,53,14449.203124
35,63,14299.233962
35,66,14296.052545
36,42,17432.463447
36,43,16938.253235
36,44,16026.390336
36,47,15823.101541
36,48,15551.931758
36,49,15090.844028
36,53,14449.203124
36,63,14299.233962
36,66,14296.052545
37,41,16412.766497
37,44,15793.698687
37,48,14942.617912
37,52,14370.721750
37,62,14280.601315
37,66,14273.230922
38,41,16412.766497
38,44,15793.698687
38,47,15404.663691
38,48,14942.617912
38,52,14370.721750
38,62,14280.601315
38,66,14273.230922
39,41,16380.745862
39,44,15793.698687
39,47,15398.923972
39,48,14911.727040
39,52,14358.925427
39,60,14353.200813
39,62,14276.020135
39,66,14273.230922
40,40,16527.502189
40,41,16057.133129
40,44,15793.698687
40,47,15398.923972
40,48,14911.727040
40,52,14358.925427
40,60,14353.200813
40,62,14179.720768
41,40,16250.442015
41,41,16057.133129
41,44,15721.163109
41,47,15366.251278
41,48,14863.359658
41,52,14353.016027
41,59,14319.578431
41,60,14108.256528
42,40,16250.442015
42,41,16057.133129
42,44,15721.163109
42,45,15627.765306
42,46,15546.117155
42,47,15366.251278
42,48,14863.359658
42,49,14746.327134
42,52,14353.016027
42,57,14186.137733
42,60,14108.256528
43,40,16250.442015
43,41,16057.133129
43,44,15604.624493
43,45,15580.095712
43,46,15546.117155
43,47,15343.851686
43,48,14863.359658
43,49,14628.242255
43,52,14341.871504
43,56,14155.963319
43,60,14095.859035
44,40,16250.442015
44,41,15862.982378
44,42,15368.097200
44,47,15343.851686
44,48,14863.359658
44,49,14628.242255
44,50,14538.414578
44,52,14341.871504
44,56,14155.963319
44,58,14142.761593
44,60,14095.859035
45,40,16250.442015
45,41,15862.982378
45,42,15254.915981
45,45,14443.515795
45,52,14341.871504
45,53,14288.176894
45,56,14066.472428
46,39,15855.003620
46,40,15613.818655
46,41,15593.750884
46,42,15254.915981
46,44,15042.601566
46,45,14443.515795
46,52,14341.871504
46,53,14288.176894
46,54,14059.039482
47,39,15837.699868
47,40,15612.766191
47,41,15532.193582
47,42,15063.092060
47,44,15032.618119
47,45,14396.586308
47,52,14242.664273
47,53,14180.850018
47,54,13987.351539
48,39,15837.699868
48,40,15612.766191
48,41,15532.193582
48,42,15063.092060
48,44,15032.618119
48,45,14396.586308
48,50,14345.081995
48,52,14242.664273
48,53,14180.850018
48,54,13987.351539
49,39,15790.940332
49,40,15601.358133
49,41,15422.955873
49,42,15053.486363
49,44,14298.501637
49,49,14280.439671
49,51,14067.674632
49,54,13976.580764
50,39,15654.852629
50,40,15601.358133
50,41,15422.955873
50,42,15053.486363
50,44,14298.501637
50,49,14095.973268
50,51,14067.674632
50,54,13976.580764
51,39,15654.852629
51,40,15363.474050
51,41,15226.548525
51,42,14894.284784
51,43,14771.390620
51,44,14288.665845
51,47,14255.565494
51,48,13975.507074
52,39,15654.852629
52,40,15363.474050
52,41,15169.685078
52,42,14840.064913
52,43,14641.016076
52,44,14288.665845
52,47,14255.565494
52,48,13975.507074
52,50,13973.450643
52,54,13804.895393
53,39,15372.753570
53,40,15293.710223
53,41,14794.446771
53,42,14600.931354
53,43,14258.204202
53,47,14251.276104
53,48,13849.034441
53,54,13802.446626
54,39,15285.855140
54,40,14821.669476
54,41,14794.446771
54,42,14600.931354
54,43,14258.204202
54,47,14251.276104
54,48,13849.034441
54,54,13802.446626
55,38,15676.877287
55,39,14978.921580
55,40,14751.443210
55,41,14643.509492
55,42,14600.931354
55,43,14258.204202
55,47,14230.907052
55,48,13843.722960
55,54,13797.322102
56,38,15676.877287
56,39,14910.298412
56,40,14751.443210
56,41,14643.509492
56,42,14600.931354
56,43,14258.204202
56,47,14230.907052
56,48,13843.722960
56,54,13797.322102
57,38,15676.877287
57,39,14809.328056
57,40,14600.153514
57,41,14547.003338
57,43,14247.914171
57,45,14202.025672
57,46,14165.275049
57,47,14025.367102
57,48,13843.722960
57,51,13829.159451
57,54,13788.137327
58,38,15676.877287
58,39,14809.328056
58,40,14600.153514
58,41,14547.003338
58,43,14247.914171
58,45,14202.025672
58,46,14096.041150
58,47,13852.157130
58,48,13843.722960
58,49,13802.804890
58,54,13788.137327
59,38,15535.114823
59,39,14665.714230
59,40,14316.065947
59,43,14222.467039
59,45,14199.005231
59,46,13830.622529
59,47,13707.174915
59,48,13512.520964
60,38,15535.114823
60,39,14665.714230
60,40,14316.065947
60,43,14222.467039
60,45,14199.005231
60,46,13830.622529
60,47,13707.174915
60,48,13512.520964
61,38,15431.552028
61,39,14499.961280
61,40,14297.246351
61,41,14135.988662
61,43,14078.964587
61,46,13797.976969
61,47,13553.295933
61,48,13504.271348
62,38,15403.794167
62,39,14499.961280
62,40,14297.246351
62,41,14135.988662
62,43,14078.964587
62,46,13797.976969
62,47,13553.295933
62,48,13504.271348
63,38,15253.513823
63,39,14445.902879
63,40,14273.819833
63,41,14080.897014
63,43,13953.665725
63,45,13769.657933
63,47,13495.252179
64,38,15068.772486
64,39,14445.902879
64,40,14273.819833
64,41,14080.897014
64,42,13867.893629
64,44,13785.070078
64,45,13769.657933
64,47,13495.252179
65,38,14972.719206
65,39,14273.382489
65,40,14263.843617
65,41,13906.534907
65,42,13839.805170
65,43,13709.855932
65,45,13485.214930
66,38,14972.719206
66,39,14273.382489
66,40,14263.843617
66,41,13906.534907
66,42,13839.805170
66,43,13709.855932
66,45,13485.214930
67,38,14845.008779
67,39,14219.033038
67,41,13896.438025
67,42,13739.649419
67,43,13709.783502
67,45,13465.229418
68,38,14845.008779
68,39,14219.033038
68,41,13896.438025
68,42,13739.649419
68,43,13533.867536
68,45,13465.229418
69,38,14845.008779
69,39,14219.033038
69,41,13868.403595
69,42,13727.049961
69,43,13477.566337
69,44,13435.060095
70,38,14845.008779
70,39,14219.033038
70,41,13868.403595
70,42,13727.049961
70,43,13477.566337
70,44,13435.060095
71,38,14845.008779
71,39,14214.238819
71,41,13868.403595
71,42,13697.989262
71,43,13452.038731
71,44,13378.336690
72,38,14845.008779
72,39,14214.238819
72,41,13868.403595
72,42,13697.989262
72,43,13452.038731
72,44,13378.336690
73,38,14744.586571
73,39,14179.536885
73,40,14026.938203
73,41,13743.012101
73,42,13697.989262
73,43,13449.754997
73,44,13374.624855
74,38,14744.586571
74,39,14179.536885
74,40,14026.938203
74,41,13743.012101
74,42,13579.247092
74,43,13449.754997
74,44,13374.624855
75,38,14533.021885
75,39,14162.866087
75,40,14014.909974
75,41,13743.012101
75,42,13518.491017
75,43,13449.754997
75,44,13346.758674
76,38,14533.021885
76,39,14143.429299
76,40,14014.909974
76,41,13743.012101
76,42,13518.491017
76,43,13449.754997
76,44,13346.758674
77,38,14528.255649
77,39,14143.429299
77,40,13928.009870
77,41,13728.643117
77,42,13511.634549
77,43,13440.138931
77,44,13345.532650
78,37,15081.904496
78,38,14528.255649
78,39,14143.429299
78,40,13928.009870
78,41,13704.328573
78,42,13511.634549
78,43,13440.138931
78,44,13345.532650
79,37,15077.690030
79,38,14413.545445
79,39,13927.374055
79,40,13789.313572
79,41,13686.629909
79,42,13511.634549
79,43,13432.882568
79,44,13320.581157
80,37,15077.690030
80,38,14413.545445
80,39,13911.193344
80,40,13789.313572
80,41,13686.534232
80,42,13468.266480
80,43,13369.343868
80,44,13320.581157
81,37,15065.992804
81,38,13706.388946
81,41,13683.722278
81,42,13446.930578
81,43,13369.343868
81,44,13320.581157
82,37,15065.992804
82,38,13706.388946
82,41,13683.722278
82,42,13446.930578
82,43,13369.343868
82,44,13320.581157
83,37,14939.041744
83,38,13693.470777
83,41,13682.709289
83,42,13352.718965
83,44,13277.386106
84,37,14939.041744
